sample_id,image,book,page,column,ocr_char,syllable,label,tier,rule,bbox,crop_w,crop_h,R_candidates,R_size,ocr_in_R,pred,sec,pred_cjk,n_cjk,one_cjk,first,first_in_R,any_in_R,eq_kinh,first_in_vocab,kinh_in_R,is_empty,latin,multi,no_cjk
M1_0000,gold/stt2_page_0252_c04_067.png,stt2,page_0252,4,欣,hơn,欣,GOLD,s1_inter_s2_direct,"[1012, 1641, 1127, 1776]",102,166,俽|忻|惞|欣|訢|軒|餘|䜣|𪡗,9,True,𫴮,0.815,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0001,gold/stt2_page_0308_c04_052.png,stt2,page_0308,4,欺,khi,欺,GOLD,s1_inter_s2_direct,"[1002, 2311, 1109, 2428]",118,145,倛|僛|吱|唭|娸|崎|徛|攲|敧|期|机|桤|榿|欹|欺|浪|猗|觭|諆|踦|陭|魌|㿲|𠔶|𡾵|𣣱|𤿯|𥀴|𨜅|緝|缉,31,True,𠊛,0.889,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0002,gold/stt2_page_0132_c03_046.png,stt2,page_0132,3,朱,cho,朱,GOLD,s1_inter_s2_direct,"[1110, 924, 1215, 1038]",117,140,|咮|埃|木|朱|株|沫|渚|濐|硃|陼|㵭,12,True,𫴮,0.753,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0003,gold/stt2_page_0072_c09_168.png,stt2,page_0072,9,主,chúa,主,GOLD,s1_inter_s2_direct,"[204, 1482, 297, 1593]",106,122,主|炷,2,True,𠊛,0.724,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0004,gold/stt2_page_0140_c08_133.png,stt2,page_0140,8,吒,cha,吒,GOLD,s1_inter_s2_direct,"[356, 952, 457, 1072]",119,148,乍|作|偺|吒|咋|咤|咱|喒|喥|嗻|囃|托|爹|爺|皻|皽|詐|醡|𠆦|𠷆|𠷿|𤕔|𧧻|𨕚|𬏨,25,True,𠊚,0.807,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0005,gold/stt2_page_0066_c09_187.png,stt2,page_0066,9,困,khốn,困,GOLD,s1_inter_s2_direct,"[218, 2299, 325, 2423]",105,152,困|囷|梱|睏|阃|捆,6,True,𫴮,0.859,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0006,gold/stt2_page_0036_c07_117.png,stt2,page_0036,7,主,chúa,主,GOLD,s1_inter_s2_direct,"[506, 1011, 603, 1120]",101,133,主|炷,2,True,𠊛,0.621,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0007,gold/stt2_page_0078_c03_051.png,stt2,page_0078,3,呐,nói,呐,GOLD,s1_inter_s2_direct,"[1178, 1324, 1270, 1434]",102,134,內|内|叻|吶|呐|唁|尼|曰|訥|㐻|㕯|𠺶|𡗠|𧨣,14,True,𠊚,0.753,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0008,gold/stt2_page_0114_c01_017.png,stt2,page_0114,1,衣,ấy,衣,GOLD,s1_inter_s2_direct,"[1447, 2104, 1560, 2211]",139,131,𱍸|乙|倚|噫|娎|帝|悥|意|憶|椅|衣|衤|𠂎|𠋣|𠶷|𢡃|𧘇|𪬫|𫢚|󰀎|󱦝|󱰁|啩|怪|掛|撌|癸|紙|𠶔|𢫞|𢯗|𥿗,32,True,𠊚,0.782,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0009,gold/stt2_page_0170_c03_052.png,stt2,page_0170,3,折,giết,折,GOLD,s1_inter_s2_direct,"[1138, 2092, 1249, 2227]",125,163,𱥘|折|摺|歽|滅|翼|㪿|𢷄|𣂚|𣂟|𣂫|𣂲|𣂹|𣩁|𣩂|𤄌|𨦬|𪲽|󰊾|󱚕|󱣽,21,True,𫴮,1.008,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0010,gold/stt2_page_0052_c03_045.png,stt2,page_0052,3,渚,chưa,渚,GOLD,s1_inter_s2_direct,"[1120, 594, 1219, 686]",100,107,初|朱|渚|濐|瀦|猪|荗|諸|豬|陼|㐌|㨋|㵭|䐗|𢑳|𢒕|𣌆|𣗓|𣜾|𣠕|𣠖|𣦁|𤀞|𧭷|𧱭|𧳯|𪳼|𬄞|𬚍,29,True,---,0.397,,0,False,,False,False,False,False,True,False,False,False,True
M1_0011,gold/stt2_page_0166_c09_149.png,stt2,page_0166,9,官,quan,官,GOLD,s1_inter_s2_direct,"[234, 572, 348, 703]",138,161,||倌|光|关|冠|官|寡|慣|棺|毌|涫|瘝|癏|矜|綸|纶|覌|観|觀|观|貫|軍|開|閞|関|闗|關|鯀|鯤|鰥|鱞|鳏|䚪|䝺|䦕|𠕍|𠖌|𠙙|𠜍|𠴨|𡦹|𡧺|𢃙|𢿒|𣎕|𣑄|𤸄|𥉀|𥍄|𥍅|𥍊|𥍕|𥎅|𥷯|𥸑|𧃼|𧢪|𧤩|𧵗|𨳡|𨳨|𨳹|𨴊|𨵿|𨶚|𨶹|𨷀|𩁰|𩶊|𩹌|𩻲|𩻴|𫔢|𬮦|󰞹|琯|綰|绾|菅,80,True,𫴮,1.115,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0012,gold/stt2_page_0328_c02_035.png,stt2,page_0328,2,麻,mà,麻,GOLD,s1_inter_s2_direct,"[1314, 2075, 1427, 2209]",129,166,|傌|嘛|女|痳|罵|菻|蔴|調|駡|高|麻|默|𢠩|𢳀|𣻕|𦋻|𦓡|𦲬|󱰷|󱰹,21,True,𫴮,0.979,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0013,gold/stt2_page_0174_c02_022.png,stt2,page_0174,2,别,biết,别,GOLD,s1_inter_s2_direct,"[1292, 565, 1399, 683]",96,146,|別|别|咇|彆|憋|捌|撆|柲|瘪|癟|虌|蟞|襒|蹩|鱉|鳖|鼈|龞|㿜|䠥|𠔁|𠛰|𠮠|𤻋|𪔀|𪿍|󱤞|󱩲|拐,30,True,𠊛,0.796,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0014,gold/stt2_page_0092_c03_049.png,stt2,page_0092,3,眉,mày,眉,GOLD,s1_inter_s2_direct,"[1119, 567, 1224, 675]",128,129,眉|睂|睸|迈|𠃜|𠋥|𠪃|𠷯|𡮠|𣭒|𣮮|𥅉|𥅕|𥅦|𥅮|𥇮|𥻡|𪵟|𫃷|𫵇|󰜣|󰟎|󱩮|󱮪,24,True,𫴮,0.814,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0015,gold/stt2_page_0084_c06_122.png,stt2,page_0084,6,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[679, 1776, 781, 1886]",126,128,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,𫴮,0.788,𫴮,1,True,𫴮,True,True,False,True,True,False,False,False,False
M1_0016,gold/stt2_page_0236_c03_052.png,stt2,page_0236,3,時,thì,時,GOLD,s1_inter_s2_direct,"[1124, 2257, 1236, 2394]",105,167,𱢑|匙|埘|塒|寺|峕|常|提|时|旹|時|晨|曟|榯|氏|畤|秲|茄|莳|蒔|辰|鍉|鰣|鲥|㔭|㫑|㫭|㮛|䈕|䢈|𠨱|𠨷|𠩐|𠩟|𠱾|𡗶|𡺈|𡺞|𢁈|𣅱|𣈜|𥊘|𥫽|𦔌|𦱎|𦱗|𦸎|𨑃|𨑄|𨥌|𩶬|𪰛|𬀦|󰣡|󱞑|㖘,56,True,𫴮,0.949,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0017,gold/stt2_page_0322_c04_067.png,stt2,page_0322,4,行,hành,行,GOLD,s1_inter_s2_direct,"[988, 1296, 1099, 1407]",105,123,斻|桁|珩|胻|航|茎|荇|莕|莖|蘅|行|衡|䓷|𠎢|𠧲|𠧽|𠧿|𡘻|𡙉|𡙏|𢔖|𢖍|𧗞|𧗟|𧗣|𧗾|𨏎,27,True,𫴮,0.614,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0018,gold/stt2_page_0276_c02_024.png,stt2,page_0276,2,察,xét,察,GOLD,s1_inter_s2_direct,"[1902, 1165, 2023, 1311]",134,167,嚓|察|詧|𢪀|𥌀|𪹾|󱧴,7,True,𠊛,1.093,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0019,gold/stt2_page_0284_c06_099.png,stt2,page_0284,6,改,gởi,改,GOLD,s1_inter_s2_direct,"[686, 869, 804, 1003]",121,166,改|攺|灜|㱼|𠳚|𢭮|𢻰|𪻞|󰡚,9,True,𫴮,0.921,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0020,gold/stt2_page_0246_c06_118.png,stt2,page_0246,6,德,đức,德,GOLD,s1_inter_s2_direct,"[684, 2326, 790, 2436]",130,121,|𱐩|𱝮|徳|德|恴|悳|惪|㤫|㥀|㥁|䙷|𢛳|𢜖|𢠀|𢤊|𨗌|𨗤|𭲖|󰆙|󱉎,21,True,𠊚,0.791,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0021,gold/stt2_page_0016_c09_163.png,stt2,page_0016,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[200, 745, 292, 852]",106,123,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,𫴮,0.662,𫴮,1,True,𫴮,True,True,False,True,True,False,False,False,False
M1_0022,gold/stt2_page_0110_c09_166.png,stt2,page_0110,9,赦,tha,赦,GOLD,s1_inter_s2_direct,"[218, 939, 325, 1055]",129,138,他|佗|匜|咃|她|它|嵯|差|怹|扡|拕|拖|搋|搓|柂|牠|瑳|砣|磋|祂|策|蛇|訑|詑|賖|赦|趿|蹉|釶|鉈|鍦|铊|馱|𠰹|𢫌|𢷼|𢼗|𢼜|𢽀|𤆅|𥘦|𨇏|𨧯|𩥙|𫅁|挓|腃,47,True,𠊚,0.883,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0023,gold/stt2_page_0176_c01_010.png,stt2,page_0176,1,浪,rằng,浪,GOLD,s1_inter_s2_direct,"[1430, 1609, 1542, 1746]",104,165,哏|哴|喨|坺|娘|払|浪|㖫|𠳒|𠺘|𤎔|𪘵,12,True,𠊚,0.880,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0024,gold/stt2_page_0306_c05_090.png,stt2,page_0306,5,朱,cho,朱,GOLD,s1_inter_s2_direct,"[862, 1752, 971, 1880]",117,138,|咮|埃|木|朱|株|沫|渚|濐|硃|陼|㵭,12,True,𠊚,0.730,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0025,gold/stt2_page_0146_c03_045.png,stt2,page_0146,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1154, 812, 1259, 938]",103,154,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,𠊚,0.841,𠊚,1,True,𠊚,True,True,False,True,True,False,False,False,False
M1_0026,gold/stt2_page_0316_c04_060.png,stt2,page_0316,4,堂,đàng,堂,GOLD,s1_inter_s2_direct,"[1016, 567, 1129, 702]",117,167,唐|啺|堂|塘|壇|𡃯|𣉺|𥏬,8,True,𫴮,0.877,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0027,gold/stt2_page_0020_c04_063.png,stt2,page_0020,4,庄,chăng,庄,GOLD,s1_inter_s2_direct,"[953, 560, 1067, 681]",133,140,|丕|仳|庄|庒|弡|張|拯|生|空|荘|莊|㔻|㽵|𠗎|𠦓|𠲕|𤕶|𤖄|𤖈|𦀾|𦻊|𧜖|𫽄|󰝸|󱣟,26,True,𫴮,0.953,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0028,gold/stt2_page_0106_c07_125.png,stt2,page_0106,7,命,mình,命,GOLD,s1_inter_s2_direct,"[538, 1237, 645, 1357]",131,147,命|明|春|珄|舍|𠇮|𠵴|𨉓|𨉟|󰇕|󰳁|󱝬,12,True,𫴮,0.829,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0029,gold/stt2_page_0314_c02_024.png,stt2,page_0314,2,矣,hãy,矣,GOLD,s1_inter_s2_direct,"[1271, 752, 1379, 876]",89,152,亥|俟|咍|咳|唉|孩|忍|挨|改|欬|欸|涘|矣|誒|駭|駴|㐌|㗒|㤥|䀭|𠹛|𠺡|𩡭,23,True,𫴮,0.806,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0030,gold/stt2_page_0152_c07_125.png,stt2,page_0152,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[531, 678, 628, 771]",107,115,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,𫴮,0.538,𫴮,1,True,𫴮,True,True,False,True,True,False,False,False,False
M1_0031,gold/stt2_page_0178_c02_033.png,stt2,page_0178,2,除,giờ,除,GOLD,s1_inter_s2_direct,"[1286, 2051, 1393, 2189]",123,170,俆|徐|除|𠀺|𣇞|𣉹|𨑦|𪬪|𪱡|𬁊|𬁐|󱤗|󱤫|󱮠,14,True,"Actually, the image shows ""仄"" and """,1.172,仄,1,True,仄,False,False,False,True,True,False,True,False,False
M1_0032,gold/stt2_page_0074_c03_058.png,stt2,page_0074,3,歳,tuổi,歳,GOLD,s1_inter_s2_direct,"[1123, 2114, 1227, 2232]",128,143,亗|嵗|歲|歳|碎|㒸|㞸|𡻕|𡻷|𢆫|𢧁|𢧡|𣦮|󰆄|󰑔|󰣳|󱤱|󱦞|󱦟,19,True,𫴮,0.896,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0033,gold/stt2_page_0018_c01_005.png,stt2,page_0018,1,矯,kẻo,矯,GOLD,s1_inter_s2_direct,"[1443, 885, 1552, 1002]",118,145,|喬|嘺|嬌|撟|矫|矯|翹|㚁|𢱪|𥏹|𦒒,12,True,𠊚,0.793,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0034,gold/stt2_page_0238_c03_057.png,stt2,page_0238,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1135, 2411, 1246, 2530]",118,132,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,𫴮,0.797,𫴮,1,True,𫴮,True,True,False,True,True,False,False,False,False
M1_0035,gold/stt2_page_0142_c07_130.png,stt2,page_0142,7,木,móc,木,GOLD,s1_inter_s2_direct,"[541, 2081, 649, 2214]",124,161,木|沐|璽|禄|莯|鈢|雬|霂|㭉|𠣛|𢪮|𥷻|𦱈|𩂆|󱔵|󱗢,16,True,𫴮,0.880,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0036,gold/stt2_page_0056_c09_202.png,stt2,page_0056,9,丕,vậy,丕,GOLD,s1_inter_s2_direct,"[238, 2412, 325, 2504]",67,100,丕|仳|呸|物|特|盃|㔻|𠦓,8,True,---,0.396,,0,False,,False,False,False,False,True,False,False,False,True
M1_0037,gold/stt2_page_0302_c06_108.png,stt2,page_0302,6,麻,mà,麻,GOLD,s1_inter_s2_direct,"[694, 1807, 815, 1942]",139,167,|傌|嘛|女|痳|罵|菻|蔴|調|駡|高|麻|默|𢠩|𢳀|𣻕|𦋻|𦓡|𦲬|󱰷|󱰹,21,True,𠊛,1.026,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0038,gold/stt2_page_0122_c06_120.png,stt2,page_0122,6,麻,mà,麻,GOLD,s1_inter_s2_direct,"[681, 1589, 790, 1700]",135,136,|傌|嘛|女|痳|罵|菻|蔴|調|駡|高|麻|默|𢠩|𢳀|𣻕|𦋻|𦓡|𦲬|󱰷|󱰹,21,True,𠊚,0.936,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0039,gold/stt2_page_0028_c01_022.png,stt2,page_0028,1,群,còn,群,GOLD,s1_inter_s2_direct,"[1417, 2312, 1516, 2418]",94,118,|哙|喂|噲|存|羣|群|自|䭽|𠹩|𡥵|𫲳|󰅹|󱟟|󱫦,15,True,𠊚,0.580,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0040,gold/stt2_page_0260_c02_029.png,stt2,page_0260,2,樞,su,樞,GOLD,s1_inter_s2_direct,"[1294, 1565, 1409, 1694]",107,154,樞|秋|毹|毺|穌|芇|芻|蒭|蘇|蘓|㮲,11,True,𫴮,0.860,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0041,gold/stt2_page_0030_c08_168.png,stt2,page_0030,8,主,chúa,主,GOLD,s1_inter_s2_direct,"[360, 1549, 457, 1655]",119,129,主|炷,2,True,𠊛,0.695,𠊛,1,True,𠊛,False,False,False,True,True,False,False,False,False
M1_0042,gold/stt2_page_0240_c04_058.png,stt2,page_0240,4,麻,mà,麻,GOLD,s1_inter_s2_direct,"[1009, 476, 1124, 598]",130,109,|傌|嘛|女|痳|罵|菻|蔴|調|駡|高|麻|默|𢠩|𢳀|𣻕|𦋻|𦓡|𦲬|󱰷|󱰹,21,True,𠊚,0.752,𠊚,1,True,𠊚,False,False,False,True,True,False,False,False,False
M1_0043,gold/stt2_page_0278_c03_050.png,stt2,page_0278,3,施,thí,施,GOLD,s1_inter_s2_direct,"[1129, 1986, 1239, 2105]",131,142,剃|剔|啻|始|媲|屁|弑|弒|施|試|譬|试|辟|髰|鬀|鬄|䊧|䙾|𠆹|𠇜|𠤒|𡲩|𢎊|𢎍|𢎓|𢒃|𢦳|𢨓|𢻩|𢻫|𢻱|𢼉|𢼊|𢼘|𥤶|𥥓|𥧔|𦭇|𨲙|𩮜|弛,41,True,𫴮,0.806,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0044,gold/stt2_page_0228_c02_020.png,stt2,page_0228,2,正,giêng,正,GOLD,s1_inter_s2_direct,"[1281, 1341, 1384, 1470]",115,149,征|徰|徵|政|正|貞|靕|㱏|𠙺|𠤭|𢌛|𢘫|𣥆|𣥔|𣦓|𤴓|𥢆|𦙫|𧾸|𨒌|󱥡,21,True,𫴮,0.866,𫴮,1,True,𫴮,False,False,False,True,True,False,False,False,False
M1_0045,gold/stt2_page_0192_c07_124.png,stt2,page_0192,7,弹,đàn,弹,GOLD,s1_inter_s2_direct,"[470, 1828, 582, 1964]",119,166,丐|亶|僤|勯|啴|單|坍|坛|埮|墰|壇|壜|婵|弹|弾|彈|掸|撣|樿|檀|殚|殫|罈|聅|胆|袒|驒|鷤|𡊨|𢎚|𢎝|𢎟|𢎩|𢎫|𢎬|𢎲|𣐙|𣞀|𦉡|𩠽|󰈏|澶,42,True,正确答案：𣈗,1.004,正确答案𣈗,5,False,正,False,False,False,True,True,False,False,True,False
