sample_id,image,book,page,column,ocr_char,syllable,label,tier,rule,bbox,crop_w,crop_h,R_candidates,R_size,ocr_in_R,pred,sec,pred_cjk,n_cjk,one_cjk,first,first_in_R,any_in_R,eq_kinh,first_in_vocab,kinh_in_R,is_empty,latin,multi,no_cjk
M3_0000,gold/stt2_page_0324_c07_135.png,stt2,page_0324,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[558, 1981, 662, 2107]",128,139,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,8.239,,0,False,,False,False,False,False,True,True,False,False,True
M3_0001,gold/stt4_page_0084_c08_172.png,stt4,page_0084,8,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[272, 1138, 344, 1211]",70,64,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,3.977,,0,False,,False,False,False,False,True,True,False,False,True
M3_0002,gold/stt2_page_0270_c09_184.png,stt2,page_0270,9,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[256, 1204, 343, 1313]",71,125,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.679,,0,False,,False,False,False,False,True,True,False,False,True
M3_0003,gold/stt2_page_0084_c03_063.png,stt2,page_0084,3,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1129, 2235, 1234, 2352]",124,143,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,ក្រុម,1.540,,0,False,,False,False,False,False,True,False,False,False,True
M3_0004,gold/stt2_page_0262_c01_016.png,stt2,page_0262,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1436, 2156, 1542, 2274]",121,146,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.069,,0,False,,False,False,False,False,True,True,False,False,True
M3_0005,gold/stt2_page_0148_c07_142.png,stt2,page_0148,7,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[525, 2214, 631, 2330]",108,112,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.825,,0,False,,False,False,False,False,True,True,False,False,True
M3_0006,gold/stt2_page_0314_c01_008.png,stt2,page_0314,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1439, 1212, 1549, 1332]",116,148,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.010,,0,False,,False,False,False,False,True,True,False,False,True
M3_0007,gold/stt2_page_0314_c05_090.png,stt2,page_0314,5,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[837, 1623, 942, 1749]",92,137,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,0.909,,0,False,,False,False,False,False,True,True,False,False,True
M3_0008,gold/stt2_page_0314_c02_022.png,stt2,page_0314,2,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1271, 554, 1380, 672]",110,145,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.048,,0,False,,False,False,False,False,True,True,False,False,True
M3_0009,gold/stt2_page_0318_c01_009.png,stt2,page_0318,1,㝵,người,㝵,GOLD,s1_inter_s2_direct,"[1428, 1392, 1556, 1515]",135,127,仉|倘|儻|勜|匕|命|圤|徜|昆|皚|躺|辞|㝵|𠊚|𠊛|𣈗|𣈜|𤽗|𫴮|󱫱,20,True,,1.084,,0,False,,False,False,False,False,True,True,False,False,True
