ocr_char,syllable,so_o,so_sach,so_trang,similar_hit,char_in_dict,gold_count,diem_unihan,nghieng_ve,vi_tri_1,vi_tri_2,NGUOI_DUYET,GHI_CHU
君,này,62,2,45,,quânvua,23,0.0000,B_nghi,"stt2/page_0012 c3 [1111, 643, 1243, 753]","stt2/page_0022 c6 [685, 2184, 772, 2312]",,
移,rê,50,3,40,,chòmdaydidàydây,14,0.0000,A_TU_DIEN_THIEU,"stt11/page_0012 c5 [878, 545, 988, 660]","stt11/page_0016 c1 [1490, 1666, 1616, 1778]",,
用,bấy,49,3,40,,dongdungdòngdùngdúng,53,0.0000,B_nghi,"stt11/page_0040 c8 [400, 786, 501, 894]","stt11/page_0058 c7 [573, 533, 694, 640]",,
䍐,ra,33,3,31,,hãnhắnhẳn,0,0.0093,A_TU_DIEN_THIEU,"stt11/page_0146 c1 [1448, 1082, 1557, 1192]","stt11/page_0158 c3 [1172, 599, 1275, 705]",,
乇,đã,31,2,28,,ngướcngượctháctháchthước,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0024 c8 [335, 1204, 437, 1308]","stt2/page_0034 c2 [1259, 1602, 1363, 1723]",,
在,chăng,31,3,23,,dổnhổtại,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0130 c7 [560, 2412, 658, 2513]","stt2/page_0022 c3 [1117, 1084, 1227, 1180]",,
思,quỷ,26,3,24,鬼,mơtaitaytitơ,14,0.0000,B_OCR_NHAM,"stt11/page_0018 c7 [556, 2056, 660, 2163]","stt11/page_0026 c4 [984, 2122, 1094, 2232]",,
䍐,là,25,3,22,,hãnhắnhẳn,0,0.0152,A_TU_DIEN_THIEU,"stt11/page_0010 c2 [1307, 2348, 1414, 2461]","stt11/page_0046 c1 [1440, 1966, 1551, 2043]",,
奉,phượng,25,2,22,,bóngbồngbổngphóngphụng,13,0.0000,A_TU_DIEN_THIEU,"stt11/page_0042 c6 [699, 1935, 810, 2047]","stt11/page_0094 c9 [274, 2077, 365, 2187]",,
祀,lấy,25,3,20,,thờtờtừtự,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0010 c6 [697, 1743, 802, 1866]","stt11/page_0020 c8 [403, 457, 517, 543]",,
生,chẳng,24,2,22,,chăngdínhhưquêsanh,270,0.0000,B_nghi,"stt2/page_0254 c3 [1123, 1275, 1233, 1411]","stt4/page_0014 c8 [271, 1300, 341, 1372]",,
要,ra,22,3,19,,eooeoroyêuyếu,19,0.0000,A_TU_DIEN_THIEU,"stt11/page_0154 c9 [197, 1549, 295, 1656]","stt11/page_0172 c3 [1699, 841, 1817, 947]",,
困,hèn,19,3,19,,khuônkhốnkhổn,76,0.0065,B_nghi,"stt11/page_0032 c1 [1450, 1483, 1558, 1607]","stt11/page_0088 c7 [596, 2213, 700, 2333]",,
色,vào,19,2,18,,hìnhsắcsắosắtsặc,3,0.0050,A_TU_DIEN_THIEU,"stt2/page_0020 c7 [501, 471, 615, 581]","stt2/page_0034 c4 [951, 2315, 1055, 2434]",,
不,làm,17,3,15,,bíbĩbưubấtbỉ,4,0.0000,A_TU_DIEN_THIEU,"stt11/page_0258 c5 [875, 2305, 980, 2415]","stt2/page_0036 c7 [504, 1858, 607, 1970]",,
昇,là,17,2,14,,thăngthưng,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0054 c8 [358, 1523, 458, 1631]","stt2/page_0070 c4 [1000, 1934, 1109, 2057]",,
石,chịu,17,2,15,,sạchthạchthệuđáđán,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0034 c7 [502, 748, 610, 874]","stt4/page_0024 c3 [770, 627, 841, 699]",,
与,nghi,16,3,14,,dưdữdựgiữđử,69,0.0000,B_nghi,"stt11/page_0020 c4 [1020, 1579, 1125, 1685]","stt11/page_0052 c5 [857, 1933, 967, 2044]",,
困,bấy,16,2,16,,khuônkhốnkhổn,76,0.0000,B_nghi,"stt11/page_0104 c5 [876, 1742, 982, 1858]","stt11/page_0114 c9 [251, 533, 353, 644]",,
