image,tier,split,label,ocr_char,syllable
gold/yen2_page_0012_c01_000.png,GOLD,train,二,二,Nhị
gold/yen2_page_0012_c01_001.png,GOLD,train,月,月,nguyệt
silver/yen2_page_0012_c02_004.png,SILVER,train,拮,祓,NHÁT
gold/yen2_page_0012_c02_005.png,GOLD,train,日,日,NHẬT
gold/yen2_page_0012_c02_006.png,GOLD,train,翁,翁,Ong
gold/yen2_page_0012_c02_009.png,GOLD,train,樞,樞,xu
gold/yen2_page_0012_c02_010.png,GOLD,train,曰,曰,viết
gold/yen2_page_0012_c02_012.png,GOLD,train,死,死,tử
gold/yen2_page_0012_c02_014.png,GOLD,train,道,道,đao
silver/yen2_page_0012_c02_015.png,SILVER,train,傳,傳,truyen
gold/yen2_page_0012_c03_016.png,GOLD,test,翁,翁,Ông
gold/yen2_page_0012_c03_021.png,GOLD,test,四,四,tớ
gold/yen2_page_0012_c03_022.png,GOLD,test,翁,翁,ông
gold/yen2_page_0012_c03_023.png,GOLD,test,垩,垩,Thánh
silver/yen2_page_0012_c03_027.png,SILVER,test,苔,兹,đầy
gold/yen2_page_0012_c03_028.png,GOLD,test,四,四,tớ
gold/yen2_page_0012_c03_029.png,GOLD,test,奇,奇,cả
gold/yen2_page_0012_c03_030.png,GOLD,test,徳,徳,Đức
gold/yen2_page_0012_c03_031.png,GOLD,test,主,主,Chúa
gold/yen2_page_0012_c03_032.png,GOLD,test,支,支,Giê
gold/yen2_page_0012_c03_033.png,GOLD,test,秋,秋,su
silver/yen2_page_0012_c03_034.png,SILVER,test,共,去,cùng
gold/yen2_page_0012_c03_035.png,GOLD,test,体,体,thấy
silver/yen2_page_0012_c03_036.png,SILVER,test,慄,慓,rất
gold/yen2_page_0012_c04_038.png,GOLD,train,徳,徳,Đức
gold/yen2_page_0012_c04_039.png,GOLD,train,婆,婆,Bà
gold/yen2_page_0012_c04_042.png,GOLD,train,亜,亜,a
gold/yen2_page_0012_c04_043.png,GOLD,train,羣,羣,còn
gold/yen2_page_0012_c04_044.png,GOLD,train,於,於,ở
gold/yen2_page_0012_c04_045.png,GOLD,train,世,世,thế
gold/yen2_page_0012_c04_046.png,GOLD,train,間,間,gian
gold/yen2_page_0012_c04_047.png,GOLD,train,朱,朱,cho
gold/yen2_page_0012_c04_048.png,GOLD,train,年,年,nên
gold/yen2_page_0012_c04_049.png,GOLD,train,㝵,㝵,người
gold/yen2_page_0012_c04_051.png,GOLD,train,垩,垩,Thánh
gold/yen2_page_0012_c04_052.png,GOLD,train,奇,奇,cả
gold/yen2_page_0012_c04_053.png,GOLD,train,喡,韋,và
gold/yen2_page_0012_c04_054.png,GOLD,train,曰,曰,viết
gold/yen2_page_0012_c04_055.png,GOLD,train,無,無,vô
gold/yen2_page_0012_c04_056.png,GOLD,train,城,城,thành
gold/yen2_page_0012_c04_058.png,GOLD,train,卑,卑,ti
gold/yen2_page_0012_c05_059.png,GOLD,train,塢,怎,ô
silver/yen2_page_0012_c05_060.png,SILVER,train,箕,冥,ki
silver/yen2_page_0012_c05_061.png,SILVER,train,欺,般,Khi
gold/yen2_page_0012_c05_062.png,GOLD,train,意,意,ấy
gold/yen2_page_0012_c05_063.png,GOLD,train,君,君,vua
gold/yen2_page_0012_c05_064.png,GOLD,train,箸,署,nước
gold/yen2_page_0012_c05_066.png,GOLD,train,先,先,tên
gold/yen2_page_0012_c05_068.png,GOLD,train,查,查,Tra
gold/yen2_page_0012_c05_069.png,GOLD,train,加,加,gia
