source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,stratum,risk_reason,design_weight,item_id,audit_order
27375,gold/yen2_page_0244_c01_006.png,yen2,page_0244,1,代,đời,代,U+4EE3,char,GOLD,s1_inter_s2_direct,,0.234,106.0,157.0,3f9b65156b69,ok,train,yen2|page_0244|c1,"[1447, 1078, 1557, 1205]",,False,False,False,False,False,False,True,False,False,True,1.481132075471698,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,d812b79332cc4741,0
62219,silver/yen2_page_0226_c05_080.png,yen2,page_0226,5,孤,Phê,批,U+6279,char,SILVER,s2_inter_s3_corrected,0.948,0.232,110.0,136.0,14343fe604bb,ok,train,yen2|page_0226|c5,"[866, 762, 966, 872]",0.948,True,False,False,False,False,False,False,False,False,False,1.2363636363636363,False,False,False,0.0,other,clean,75.11320754716981,b8d5208a0b1b411b,1
44556,gold/yen4_page_0284_c09_199.png,yen4,page_0284,9,意,ý,意,U+610F,char,GOLD,s1_inter_s2_direct,,0.134,57.0,74.0,644fa88aef54,ok,train,yen4|page_0284|c9,"[169, 1572, 236, 1642]",,False,False,False,False,False,False,True,False,False,True,1.2982456140350878,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,adf42096b3cb58b7,2
62104,silver/yen2_page_0214_c01_018.png,yen2,page_0214,1,唐,vì,爲,U+7232,char,SILVER,s2_inter_s3_corrected,0.716,0.189,127.0,147.0,1f6bc50f238e,ok,train,yen2|page_0214|c1,"[1445, 2168, 1552, 2287]",0.716,True,False,False,False,False,False,False,False,False,False,1.15748031496063,False,False,False,0.0,other,clean,75.11320754716981,42bbf8aaf2d12415,3
8836,syllable/yen11_page_0290_c09_172.png,yen11,page_0290,9,哦,dạy,,,syllable,SYLLABLE,nghia_consensus,0.133,0.175,84.0,148.0,a028b5dee11a,ok,train,yen11|page_0290|c9,"[242, 705, 340, 825]",0.133,True,False,False,False,False,False,False,True,True,False,1.761904761904762,False,False,False,0.6,s3_low,s3=0.13<τ,37.47752808988764,998e9bf89c46a00a,4
16576,gold/yen2_page_0014_c08_172.png,yen2,page_0014,8,於,ở,於,U+65BC,char,GOLD,s1_inter_s2_direct,,0.189,124.0,146.0,9f45851beaac,ok,train,yen2|page_0014|c8,"[359, 1653, 461, 1771]",,False,False,False,False,False,False,True,False,False,True,1.1774193548387095,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,30d42512dd29f30c,5
36544,gold/yen4_page_0118_c04_081.png,yen4,page_0118,4,底,để,底,U+5E95,char,GOLD,s1_inter_s2_direct,,0.147,74.0,99.0,6569dd2bdf3b,ok,train,yen4|page_0118|c4,"[666, 1138, 737, 1219]",,False,False,False,False,False,False,True,False,False,True,1.337837837837838,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,c02a1f79754a1b3b,6
19344,gold/yen2_page_0068_c09_174.png,yen2,page_0068,9,佇,giữ,佇,U+4F47,char,GOLD,s1_inter_s2_direct,,0.166,121.0,142.0,2bd85aec98bd,ok,train,yen2|page_0068|c9,"[235, 1130, 334, 1246]",,False,False,False,False,False,False,True,False,False,True,1.1735537190082646,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,bcedd718a987b1ab,7
18815,gold/yen2_page_0058_c08_161.png,yen2,page_0058,8,末,mặt,末,U+672B,char,GOLD,s1_inter_s2_direct,,0.261,133.0,156.0,ee9a7d440cdb,ok,val,yen2|page_0058|c8,"[387, 1066, 501, 1192]",,False,False,False,False,False,False,True,False,False,True,1.1729323308270676,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),75.1512027491409,a36c943cdd893269,8
2227,gold/yen11_page_0202_c07_119.png,yen11,page_0202,7,生,sinh,生,U+751F,char,GOLD,s1_inter_s2_direct,,0.228,82.0,108.0,039368ac37b0,ok,train,yen11|page_0202|c7,"[567, 438, 670, 542]",,False,False,True,True,False,False,True,False,False,True,1.3170731707317074,False,False,False,0.9,dup_defect,cross-col(F1),24.956989247311828,8388a0fca421707d,9
979,gold/yen4_page_0028_c07_053.png,yen4,page_0028,7,各,các,各,U+5404,char,GOLD,s1_inter_s2_direct,,0.157,83.0,98.0,65b15905e46d,ok,train,yen4|page_0028|c7,"[461, 572, 533, 652]",,False,False,True,True,False,False,True,False,False,True,1.180722891566265,False,False,False,0.9,dup_defect,cross-col(F1),24.956989247311828,6202383fc6570917,10
10997,silver/yen11_page_0102_c01_020.png,yen11,page_0102,1,氏,ấy,衣,U+8863,char,SILVER,s2_inter_s3_corrected,0.593,0.127,116.0,148.0,d01c7a6f4a30,ok,train,yen11|page_0102|c1,"[1478, 2299, 1585, 2419]",0.593,True,False,False,False,False,False,False,True,False,False,1.2758620689655171,False,False,False,0.35,s3_low,s3=0.59<τ,37.47752808988764,a8de1626f74f3aa4,11
