image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox
gold/yen2_page_0012_c01_000.png,yen2,page_0012,1,二,Nhị,二,U+4E8C,char,GOLD,s1_inter_s2_direct,,0.204,65,118,3a570328e54d,tall,train,yen2|page_0012|c1,"[1455, 613, 1508, 716]"
gold/yen2_page_0012_c01_001.png,yen2,page_0012,1,月,nguyệt,月,U+6708,char,GOLD,s1_inter_s2_direct,,0.218,65,194,b60e8e8fdc0e,tall,train,yen2|page_0012|c1,"[1455, 698, 1508, 859]"
,yen2,page_0012,1,六,bát,,,,REVIEW,below_visual_threshold,0.026,,,,,,train,yen2|page_0012|c1,"[1455, 840, 1508, 993]"
,yen2,page_0012,1,曰,nhật,,,,REVIEW,diverged_column,,,,,,,train,yen2|page_0012|c1,"[1455, 974, 1508, 1068]"
silver/yen2_page_0012_c02_004.png,yen2,page_0012,2,祓,NHÁT,拮,U+62EE,char,SILVER,s3_head_bank_consensus,0.006,0.28,128,131,1dccfd59af26,ok,train,yen2|page_0012|c2,"[1287, 469, 1391, 576]"
gold/yen2_page_0012_c02_005.png,yen2,page_0012,2,日,NHẬT,日,U+65E5,char,GOLD,s1_inter_s2_direct,,0.186,128,145,2319d2d0eb7d,ok,train,yen2|page_0012|c2,"[1287, 556, 1391, 673]"
gold/yen2_page_0012_c02_006.png,yen2,page_0012,2,翁,Ong,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.18,128,145,bc647f98ec76,ok,train,yen2|page_0012|c2,"[1287, 750, 1391, 867]"
,yen2,page_0012,2,依,Thánh,,,,REVIEW,below_visual_threshold,0.084,,,,,,train,yen2|page_0012|c2,"[1287, 944, 1391, 1061]"
,yen2,page_0012,2,那,Ina,,,,REVIEW,below_visual_threshold,0.199,,,,,,train,yen2|page_0012|c2,"[1287, 1042, 1391, 1158]"
gold/yen2_page_0012_c02_009.png,yen2,page_0012,2,樞,xu,樞,U+6A1E,char,GOLD,s1_inter_s2_direct,,0.212,117,145,b2d273afc651,ok,train,yen2|page_0012|c2,"[1287, 1139, 1391, 1256]"
gold/yen2_page_0012_c02_010.png,yen2,page_0012,2,曰,viết,曰,U+66F0,char,GOLD,s1_inter_s2_direct,,0.175,128,145,38c57e536dff,ok,train,yen2|page_0012|c2,"[1287, 1236, 1391, 1353]"
syllable/yen2_page_0012_c02_011.png,yen2,page_0012,2,無,vồ,,,syllable,SYLLABLE,nghia_consensus,0.026,0.211,128,145,c18db7676cac,ok,train,yen2|page_0012|c2,"[1287, 1333, 1391, 1450]"
gold/yen2_page_0012_c02_012.png,yen2,page_0012,2,死,tử,死,U+6B7B,char,GOLD,s1_inter_s2_direct,,0.19,128,145,d97236e785fd,ok,train,yen2|page_0012|c2,"[1287, 1430, 1391, 1547]"
,yen2,page_0012,2,乕,vì,,,,REVIEW,below_visual_threshold,0.153,,,,,,train,yen2|page_0012|c2,"[1287, 1527, 1391, 1644]"
gold/yen2_page_0012_c02_014.png,yen2,page_0012,2,道,đao,道,U+9053,char,GOLD,s1_inter_s2_direct,,0.189,128,145,73068f82c417,ok,train,yen2|page_0012|c2,"[1287, 1624, 1391, 1741]"
silver/yen2_page_0012_c02_015.png,yen2,page_0012,2,傳,truyen,傳,U+50B3,char,SILVER,s1_inter_s3_out_of_dict,0.929,0.19,128,130,5077df8990d3,ok,train,yen2|page_0012|c2,"[1287, 1722, 1391, 1828]"
gold/yen2_page_0012_c03_016.png,yen2,page_0012,3,翁,Ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.25,162,125,1c47a92848d0,ok,test,yen2|page_0012|c3,"[1111, 468, 1243, 569]"
,yen2,page_0012,3,圭,Thánh,,,,REVIEW,below_visual_threshold,0.41,,,,,,test,yen2|page_0012|c3,"[1111, 551, 1243, 661]"
,yen2,page_0012,3,君,này,,,,REVIEW,below_visual_threshold,0.055,,,,,,test,yen2|page_0012|c3,"[1111, 643, 1243, 753]"
syllable/yen2_page_0012_c03_019.png,yen2,page_0012,3,要,là,,,syllable,SYLLABLE,nghia_consensus,0.075,0.198,162,136,d95955bfcb1e,ok,test,yen2|page_0012|c3,"[1111, 735, 1243, 845]"
,yen2,page_0012,3,兹,đầy,,,,REVIEW,below_visual_threshold,0.089,,,,,,test,yen2|page_0012|c3,"[1111, 827, 1243, 936]"
gold/yen2_page_0012_c03_021.png,yen2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.132,162,136,6eea2b263c4a,ok,test,yen2|page_0012|c3,"[1111, 918, 1243, 1028]"
gold/yen2_page_0012_c03_022.png,yen2,page_0012,3,翁,ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.18,162,136,1c636bfef1fe,ok,test,yen2|page_0012|c3,"[1111, 1010, 1243, 1120]"
gold/yen2_page_0012_c03_023.png,yen2,page_0012,3,垩,Thánh,垩,U+57A9,char,GOLD,s1_inter_s2_direct,,0.177,162,136,09a92f3a36a6,ok,test,yen2|page_0012|c3,"[1111, 1102, 1243, 1212]"
syllable/yen2_page_0012_c03_024.png,yen2,page_0012,3,樞,Giu,,,syllable,SYLLABLE,nghia_consensus,0.062,0.259,162,135,02ec9d590e17,ok,test,yen2|page_0012|c3,"[1111, 1194, 1243, 1303]"
,yen2,page_0012,3,幹,ong,,,,REVIEW,below_visual_threshold,0.34,,,,,,test,yen2|page_0012|c3,"[1111, 1285, 1243, 1395]"
,yen2,page_0012,3,梁,là,,,,REVIEW,below_visual_threshold,0.122,,,,,,test,yen2|page_0012|c3,"[1111, 1377, 1243, 1487]"
silver/yen2_page_0012_c03_027.png,yen2,page_0012,3,兹,đầy,苔,U+82D4,char,SILVER,s2_inter_s3_corrected,0.612,0.195,147,136,b60d3c03f6ff,ok,test,yen2|page_0012|c3,"[1111, 1469, 1243, 1579]"
gold/yen2_page_0012_c03_028.png,yen2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.168,142,136,34e241df04ec,ok,test,yen2|page_0012|c3,"[1111, 1561, 1243, 1671]"
gold/yen2_page_0012_c03_029.png,yen2,page_0012,3,奇,cả,奇,U+5947,char,GOLD,s1_inter_s2_direct,,0.154,162,135,35b0ae3a40b3,ok,test,yen2|page_0012|c3,"[1111, 1653, 1243, 1762]"
gold/yen2_page_0012_c03_030.png,yen2,page_0012,3,徳,Đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.177,162,136,6a63332f8127,ok,test,yen2|page_0012|c3,"[1111, 1744, 1243, 1854]"
gold/yen2_page_0012_c03_031.png,yen2,page_0012,3,主,Chúa,主,U+4E3B,char,GOLD,s1_inter_s2_direct,,0.207,145,136,f89952671762,ok,test,yen2|page_0012|c3,"[1111, 1836, 1243, 1946]"
gold/yen2_page_0012_c03_032.png,yen2,page_0012,3,支,Giê,支,U+652F,char,GOLD,s1_inter_s2_direct,,0.162,142,136,1d3e56a5b6b1,ok,test,yen2|page_0012|c3,"[1111, 1928, 1243, 2038]"
gold/yen2_page_0012_c03_033.png,yen2,page_0012,3,秋,su,秋,U+79CB,char,GOLD,s1_inter_s2_direct,,0.175,162,135,4f221cbf2851,ok,test,yen2|page_0012|c3,"[1111, 2020, 1243, 2129]"
silver/yen2_page_0012_c03_034.png,yen2,page_0012,3,去,cùng,共,U+5171,char,SILVER,s2_inter_s3_corrected,0.713,0.158,162,136,24316bbfd676,ok,test,yen2|page_0012|c3,"[1111, 2111, 1243, 2221]"
gold/yen2_page_0012_c03_035.png,yen2,page_0012,3,体,thấy,体,U+4F53,char,GOLD,s1_inter_s2_direct,,0.129,162,136,171e12c4e792,ok,test,yen2|page_0012|c3,"[1111, 2203, 1243, 2313]"
silver/yen2_page_0012_c03_036.png,yen2,page_0012,3,慓,rất,慄,U+6144,char,SILVER,s2_inter_s3_corrected,0.605,0.147,162,136,953ea61e0677,ok,test,yen2|page_0012|c3,"[1111, 2295, 1243, 2405]"
,yen2,page_0012,3,圭,Thánh,,,,REVIEW,below_visual_threshold,0.331,,,,,,test,yen2|page_0012|c3,"[1111, 2387, 1243, 2488]"
gold/yen2_page_0012_c04_038.png,yen2,page_0012,4,徳,Đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.228,152,130,48d642e6d389,ok,train,yen2|page_0012|c4,"[960, 467, 1084, 573]"
