source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_head_cos,s3_head_prob,s3_head_margin,s3_head_isarg,s3_bank_cos,s3_mls,s3_signals_present,s3_head_present,s3_head_disagree,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,head_disagree,bank_cos_val,bank_low,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,stratum,risk_reason,design_weight,item_id,audit_order,audit_batch
40356,gold/stt4_page_0144_c02_028.png,stt4,page_0144,2,令,lành,令,U+4EE4,char,GOLD,s1_inter_s2_direct,,0.131,62.0,92.0,9db30d69890a,ok,train,stt4|page_0144|c2,"[871, 708, 939, 789]",0.7251573204994202,0.0012883850140497,0.3647257387638092,1.0,0.7612433433532715,0.7251573204994202,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7612433433532715,False,False,1.4838709677419355,False,False,False,0.0,gold_direct,clean,200.124,ccafad15a0e24333,0,label_srs
6171,gold/stt2_page_0076_c08_153.png,stt2,page_0076,8,固,có,固,U+56FA,char,GOLD,s1_inter_s2_direct,,0.203,103.0,142.0,94bbdaf839f1,ok,train,stt2|page_0076|c8,"[347, 974, 451, 1096]",0.7392325401306152,0.0013072608271613,0.5222519934177399,1.0,0.7581496238708496,0.7392325401306152,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7581496238708496,False,False,1.3786407766990292,False,False,False,0.0,gold_direct,clean,200.124,16dd08bad08a8893,1,label_srs
80825,gold/stt11_page_0284_c03_039.png,stt11,page_0284,3,時,thì,時,U+6642,char,GOLD,s1_inter_s2_direct,,0.193,79.0,143.0,b59de11fe289,tall,test,stt11|page_0284|c3,"[1197, 1010, 1300, 1129]",0.6832754611968994,0.001218041521497,0.3866380453109741,1.0,0.8130133748054504,0.6832754611968994,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8130133748054504,False,False,1.8101265822784811,True,False,True,0.19999999999999996,quality_flag,aspect=1.81,200.124,21e16f33bd6d0f30,2,label_srs
41547,gold/stt4_page_0156_c08_143.png,stt4,page_0156,8,宰,tốt,𡨧,U+21A27,char,GOLD,s1_inter_s2_similar,0.648,0.136,62.0,92.0,dc4686238101,ok,train,stt4|page_0156|c8,"[282, 909, 352, 985]",0.6768907308578491,0.0012425848981365,0.3980360925197601,1.0,0.6022076606750488,0.6768907308578491,True,True,False,0.648,True,False,False,False,True,False,False,False,False,False,0.6022076606750488,False,False,1.4838709677419355,False,False,False,0.30000000000000004,similar_bridge,similar-bridge,200.124,8df902fdea6ab9ab,3,label_srs
69184,gold/stt11_page_0160_c03_029.png,stt11,page_0160,3,固,có,固,U+56FA,char,GOLD,s1_inter_s2_direct,,0.245,74.0,137.0,6a7cf9f1bcfb,tall,train,stt11|page_0160|c3,"[1186, 611, 1290, 727]",0.6849976181983948,0.0012213592417538,0.3952042460441589,1.0,0.7963091135025024,0.6849976181983948,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7963091135025024,False,False,1.8513513513513513,True,False,True,0.19999999999999996,quality_flag,aspect=1.85,200.124,51230e70c9771cf0,4,label_srs
18015,gold/stt2_page_0214_c01_001.png,stt2,page_0214,1,天,thiên,天,U+5929,char,GOLD,s1_inter_s2_direct,,0.173,130.0,129.0,cd8d9617df4b,ok,train,stt2|page_0214|c1,"[1466, 583, 1572, 695]",0.6371996402740479,0.0011686471989378,0.299582839012146,1.0,0.7406863570213318,0.6371996402740479,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7406863570213318,False,False,0.9923076923076923,False,False,False,0.0,gold_direct,clean,200.124,24ac7a92f26302bc,5,label_srs
15060,gold/stt2_page_0178_c01_005.png,stt2,page_0178,1,仕,sãi,仕,U+4ED5,char,GOLD,s1_inter_s2_direct,,0.144,127.0,151.0,bde56988d3e7,ok,train,stt2|page_0178|c1,"[1428, 1000, 1531, 1125]",0.6552754640579224,0.0012060676235705,0.290330022573471,1.0,0.7083958983421326,0.6552754640579224,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7083958983421326,False,False,1.188976377952756,False,False,False,0.0,gold_direct,clean,200.124,9f42db69d4e9e714,6,label_srs
55965,gold/stt11_page_0014_c05_096.png,stt11,page_0014,5,油,dù,油,U+6CB9,char,GOLD,s1_inter_s2_direct,,0.26,95.0,133.0,e5d2b397108e,ok,train,stt11|page_0014|c5,"[851, 1316, 960, 1426]",0.6032018661499023,0.0011408773716539,0.2818688750267029,1.0,0.7466862201690674,0.6032018661499023,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7466862201690674,False,False,1.4,False,False,False,0.0,gold_direct,clean,200.124,ef7eb33d68a04a3b,7,label_srs
37567,gold/stt4_page_0114_c02_039.png,stt4,page_0114,2,召,chịu,召,U+53EC,char,GOLD,s1_inter_s2_direct,,0.104,62.0,95.0,f46ba9ce0139,ok,test,stt4|page_0114|c2,"[862, 1303, 932, 1380]",0.6921199560165405,0.0012601986527442,0.4247477054595947,1.0,0.6445757150650024,0.6921199560165405,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.6445757150650024,False,False,1.532258064516129,False,False,False,0.0,gold_direct,clean,200.124,596d99b4f00afee5,8,label_srs
42947,gold/stt4_page_0170_c09_178.png,stt4,page_0170,9,特,được,特,U+7279,char,GOLD,s1_inter_s2_direct,,0.149,74.0,82.0,36baa3077660,ok,train,stt4|page_0170|c9,"[216, 737, 286, 814]",0.285897821187973,0.0008146300096996,-0.3523167669773102,0.0,0.2999387681484222,0.6382145881652832,True,True,True,,False,False,False,False,False,False,True,False,False,True,0.2999387681484222,True,False,1.1081081081081081,False,False,False,0.5874999999999999,head_disagree,"head-disagree,bank=0.30(p10)",200.124,90e47e3a3a9307f5,9,label_srs
