source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,stratum,design_weight,item_id,audit_order
61687,silver/yen11_page_0076_c09_172.png,yen11,page_0076,9,謨,giảng,講,U+8B1B,char,SILVER,s2_inter_s3_corrected,0.727,0.194,117.0,145.0,939f411f445d,ok,train,yen11|page_0076|c9,"[301, 2248, 405, 2365]",s2_inter_s3_corrected,15.11900826446281,d78a8e29550f6ff8,0
57462,silver/yen11_page_0030_c01_018.png,yen11,page_0030,1,爐,nóng,燶,U+71F6,char,SILVER,s3_head_bank_consensus,0.23,0.268,120.0,131.0,2e4d5e37f897,ok,train,yen11|page_0030|c1,"[1462, 2131, 1568, 2238]",s3_head_bank_consensus,14.485714285714286,afa012f09f78b62b,1
42028,silver/yen4_page_0162_c03_060.png,yen4,page_0162,3,釣,vui,盃,U+76C3,char,SILVER,s3_head_bank_consensus,0.026,0.187,63.0,93.0,a0fb2e17981a,ok,val,yen4|page_0162|c3,"[787, 911, 853, 986]",s3_head_bank_consensus,14.485714285714286,c106e76ec283e330,2
49305,silver/yen4_page_0240_c08_150.png,yen4,page_0240,8,樞,giu,樞,U+6A1E,char,SILVER,s1_inter_s3_out_of_dict,0.897,0.137,72.0,88.0,d0162f5fb7e6,ok,train,yen4|page_0240|c8,"[283, 283, 350, 355]",s1_inter_s3_out_of_dict,4.7,e934aa4d5903e426,3
50832,silver/yen4_page_0256_c09_179.png,yen4,page_0256,9,偉,tôi,碎,U+788E,char,SILVER,s2_inter_s3_corrected,0.533,0.115,72.0,96.0,c2b3bf444607,ok,train,yen4|page_0256|c9,"[174, 1033, 245, 1111]",s2_inter_s3_corrected,15.11900826446281,d22c61cbc217029c,4
11279,silver/yen2_page_0132_c02_024.png,yen2,page_0132,2,足,chịu,召,U+53EC,char,SILVER,s2_inter_s3_corrected,0.618,0.218,126.0,142.0,496542ac53fc,ok,train,yen2|page_0132|c2,"[1264, 849, 1369, 965]",s2_inter_s3_corrected,15.11900826446281,ec2e26a02e3b52e8,5
59062,silver/yen11_page_0050_c01_013.png,yen11,page_0050,1,染,thầy,柴,U+67F4,char,SILVER,s2_inter_s3_corrected,0.928,0.219,82.0,141.0,3df3855a7663,ok,train,yen11|page_0050|c1,"[1465, 1659, 1567, 1774]",s2_inter_s3_corrected,15.11900826446281,95aa668b526f8e32,6
21575,silver/yen2_page_0254_c09_156.png,yen2,page_0254,9,𭪙,nghiệp,業,U+696D,char,SILVER,s3_head_bank_consensus,0.131,0.233,98.0,157.0,03fb1395e228,ok,train,yen2|page_0254|c9,"[232, 1759, 349, 1898]",s3_head_bank_consensus,14.485714285714286,a951ca579317270f,7
39063,silver/yen4_page_0130_c03_043.png,yen4,page_0130,3,街,về,𧗱,U+275F1,char,SILVER,s2_inter_s3_corrected,0.901,0.17,77.0,79.0,ace269b463b9,ok,train,yen4|page_0130|c3,"[792, 261, 863, 337]",s2_inter_s3_corrected,15.11900826446281,1d4a7627c26dc339,8
14230,silver/yen2_page_0168_c02_023.png,yen2,page_0168,2,帯,dưới,𢃄,U+220C4,char,SILVER,s2_inter_s3_corrected,0.777,0.241,126.0,176.0,ad553a56d3e6,ok,test,yen2|page_0168|c2,"[1276, 932, 1389, 1074]",s2_inter_s3_corrected,15.11900826446281,9e16546df43370a1,9
44968,silver/yen4_page_0194_c03_064.png,yen4,page_0194,3,置,mới,買,U+8CB7,char,SILVER,s2_inter_s3_corrected,0.64,0.171,80.0,94.0,11c291fd68d6,ok,train,yen4|page_0194|c3,"[779, 1513, 845, 1589]",s2_inter_s3_corrected,15.11900826446281,b0b3cf2e04cdfd3e,10
38086,silver/yen4_page_0118_c08_166.png,yen4,page_0118,8,紏,dấu,𧿫,U+27FEB,char,SILVER,s2_inter_s3_corrected,0.945,0.115,89.0,104.0,787f755a31ba,ok,train,yen4|page_0118|c8,"[273, 880, 346, 964]",s2_inter_s3_corrected,15.11900826446281,ad76dcd840ea39f2,11
13485,silver/yen2_page_0158_c04_077.png,yen2,page_0158,4,希,nào,市,U+5E02,char,SILVER,s2_inter_s3_corrected,0.681,0.271,121.0,163.0,105e94d08875,ok,test,yen2|page_0158|c4,"[999, 2295, 1111, 2428]",s2_inter_s3_corrected,15.11900826446281,04cf8cf8da27a61f,12
16077,silver/yen2_page_0190_c02_021.png,yen2,page_0190,2,妃,bà,把,U+628A,char,SILVER,s2_inter_s3_corrected,0.507,0.214,129.0,156.0,4cbf2d79d794,ok,train,yen2|page_0190|c2,"[1269, 695, 1374, 821]",s2_inter_s3_corrected,15.11900826446281,624f35dd9c554584,13
31348,silver/yen4_page_0046_c01_008.png,yen4,page_0046,1,交,lại,吏,U+540F,char,SILVER,s2_inter_s3_corrected,0.905,0.146,75.0,94.0,f50e1ee952a2,ok,train,yen4|page_0046|c1,"[968, 756, 1039, 834]",s2_inter_s3_corrected,15.11900826446281,1b2559279535b33b,14
53242,silver/yen4_page_0282_c06_112.png,yen4,page_0282,6,悟,khác,恪,U+606A,char,SILVER,s2_inter_s3_corrected,0.735,0.223,64.0,66.0,c0680bc62d76,ok,train,yen4|page_0282|c6,"[477, 295, 541, 361]",s2_inter_s3_corrected,15.11900826446281,b992e495be3e7e9c,15
