image,book,page,column,ocr_char,syllable,label,unicode,tier,rule,bbox,image_md5
gold/stt11_page_0010_c01_001.png,stt11,page_0010,1,邁,mươi,邁,U+9081,GOLD,s1_inter_s2_direct,"[1453, 801, 1577, 942]",ffffa95050e8
syllable/stt11_page_0010_c01_002.png,stt11,page_0010,1,戔,một,,,SYLLABLE,syl_ctx:corpus4,"[1452, 924, 1575, 1068]",0b1883585fa7
gold/stt11_page_0010_c01_003.png,stt11,page_0010,1,固,có,固,U+56FA,GOLD,s1_inter_s2_direct,"[1455, 1041, 1574, 1185]",6da084420aab
gold/stt11_page_0010_c01_004.png,stt11,page_0010,1,巴,ba,巴,U+5DF4,GOLD,s1_inter_s2_direct,"[1455, 1167, 1574, 1314]",f574ec8b91bf
gold/stt11_page_0010_c01_005.png,stt11,page_0010,1,邁,mươi,邁,U+9081,GOLD,s1_inter_s2_direct,"[1458, 1293, 1588, 1437]",2772d4ce7d09
syllable/stt11_page_0010_c01_006.png,stt11,page_0010,1,䏷,ngày,,,SYLLABLE,syl_ctx:corpus4,"[1451, 1405, 1577, 1539]",2413910495f8
gold/stt11_page_0010_c02_007.png,stt11,page_0010,2,夢,mong,夢,U+5922,GOLD,s1_inter_s2_direct,"[1307, 403, 1425, 519]",8ea7124ffa45
gold/stt11_page_0010_c02_008.png,stt11,page_0010,2,蔑,một,蔑,U+8511,GOLD,s1_inter_s2_direct,"[1306, 492, 1426, 616]",a36e9ff1fd88
syllable/stt11_page_0010_c02_009.png,stt11,page_0010,2,礼,lê,,,SYLLABLE,syl_ctx:bigram,"[1307, 589, 1422, 710]",f6c9c2c39325
gold/stt11_page_0010_c02_010.png,stt11,page_0010,2,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[1306, 684, 1422, 805]",59320e7b535f
gold/stt11_page_0010_c02_011.png,stt11,page_0010,2,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[1300, 789, 1415, 909]",0a6675f4d3d9
syllable/stt11_page_0010_c02_012.png,stt11,page_0010,2,𣣱,hôm,,,SYLLABLE,syl_ctx:bigram,"[1309, 887, 1420, 1002]",82d9f9bb5e64
gold/stt11_page_0010_c02_013.png,stt11,page_0010,2,尼,nay,尼,U+5C3C,GOLD,s1_inter_s2_direct,"[1308, 981, 1422, 1098]",abe4032301b1
syllable/stt11_page_0010_c02_014.png,stt11,page_0010,2,衣,i,,,SYLLABLE,syl_ctx:bigram,"[1306, 1074, 1424, 1194]",b825acc6d80f
syllable/stt11_page_0010_c02_015.png,stt11,page_0010,2,計,ghê,,,SYLLABLE,syl_ctx:bigram,"[1308, 1181, 1423, 1298]",33877ea98dda
syllable/stt11_page_0010_c02_016.png,stt11,page_0010,2,移,rê,,,SYLLABLE,syl_ctx:bigram,"[1307, 1274, 1425, 1395]",de0d85755dfe
gold/stt11_page_0010_c02_018.png,stt11,page_0010,2,礼,lễ,礼,U+793C,GOLD,s1_inter_s2_direct_am_sua_dau,"[1308, 1580, 1424, 1700]",cb6c1448e66b
gold/stt11_page_0010_c02_019.png,stt11,page_0010,2,明,mừng,明,U+660E,GOLD,s1_inter_s2_direct,"[1308, 1674, 1425, 1796]",19efbc1ad7de
gold/stt11_page_0010_c02_020.png,stt11,page_0010,2,各,các,各,U+5404,GOLD,s1_inter_s2_direct,"[1307, 1770, 1427, 1891]",f3c0d009320c
gold/stt11_page_0010_c02_021.png,stt11,page_0010,2,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[1308, 1875, 1425, 1995]",ae2a6ed705dd
gold/stt11_page_0010_c02_022.png,stt11,page_0010,2,特,được,特,U+7279,GOLD,s1_inter_s2_direct,"[1308, 1969, 1424, 2091]",70b73cf06a3b
gold/stt11_page_0010_c02_023.png,stt11,page_0010,2,福,phúc,福,U+798F,GOLD,s1_inter_s2_direct,"[1308, 2063, 1423, 2187]",83606fb44d5c
gold/stt11_page_0010_c02_024.png,stt11,page_0010,2,極,cực,極,U+6975,GOLD,s1_inter_s2_direct,"[1320, 2160, 1432, 2282]",fd3b52d93928
gold/stt11_page_0010_c02_025.png,stt11,page_0010,2,重,trọng,重,U+91CD,GOLD,s1_inter_s2_direct,"[1298, 2267, 1413, 2384]",2a4253c93907
syllable/stt11_page_0010_c02_026.png,stt11,page_0010,2,䍐,là,,,SYLLABLE,syl_ctx:corpus4,"[1299, 2364, 1411, 2474]",a27a57242796
gold/stt11_page_0010_c03_027.png,stt11,page_0010,3,体,thấy,体,U+4F53,GOLD,s1_inter_s2_direct,"[1153, 415, 1263, 526]",f6861f67466e
syllable/stt11_page_0010_c03_028.png,stt11,page_0010,3,行,đức,,,SYLLABLE,syl_ctx:bigram,"[1155, 505, 1262, 624]",1a3c61b9a4a1
gold/stt11_page_0010_c03_029.png,stt11,page_0010,3,主,chúa,主,U+4E3B,GOLD,s1_inter_s2_direct,"[1153, 599, 1262, 720]",3bd8ed13a825
gold/stt11_page_0010_c03_030.png,stt11,page_0010,3,忝,trời,𡗶,U+215F6,GOLD,s1_inter_s2_similar,"[1151, 695, 1262, 815]",0188402dba16
gold/stt11_page_0010_c03_031.png,stt11,page_0010,3,訴,tỏ,訴,U+8A34,GOLD,s1_inter_s2_direct,"[1152, 797, 1260, 918]",134fec6a1dd2
gold/stt11_page_0010_c03_032.png,stt11,page_0010,3,詳,tường,詳,U+8A73,GOLD,s1_inter_s2_direct,"[1151, 886, 1264, 1004]",4beed111ca33
gold/stt11_page_0010_c03_033.png,stt11,page_0010,3,代,đời,代,U+4EE3,GOLD,s1_inter_s2_direct,"[1150, 1019, 1268, 1142]",e1e0595506fa
gold/stt11_page_0010_c03_035.png,stt11,page_0010,3,幾,một,没,U+6CA1,GOLD,s1_inter_s2_similar,"[1150, 1225, 1268, 1348]",3c738b2baa25
gold/stt11_page_0010_c03_036.png,stt11,page_0010,3,事,sự,事,U+4E8B,GOLD,s1_inter_s2_direct,"[1150, 1328, 1268, 1451]",2112459a099f
syllable/stt11_page_0010_c03_037.png,stt11,page_0010,3,而,làm,,,SYLLABLE,syl_ctx:bigram,"[1150, 1430, 1268, 1554]",2e4a7f7ec834
gold/stt11_page_0010_c03_038.png,stt11,page_0010,3,朱,cho,朱,U+6731,GOLD,s1_inter_s2_direct,"[1150, 1533, 1268, 1656]",e9e28d974a0a
gold/stt11_page_0010_c03_040.png,stt11,page_0010,3,盃,vui,盃,U+76C3,GOLD,s1_inter_s2_direct,"[1161, 1719, 1275, 1835]",deb6fab60786
gold/stt11_page_0010_c03_042.png,stt11,page_0010,3,冷,lành,冷,U+51B7,GOLD,s1_inter_s2_direct,"[1154, 1982, 1262, 2101]",9bc6f4faa59e
syllable/stt11_page_0010_c03_043.png,stt11,page_0010,3,与,đức,,,SYLLABLE,syl_ctx:bigram,"[1150, 2047, 1268, 2170]",9910257ab632
gold/stt11_page_0010_c03_044.png,stt11,page_0010,3,主,chúa,主,U+4E3B,GOLD,s1_inter_s2_direct,"[1155, 2175, 1260, 2290]",139616809b28
syllable/stt11_page_0010_c03_045.png,stt11,page_0010,3,丞,trời,,,SYLLABLE,syl_ctx:bigram,"[1156, 2270, 1259, 2385]",89be3e5a0198
syllable/stt11_page_0010_c03_046.png,stt11,page_0010,3,異,là,,,SYLLABLE,syl_ctx:corpus4,"[1155, 2366, 1261, 2471]",638196991b40
gold/stt11_page_0010_c04_047.png,stt11,page_0010,4,脉,mạch,脉,U+8109,GOLD,s1_inter_s2_direct,"[1013, 412, 1125, 523]",158eddb32bd0
gold/stt11_page_0010_c04_048.png,stt11,page_0010,4,每,mọi,每,U+6BCF,GOLD,s1_inter_s2_direct,"[1011, 502, 1125, 625]",c8ea7d91d66b
gold/stt11_page_0010_c04_049.png,stt11,page_0010,4,事,sự,事,U+4E8B,GOLD,s1_inter_s2_direct,"[1004, 599, 1117, 720]",84c46f542a48
gold/stt11_page_0010_c04_050.png,stt11,page_0010,4,盛,thịnh,盛,U+76DB,GOLD,s1_inter_s2_direct,"[1003, 695, 1115, 815]",e2e0523f18c8
gold/stt11_page_0010_c04_051.png,stt11,page_0010,4,翁,ông,翁,U+7FC1,GOLD,s1_inter_s2_direct,"[1003, 798, 1115, 920]",1fab191ce205
gold/stt11_page_0010_c04_052.png,stt11,page_0010,4,垩,thánh,垩,U+57A9,GOLD,s1_inter_s2_direct,"[1003, 902, 1116, 1026]",5d764247bfde
gold/stt11_page_0010_c04_053.png,stt11,page_0010,4,葩,pha,葩,U+8469,GOLD,s1_inter_s2_direct,"[1004, 997, 1116, 1124]",4ecd1fb9fb42
