source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,stratum,design_weight,item_id,audit_order
30728,syllable/yen4_page_0038_c08_172.png,yen4,page_0038,8,皇,thánh,,,syllable,SYLLABLE,nghia_consensus,0.266,0.152,90.0,98.0,350a12d6f31c,ok,test,yen4|page_0038|c8,"[266, 1360, 340, 1444]",nghia_consensus,22.503333333333334,733fa11cccfb0ea2,0
13243,syllable/yen2_page_0156_c01_013.png,yen2,page_0156,1,咄,hai,,,syllable,SYLLABLE,nghia_consensus,0.162,0.195,123.0,121.0,8b089c691720,ok,train,yen2|page_0156|c1,"[1436, 1676, 1539, 1786]",nghia_consensus,22.503333333333334,e07f528ddaf96e2e,1
33518,syllable/yen4_page_0068_c06_127.png,yen4,page_0068,6,至,thánh,,,syllable,SYLLABLE,nghia_consensus,0.203,0.144,77.0,94.0,0306873bd31c,ok,train,yen4|page_0068|c6,"[479, 955, 552, 1031]",nghia_consensus,22.503333333333334,c11eeb0c6f4d773b,2
16631,syllable/yen2_page_0196_c06_083.png,yen2,page_0196,6,𭔿,ông,,,syllable,SYLLABLE,nghia_consensus,0.081,0.21,119.0,170.0,23ade012123e,ok,test,yen2|page_0196|c6,"[649, 1609, 756, 1747]",nghia_consensus,22.503333333333334,e21ee27449f98bd4,3
74308,syllable/yen11_page_0214_c05_087.png,yen11,page_0214,5,之,pha,,,syllable,SYLLABLE,nghia_consensus,0.111,0.161,80.0,142.0,a082a904a911,ok,test,yen11|page_0214|c5,"[843, 698, 945, 814]",nghia_consensus,22.503333333333334,b820bb16418a6dd2,4
10652,syllable/yen2_page_0124_c09_172.png,yen2,page_0124,9,𭃡,xưa,,,syllable,SYLLABLE,nghia_consensus,0.055,0.141,125.0,148.0,973e9b000011,ok,train,yen2|page_0124|c9,"[204, 661, 309, 787]",nghia_consensus,22.503333333333334,ba1147d2dfccc353,5
38900,syllable/yen4_page_0128_c04_073.png,yen4,page_0128,4,爾,trời,,,syllable,SYLLABLE,nghia_consensus,0.429,0.153,78.0,80.0,1303e9894de1,ok,train,yen4|page_0128|c4,"[646, 700, 719, 771]",nghia_consensus,22.503333333333334,bbb499a276ea6e6e,6
11298,syllable/yen2_page_0132_c03_043.png,yen2,page_0132,3,嬢,mẹ,,,syllable,SYLLABLE,nghia_consensus,0.318,0.252,119.0,138.0,3369dd493196,ok,train,yen2|page_0132|c3,"[1109, 657, 1214, 769]",nghia_consensus,22.503333333333334,a8d5913bdf9206ca,7
8663,syllable/yen2_page_0104_c02_025.png,yen2,page_0104,2,𭄞,đức,,,syllable,SYLLABLE,nghia_consensus,0.046,0.232,99.0,140.0,6513ba0a48d1,ok,train,yen2|page_0104|c2,"[1290, 766, 1394, 880]",nghia_consensus,22.503333333333334,8e6289fb2cf6f661,8
3146,syllable/yen2_page_0044_c07_130.png,yen2,page_0044,7,𭃡,xưa,,,syllable,SYLLABLE,nghia_consensus,0.159,0.208,114.0,155.0,93a049819807,ok,train,yen2|page_0044|c7,"[518, 689, 622, 814]",nghia_consensus,22.503333333333334,b1350e04d3e28486,9
4795,syllable/yen2_page_0062_c03_060.png,yen2,page_0062,3,知,đức,,,syllable,SYLLABLE,nghia_consensus,0.067,0.183,107.0,137.0,2c45f664b590,ok,train,yen2|page_0062|c3,"[1135, 2157, 1239, 2268]",nghia_consensus,22.503333333333334,ca13d2993d390374,10
66420,syllable/yen11_page_0132_c01_014.png,yen11,page_0132,1,常,và,,,syllable,SYLLABLE,nghia_consensus,0.175,0.183,66.0,137.0,97e1cfa75cc9,tall,val,yen11|page_0132|c1,"[1491, 1649, 1594, 1760]",nghia_consensus,22.503333333333334,17e14d4818c291b4,11
64916,syllable/yen11_page_0116_c01_015.png,yen11,page_0116,1,人,ấy,,,syllable,SYLLABLE,nghia_consensus,0.106,0.126,96.0,140.0,48a04fee0a3c,ok,train,yen11|page_0116|c1,"[1514, 1831, 1618, 1945]",nghia_consensus,22.503333333333334,6d2df2b4a2b5a195,12
38635,syllable/yen4_page_0126_c01_007.png,yen4,page_0126,1,得,ngày,,,syllable,SYLLABLE,nghia_consensus,0.488,0.149,73.0,96.0,0efa57eb8f5e,ok,train,yen4|page_0126|c1,"[952, 727, 1020, 805]",nghia_consensus,22.503333333333334,30e235c99ce08b2a,13
30154,syllable/yen4_page_0032_c09_162.png,yen4,page_0032,9,貯,gần,,,syllable,SYLLABLE,nghia_consensus,0.132,0.133,64.0,109.0,9200774c6c7d,ok,train,yen4|page_0032|c9,"[159, 541, 237, 630]",nghia_consensus,22.503333333333334,28576a7600e22954,14
74047,syllable/yen11_page_0212_c01_015.png,yen11,page_0212,1,槎,si,,,syllable,SYLLABLE,nghia_consensus,0.585,0.145,93.0,155.0,cbbf22e1bb0a,ok,train,yen11|page_0212|c1,"[1478, 1925, 1584, 2050]",nghia_consensus,22.503333333333334,522a1046f4e56fa0,15
70210,syllable/yen11_page_0170_c08_106.png,yen11,page_0170,8,移,ri,,,syllable,SYLLABLE,nghia_consensus,0.148,0.208,92.0,135.0,a337218a99ee,ok,train,yen11|page_0170|c8,"[410, 2225, 509, 2334]",nghia_consensus,22.503333333333334,576bef574cff661d,16
71162,syllable/yen11_page_0180_c08_171.png,yen11,page_0180,8,炤,lửa,,,syllable,SYLLABLE,nghia_consensus,0.722,0.162,109.0,150.0,2114dfdf6bd7,ok,test,yen11|page_0180|c8,"[441, 2112, 551, 2234]",nghia_consensus,22.503333333333334,924b47f9911ba2f8,17
6377,syllable/yen2_page_0078_c09_170.png,yen2,page_0078,9,而,làm,,,syllable,SYLLABLE,nghia_consensus,0.61,0.186,107.0,138.0,37f9900359e8,ok,train,yen2|page_0078|c9,"[263, 655, 367, 767]",nghia_consensus,22.503333333333334,0da652714dc76046,18
34758,syllable/yen4_page_0082_c02_031.png,yen4,page_0082,2,身,người,,,syllable,SYLLABLE,nghia_consensus,0.162,0.168,67.0,88.0,5f3da1b3456c,ok,train,yen4|page_0082|c2,"[865, 820, 938, 897]",nghia_consensus,22.503333333333334,e138b491016ea5e4,19
58997,syllable/yen11_page_0048_c07_139.png,yen11,page_0048,7,篭,xuống,,,syllable,SYLLABLE,nghia_consensus,0.154,0.167,140.0,147.0,aaf44cbcbb53,ok,train,yen11|page_0048|c7,"[518, 1462, 632, 1587]",nghia_consensus,22.503333333333334,bd50cdb77dfabc93,20
16034,syllable/yen2_page_0188_c08_146.png,yen2,page_0188,8,願,nguyên,,,syllable,SYLLABLE,nghia_consensus,0.682,0.244,138.0,161.0,8d42b52c071b,ok,train,yen2|page_0188|c8,"[319, 1943, 431, 2074]",nghia_consensus,22.503333333333334,03adbade93f8c1c7,21
55309,syllable/yen4_page_0304_c01_002.png,yen4,page_0304,1,而,làm,,,syllable,SYLLABLE,nghia_consensus,0.435,0.159,63.0,93.0,03422b5b7979,ok,train,yen4|page_0304|c1,"[987, 359, 1056, 434]",nghia_consensus,22.503333333333334,7ba747a4dd186b2e,22
15854,syllable/yen2_page_0186_c07_132.png,yen2,page_0186,7,漂,lăm,,,syllable,SYLLABLE,nghia_consensus,0.034,0.295,141.0,140.0,cb29ecded4df,ok,train,yen2|page_0186|c7,"[488, 2422, 603, 2536]",nghia_consensus,22.503333333333334,e3e636d7b2b9e9c3,23
40703,syllable/yen4_page_0148_c02_034.png,yen4,page_0148,2,因,có,,,syllable,SYLLABLE,nghia_consensus,0.772,0.177,73.0,80.0,b71b0ff3678a,ok,train,yen4|page_0148|c2,"[853, 1060, 918, 1137]",nghia_consensus,22.503333333333334,1f4bf1f9d396a9c8,24
56467,syllable/yen11_page_0020_c03_039.png,yen11,page_0020,3,佃,đền,,,syllable,SYLLABLE,nghia_consensus,0.283,0.209,99.0,132.0,d6eda314742d,ok,test,yen11|page_0020|c3,"[1170, 808, 1270, 916]",nghia_consensus,22.503333333333334,626364f4033af203,25
28109,syllable/yen2_page_0330_c08_136.png,yen2,page_0330,8,色,đã,,,syllable,SYLLABLE,nghia_consensus,0.423,0.216,106.0,152.0,e44548575f06,ok,test,yen2|page_0330|c8,"[384, 540, 494, 664]",nghia_consensus,22.503333333333334,e0d506f4ed0da3fd,26
30109,syllable/yen4_page_0032_c07_117.png,yen4,page_0032,7,象,chạy,,,syllable,SYLLABLE,nghia_consensus,0.356,0.173,54.0,78.0,34485ca6926d,ok,train,yen4|page_0032|c7,"[376, 253, 450, 331]",nghia_consensus,22.503333333333334,f05078d26a3cfe77,27
