image,book,page,column,syllable,ocr_char,chu_cau_de_xuat,tier_hien_tai,rule_hien_tai,diem_nghia,so_trang_lap
,stt11,page_0010,8,lấy,柩,穊,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0010_p0220,3,dây,姨,洟,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0010_p0220,5,biển,渡,𣷷,REVIEW,no_s1_inter_s2,,2
silver/stt11_page_0010_p0220_c08_152.png,stt11,page_0010_p0220,8,cho,床,咮,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,2
,stt11,page_0010_p0220,8,biển,渡,𣷷,REVIEW,no_s1_inter_s2,,2
silver/stt11_page_0012_c03_044.png,stt11,page_0012,3,ngày,得,𣈜,SILVER_uncalibrated,s2_inter_s3_corrected,,50
silver/stt11_page_0012_c06_115.png,stt11,page_0012,6,si,槎,蹉,SILVER_uncalibrated,s3_head_bank_consensus,0.0000,26
silver/stt11_page_0016_c05_093.png,stt11,page_0016,5,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0016_c06_118.png,stt11,page_0016,6,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0018,7,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
,stt11,page_0020,3,tù,内,囚,REVIEW,no_s1_inter_s2,0.0000,3
silver/stt11_page_0020_c07_140.png,stt11,page_0020,7,si,槎,蹉,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,26
,stt11,page_0024,2,lấy,柩,穊,REVIEW,no_s1_inter_s2,0.0000,4
,stt11,page_0026,4,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
silver/stt11_page_0026_c07_148.png,stt11,page_0026,7,cầu,來,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
silver/stt11_page_0026_c08_162.png,stt11,page_0026,8,ấy,伐,𧘇,SILVER_uncalibrated,s2_inter_s3_corrected,,21
,stt11,page_0026,8,làm,分,爫,REVIEW,no_s1_inter_s2,0.0000,3
silver/stt11_page_0026_c09_198.png,stt11,page_0026,9,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
silver/stt11_page_0028_c06_125.png,stt11,page_0028,6,cầu,來,求,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,3
,stt11,page_0028,7,cầu,来,求,REVIEW,no_s1_inter_s2,0.0000,3
,stt11,page_0028,8,hay,吸,処,REVIEW,no_s1_inter_s2,0.0000,1
silver/stt11_page_0036_c04_061.png,stt11,page_0036,4,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0036,5,quỷ,思,鬼,REVIEW,no_s1_inter_s2,0.0000,57
,stt11,page_0040,2,dây,姨,洟,REVIEW,diverged_column,0.0000,4
silver/stt11_page_0046_c02_024.png,stt11,page_0046,2,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt11_page_0046_c07_113.png,stt11,page_0046,7,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0048,4,dây,銕,𦀊,REVIEW,no_s1_inter_s2,,4
silver/stt11_page_0052_c06_127.png,stt11,page_0052,6,lần,吞,吝,SILVER_uncalibrated,s2_inter_s3_corrected,0.0268,7
silver/stt11_page_0054_c04_081.png,stt11,page_0054,4,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt11_page_0056_c01_006.png,stt11,page_0056,1,dấu,呌,𧿫,SILVER_uncalibrated,s2_inter_s3_corrected,0.0043,17
silver/stt11_page_0056_c02_041.png,stt11,page_0056,2,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
,stt11,page_0056,7,lấy,柩,穊,REVIEW,no_s1_inter_s2,0.0000,4
silver/stt11_page_0060_c08_157.png,stt11,page_0060,8,quỷ,思,鬼,SILVER_uncalibrated,s2_inter_s3_corrected,0.0000,57
