verse_id	page_idx	quocngu_page_file	verse_type	quoc_ngu	quoc_ngu_clean	confidence
1	1	quocngu_p002_f025.jpg	luc	Trước đèn xem truyện tây Minh,	Trước đèn xem truyện tây Minh,	1.00
2	1	quocngu_p002_f025.jpg	bat	Gầm cười hai chữ «nhơn tình» éo le!	Gầm cười hai chữ «nhơn tình» éo le!	1.00
3	1	quocngu_p002_f025.jpg	luc	Hởi ai! Lắng lặng mà nghe!	Hởi ai! Lắng lặng mà nghe!	1.00
4	1	quocngu_p002_f025.jpg	bat	Giữ răn việc trước, lánh dề thân sau!	Giữ răn việc trước, lánh dề thân sau!	1.00
5	2	quocngu_p004_f027.jpg	luc	Trai thời trung hiếu làm đầu,	Trai thời trung hiếu làm đầu,	1.00
6	2	quocngu_p004_f027.jpg	bat	Gái thời tiết hạnh là câu trau mình.	Gái thời tiết hạnh là câu trau mình.	1.00
7	2	quocngu_p004_f027.jpg	luc	Có người ở quận Đông thành,	Có người ở quận Đông thành,	1.00
8	2	quocngu_p004_f027.jpg	bat	Tu nhơn tích đức, sớm sanh con hiền.	Tu nhơn tích đức, sớm sanh con hiền.	1.00
9	2	quocngu_p004_f027.jpg	luc	Đặt tên là Lục vân Tiên.	Đặt tên là Lục vân Tiên.	1.00
10	2	quocngu_p004_f027.jpg	bat	Tuổi vừa hai tám, nghề chuyên học hành.	Tuổi vừa hai tám, nghề chuyên học hành.	1.00
11	2	quocngu_p004_f027.jpg	luc	Theo thầy nấu sử xôi kinh;	Theo thầy nấu sử xôi kinh;	1.00
12	2	quocngu_p004_f027.jpg	bat	Tháng ngày bao quản? Sân Trình lao đao.	Tháng ngày bao quản? Sân Trình lao đao.	1.00
13	2	quocngu_p004_f027.jpg	luc	Văn đà khởi Phụng đăng Dao;	Văn đà khởi Phụng đăng Dao;	1.00
14	3	quocngu_p006_f029.jpg	bat	Võ thêm tam lược lục thao ai bì?	Võ thêm tam lược lục thao ai bì?	1.00
15	3	quocngu_p006_f029.jpg	luc	Xãy nghe mở hội khoa thi;	Xãy nghe mở hội khoa thi;	1.00
16	3	quocngu_p006_f029.jpg	bat	Vân Tiên vào tạ tôn sư, xin về.	Vân Tiên vào tạ tôn sư, xin về.	1.00
17	3	quocngu_p006_f029.jpg	luc	Bấy lâu cữa thánh dựa kệ,	Bấy lâu cữa thánh dựa kệ,	1.00
18	3	quocngu_p006_f029.jpg	bat	Đã tươi khí tượng; lại xuê tinh thần.	Đã tươi khí tượng; lại xuê tinh thần.	1.00
19	3	quocngu_p006_f029.jpg	luc	Nay đà gặp hội long vân;	Nay đà gặp hội long vân;	1.00
20	3	quocngu_p006_f029.jpg	bat	Ai ai mà chẳng lập thân buổi nầy?	Ai ai mà chẳng lập thân buổi nầy?	1.00
21	3	quocngu_p006_f029.jpg	luc	ồiChí lăm bắn nhạn ven mây,	ỒiChí lăm bắn nhạn ven mây,	1.00
22	3	quocngu_p006_f029.jpg	bat	Danh tôi đặng rạng, tiếng thầy đồn xa!	Danh tôi đặng rạng, tiếng thầy đồn xa!	1.00
23	3	quocngu_p006_f029.jpg	luc	ỊLàm trai trong cõi người ta	ỊLàm trai trong cõi người ta	1.00
24	3	quocngu_p006_f029.jpg	bat	t Trước lo báo bỗ, sau là hiễn vang!	T Trước lo báo bỗ, sau là hiễn vang!	1.00
25	4	quocngu_p008_f031.jpg	luc	Tôn sư bàn việc tai nàn:	Tôn sư bàn việc tai nàn:	1.00
26	4	quocngu_p008_f031.jpg	bat	Gầm trong sõ hệ khoa tràng còn xa!	Gầm trong sõ hệ khoa tràng còn xa!	1.00
27	4	quocngu_p008_f031.jpg	luc	Máy Trời chắng dám nói ra;	Máy Trời chắng dám nói ra;	1.00
28	4	quocngu_p008_f031.jpg	bat	Xui thầy thương tớ, xót xa trong lòng!	Xui thầy thương tớ, xót xa trong lòng!	1.00
29	4	quocngu_p008_f031.jpg	luc	Sau, dầu tỏ nồi đục trong,	Sau, dầu tỏ nồi đục trong,	1.00
30	4	quocngu_p008_f031.jpg	bat	hải toan một phép đễ phòng hộ thân.	Hải toan một phép đễ phòng hộ thân.	1.00
31	4	quocngu_p008_f031.jpg	luc	Rày con xuống chốn phong trần;	Rày con xuống chốn phong trần;	1.00
32	4	quocngu_p008_f031.jpg	bat	Thầy cho hai đạo phù thần đam theo.	Thầy cho hai đạo phù thần đam theo.	1.00
33	4	quocngu_p008_f031.jpg	luc	Chẳng may mà gặp lúc nghèo,	Chẳng may mà gặp lúc nghèo,	1.00
34	4	quocngu_p008_f031.jpg	bat	Luỗng sông cũng vững, lên đẻo cũng an.	Luỗng sông cũng vững, lên đẻo cũng an.	1.00
35	4	quocngu_p008_f031.jpg	luc	Tôn sư vào chốn hậu dàng;	Tôn sư vào chốn hậu dàng;	1.00
36	4	quocngu_p008_f031.jpg	bat	Vân Tiên ngơ ngững, lòng càng sanh nghi.	Vân Tiên ngơ ngững, lòng càng sanh nghi.	1.00
37	4	quocngu_p008_f031.jpg	luc	Chắng hay minh mắc việc chỉ,	Chắng hay minh mắc việc chỉ,	1.00
38	4	quocngu_p008_f031.jpg	bat	Tôn sư người dạy khoa kỳ còn xa!	Tôn sư người dạy khoa kỳ còn xa!	1.00
39	4	quocngu_p008_f031.jpg	luc	Hay là bối rổi việc nhà,	Hay là bối rổi việc nhà,	1.00
40	4	quocngu_p008_f031.jpg	bat	Hay là đức bạc, hay là tài sơ?	Hay là đức bạc, hay là tài sơ?	1.00
41	5	quocngu_p010_f033.jpg	luc	Bây lầu ra sức công thơ!	Bây lầu ra sức công thơ!	1.00
42	5	quocngu_p010_f033.jpg	bat	Hồi nầy chắng gặp, còn chờ hồi nao?	Hồi nầy chắng gặp, còn chờ hồi nao?	1.00
43	5	quocngu_p010_f033.jpg	luc	Nên hư chẳng biết làm sao;	Nên hư chẳng biết làm sao;	1.00
44	5	quocngu_p010_f033.jpg	bat	Chi bằng hỗi lại lẽ nào cho minh,	Chi bằng hỗi lại lẽ nào cho minh,	1.00
45	5	quocngu_p010_f033.jpg	luc	Đặng cho tỏ nỗi sự tình,	Đặng cho tỏ nỗi sự tình,	1.00
46	5	quocngu_p010_f033.jpg	bat	Ngỗ sau ngàn dặm đăng trình mới an?	Ngỗ sau ngàn dặm đăng trình mới an?	1.00
