book,page,column,nom_idx,syllable,ocr_char_old,predicted_nom,unicode,prob,in_dict,decision,image
stt11,page_0010,1,0,tháng,伪,倘,U+5018,0.6766,True,RESCUE_LOW_CONF,
stt11,page_0010,2,10,gia,刀,加,U+52A0,0.062,True,RESCUE_LOW_CONF,
stt11,page_0010,3,7,đời,丶,更,U+66F4,0.2012,False,NOT_IN_DICT,
stt11,page_0010,3,12,trọn,鬲,命,U+547D,0.2515,False,NOT_IN_DICT,
stt11,page_0010,3,14,trọn,屬,旦,U+65E6,0.0539,False,NOT_IN_DICT,
stt11,page_0010,6,1,hạ,平,下,U+4E0B,0.6188,True,RESCUE_LOW_CONF,
stt11,page_0010,7,7,ri,頥,順,U+9806,0.2118,False,NOT_IN_DICT,
stt11,page_0010,7,20,nhà,成,茹,U+8339,0.8943,True,RESCUE_GOLD_HIGH,
stt11,page_0010,8,0,mà,森,麻,U+9EBB,0.7845,True,RESCUE_GOLD_MED,
stt11,page_0010,8,8,lấy,柩,𢬦,U+22B26,0.5582,True,RESCUE_LOW_CONF,
stt11,page_0010,8,12,chở,𧵑,暗,U+6697,0.2185,False,NOT_IN_DICT,
stt11,page_0010,9,8,dạy,化,代,U+4EE3,0.9658,True,RESCUE_GOLD_HIGH,
stt11,page_0010,9,11,một,農,更,U+66F4,0.2361,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,2,0,sự,昇,𠊚,U+2029A,0.9668,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,1,về,麻,麻,U+9EBB,0.9817,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,2,i,除,除,U+9664,0.9694,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,3,ghê,娄,娄,U+5A04,0.7653,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,4,rê,歡,歇,U+6B47,0.9506,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,5,gia,昇,𠊚,U+2029A,0.9489,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,6,nước,莒,𠊚,U+2029A,0.5738,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,7,ấy,功,功,U+529F,0.8413,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,8,chẳng,業,娄,U+5A04,0.1178,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,9,hay,共,共,U+5171,0.9127,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,10,đức,色,㐌,U+340C,0.9338,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,11,chúa,而,巴,U+5DF4,0.2776,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,12,trời,澆,燒,U+71D2,0.8665,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,13,trả,法,法,U+6CD5,0.966,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,14,công,遇,邏,U+908F,0.8583,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,15,nghiệp,固,固,U+56FA,0.8711,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,16,cho,意,意,U+610F,0.9858,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,17,mà,嗔,嗔,U+55D4,0.6763,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,18,đến,共,共,U+5171,0.9369,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,19,nhà,翁,翁,U+7FC1,0.929,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,20,thờ,垩,垩,U+57A9,0.9721,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,21,ông,施,葩,U+8469,0.978,False,NOT_IN_DICT,
stt11,page_0010_p0028,2,22,thánh,之,乙,U+4E59,0.0464,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,1,na,街,事,U+4E8B,0.9729,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,2,du,衣,𧗱,U+275F1,0.7821,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,3,ở,計,衣,U+8863,0.8795,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,4,thì,移,計,U+8A08,0.8265,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,5,người,即,移,U+79FB,0.3108,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,7,liệt,人,渃,U+6E03,0.6296,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,8,cùng,庒,衣,U+8863,0.7566,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,9,chịu,略,庒,U+5E92,0.9702,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,10,các,行,庒,U+5E92,0.148,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,11,phép,主,主,U+4E3B,0.6195,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,12,sa,乔,主,U+4E3B,0.9752,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,13,ca,把,𡗶,U+215F6,0.8495,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,14,ra,功,把,U+628A,0.8591,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,15,men,榮,功,U+529F,0.9367,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,16,tô,朱,除,U+9664,0.1188,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,18,mặt,旦,旦,U+65E6,0.9635,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,20,kẻ,餘,蜍,U+870D,0.8271,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,21,chơi,翁,翁,U+7FC1,0.9704,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,22,vậy,垩,垩,U+57A9,0.9591,False,NOT_IN_DICT,
stt11,page_0010_p0028,3,23,sinh,皮,皮,U+76AE,0.365,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,8,tay,㠯,召,U+53EC,0.9763,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,10,thầy,法,法,U+6CD5,0.9953,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,11,thánh,沙,沙,U+6C99,0.9439,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,12,ấy,𰙔,𰙔,U+30654,0.3283,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,13,ong,噀,秋,U+79CB,0.2076,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,14,thánh,綿,綿,U+7DBF,0.8768,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,15,bê,穌,鮮,U+9BAE,0.2576,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,16,na,麻,麻,U+9EBB,0.7406,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,17,du,盃,麻,U+9EBB,0.8363,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,18,chép,末,盃,U+76C3,0.7588,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,19,truyện,奴,末,U+672B,0.742,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,20,người,几,如,U+5982,0.9466,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,21,và,制,几,U+51E0,0.4031,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,22,khen,丕,丕,U+4E15,0.4767,False,NOT_IN_DICT,
stt11,page_0010_p0028,4,23,lăm,生,生,U+751F,0.9165,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,6,giê,女,本,U+672C,0.1176,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,11,ra,号,式,U+5F0F,0.0575,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,12,đời,柴,時,U+6642,0.2147,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,14,cho,翁,翁,U+7FC1,0.3488,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,15,đến,茄,下,U+4E0B,0.0369,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,16,ông,垩,時,U+6642,0.1539,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,19,này,人,𠊚,U+2029A,0.3689,False,NOT_IN_DICT,
stt11,page_0010_p0028,5,22,được,号,特,U+7279,0.0671,True,RESCUE_LOW_CONF,
stt11,page_0010_p0028,5,25,một,榮,中,U+4E2D,0.1557,False,NOT_IN_DICT,
