image,nom_idx,syl_idx,syllable_ocr,syllable_raw,tier_v3,tier_goc,rule_goc,p_register,dict_support,context_evidence,l1_support,l1_tie,flank_gold,box_source,qd01_locked,qd01_excluded,label_canonical,crop_quality_flag,stray_ink,border_ink,ink_pct,crop_w,crop_h,seg_flag,s3_cosine
gold/stt11_page_0010_c01_001.png,1,1,mươi,MƯƠI,CHAR_A,,,1.0,13,corpus4|tone|corpus2|direct,0,0,0,detector,0,0,邁,ok,0.0,0.0,0.185,138,156,ok,
syllable/stt11_page_0010_c01_002.png,2,2,một,MỘT,SYL,,,1.0,37,corpus4|corpus2,0,0,2,detector,0,0,,ok,0.0,0.0,0.162,139,160,ok,
gold/stt11_page_0010_c01_003.png,3,3,có,CÓ,CHAR_A,,,1.0,15,bigram|corpus4|corpus2|direct,0,0,1,detector,0,0,固,ok,0.0,0.0,0.235,89,142,ok,
gold/stt11_page_0010_c01_004.png,4,4,ba,BA,CHAR_A,,,1.0,55,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,巴,ok,0.0,0.0,0.191,104,145,ok,
gold/stt11_page_0010_c01_005.png,5,5,mươi,MƯƠI,CHAR_A,,,1.0,13,bigram|corpus4|tone|corpus2|direct,0,0,1,detector,0,0,邁,ok,0.0,0.0,0.177,147,178,ok,
syllable/stt11_page_0010_c01_006.png,6,6,ngày,NGÀY,SYL,,,1.0,11,corpus4|corpus2,0,0,1,detector,0,0,,ok,0.0,0.0111,0.22,135,148,ok,
gold/stt11_page_0010_c02_007.png,0,0,mong,MONG,CHAR_A,,,1.0,21,corpus4|tone|corpus2|direct,0,0,1,detector,0,0,夢,ok,0.0,0.0,0.264,103,118,ok,
gold/stt11_page_0010_c02_008.png,1,1,một,MỘT,CHAR_A,,,1.0,37,corpus4|tone|corpus2|direct,0,0,1,detector,0,0,蔑,ok,0.0,0.0303,0.281,99,150,ok,
syllable/stt11_page_0010_c02_009.png,2,2,lê,LÊ,SYL,,,1.0,48,bigram|corpus4|tone|corpus2,-4,0,2,detector,0,0,,ok,0.0,0.0684,0.225,117,149,ok,
gold/stt11_page_0010_c02_010.png,3,3,các,CÁC,CHAR_A,,,1.0,21,bigram|corpus4|corpus2|direct,0,0,1,detector,0,0,各,ok,0.0,0.0913,0.245,115,149,ok,
gold/stt11_page_0010_c02_011.png,4,4,thánh,THÁNH,CHAR_A,,,1.0,33,bigram|corpus4|corpus2|direct,0,0,1,detector,0,0,垩,ok,0.0,0.0,0.208,122,147,ok,
syllable/stt11_page_0010_c02_012.png,5,5,hôm,HÔM,SYL,,,1.0,9,bigram|corpus4|corpus2,0,0,2,detector,0,0,,ok,0.0,0.0609,0.267,115,141,ok,
gold/stt11_page_0010_c02_013.png,6,6,nay,NAY,CHAR_A,,,1.0,7,bigram|corpus4|tone|corpus2|direct,0,0,0,detector,0,0,尼,ok,0.0,0.0121,0.22,124,145,ok,
syllable/stt11_page_0010_c02_014.png,7,7,i,I,SYL,,,1.0,9,bigram|corpus4|tone|corpus2,0,0,1,detector,0,0,,ok,0.0,0.0189,0.208,106,146,ok,
syllable/stt11_page_0010_c02_015.png,8,8,ghê,ghê,SYL,,,1.0,19,bigram|corpus4|tone|corpus2,0,0,0,detector,0,0,,ok,0.0,0.0,0.196,129,142,ok,
syllable/stt11_page_0010_c02_016.png,9,9,rê,rê,SYL,,,0.9955,24,bigram|corpus4|corpus2,0,0,0,detector,0,0,,ok,0.0,0.1398,0.24,118,143,ok,
gold/stt11_page_0010_c02_018.png,11,12,lê,lê,CHAR_A,,,0.9955,22,corpus4|tone|corpus2|direct,13,0,1,detector,0,0,礼,ok,0.0,0.0041,0.162,123,148,ok,
gold/stt11_page_0010_c02_019.png,12,13,mừng,mừng,CHAR_A,,,1.0,16,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,明,ok,0.0,0.0231,0.226,108,150,ok,
gold/stt11_page_0010_c02_020.png,13,14,các,các,CHAR_A,,,1.0,21,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,各,ok,0.0,0.0,0.204,118,143,ok,
gold/stt11_page_0010_c02_021.png,14,15,thánh,Thánh,CHAR_A,,,1.0,33,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,垩,ok,0.0,0.0085,0.253,117,148,ok,
gold/stt11_page_0010_c02_022.png,15,16,được,được,CHAR_A,,,1.0,21,bigram|corpus4|tone|corpus2|direct,0,0,2,detector,0,0,特,ok,0.0,0.0,0.24,116,150,ok,
gold/stt11_page_0010_c02_023.png,16,17,phúc,phúc,CHAR_A,,,1.0,26,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,福,ok,0.0,0.0098,0.264,102,150,ok,
gold/stt11_page_0010_c02_024.png,17,18,cực,cực,CHAR_A,,,1.0,12,bigram|corpus4|tone|corpus2|direct,0,0,2,detector,0,0,極,ok,0.0,0.0,0.268,112,140,ok,
gold/stt11_page_0010_c02_025.png,18,19,trọng,trọng,CHAR_A,,,1.0,15,bigram|corpus4|tone|corpus2|direct,0,0,1,detector,0,0,重,ok,0.0,0.0437,0.263,103,145,ok,
syllable/stt11_page_0010_c02_026.png,19,20,là,là,SYL,,,1.0,31,corpus4|corpus2,0,0,1,detector,0,0,,ok,0.0,0.0,0.193,116,120,ok,
gold/stt11_page_0010_c03_027.png,0,0,thấy,thấy,CHAR_A,,,1.0,15,bigram|corpus4|corpus2|direct,0,0,0,detector,0,0,体,ok,0.0,0.0,0.208,114,116,ok,
syllable/stt11_page_0010_c03_028.png,1,1,đức,Đức,SYL,,,1.0,21,bigram|corpus4|corpus2,0,0,2,detector,0,0,,ok,0.0,0.0,0.168,101,137,ok,
gold/stt11_page_0010_c03_029.png,2,2,chúa,Chúa,CHAR_A,,,1.0,2,bigram|corpus4|corpus2|direct,0,0,0,detector,0,0,主,ok,0.0,0.0,0.167,103,144,ok,
gold/stt11_page_0010_c03_030.png,3,3,trời,Trời,CHAR_B,,,1.0,13,bigram|corpus4|corpus2|sim_unique,0,0,2,detector,0,0,𡗶,ok,0.0,0.0425,0.213,106,145,ok,
gold/stt11_page_0010_c03_031.png,4,4,tỏ,tỏ,CHAR_A,,,1.0,21,bigram|corpus4|tone|corpus2|direct|sim_unique,0,0,1,detector,0,0,訴,ok,0.0,0.0,0.179,114,128,ok,
gold/stt11_page_0010_c03_032.png,5,5,tường,tường,CHAR_A,,,1.0,55,bigram|corpus4|corpus2|direct,0,0,2,detector,0,0,詳,ok,0.0,0.0442,0.213,113,143,ok,
