source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_head_cos,s3_head_prob,s3_head_margin,s3_head_isarg,s3_bank_cos,s3_mls,s3_signals_present,s3_head_present,s3_head_disagree,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,head_disagree,bank_cos_val,bank_low,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,stratum,risk_reason,design_weight,item_id,audit_order,audit_batch,risk_stratum
47795,gold/stt4_page_0224_c08_147.png,stt4,page_0224,8,黙,mặc,黙,U+9ED9,char,GOLD,s1_inter_s2_direct,,0.13,77.0,97.0,43ce06c09e5d,ok,test,stt4|page_0224|c8,"[289, 311, 360, 390]",0.7453205585479736,0.0013126799603924,0.4609997570514679,1.0,0.794713020324707,0.7453205585479736,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.794713020324707,False,False,1.2597402597402598,False,False,False,0.0,control_gold,clean,1991.04,70b7ee4c50838192,0,control_gold,gold_direct
28571,gold/stt4_page_0016_c03_048.png,stt4,page_0016,3,獄,ngục,獄,U+7344,char,GOLD,s1_inter_s2_direct,,0.181,78.0,91.0,469aa8edb124,ok,train,stt4|page_0016|c3,"[815, 470, 891, 545]",0.7395049333572388,0.0013135828776285,0.4117745459079742,1.0,0.7289431691169739,0.7395049333572388,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7289431691169739,False,False,1.1666666666666667,False,False,False,0.0,control_gold,clean,1991.04,820fcf50ecc714b2,1,control_gold,gold_direct
19943,gold/stt2_page_0236_c02_031.png,stt2,page_0236,2,碎,tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.196,107.0,162.0,c03d236cd702,ok,train,stt2|page_0236|c2,"[1272, 1926, 1386, 2066]",0.6742786169052124,0.0012158590834587,0.4497202634811401,1.0,0.9346871972084044,0.6742786169052124,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.9346871972084044,False,False,1.514018691588785,False,False,False,0.0,control_gold,clean,1991.04,876cfc9ff97f4455,2,control_gold,gold_direct
82124,gold/stt11_page_0298_c02_039.png,stt11,page_0298,2,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.201,104.0,135.0,512747b95cb4,ok,train,stt11|page_0298|c2,"[1305, 2125, 1411, 2234]",0.6728388667106628,0.0012286052806302,0.4138922691345215,1.0,0.7349074482917786,0.6728388667106628,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7349074482917786,False,False,1.2980769230769231,False,False,False,0.0,class_target,clean,10.333333333333334,120ba1d6e9cb51d5,3,class_target,gold_direct
762,gold/stt2_page_0020_c01_015.png,stt2,page_0020,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.171,105.0,141.0,03b467b58b16,ok,train,stt2|page_0020|c1,"[1418, 1858, 1522, 1973]",0.7056673765182495,0.0012628050753846,0.4709159135818481,1.0,0.9720875024795532,0.7056673765182495,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.9720875024795532,False,False,1.3428571428571427,False,False,False,0.0,class_target,clean,10.333333333333334,52b5f96f137c2826,4,class_target,gold_direct
23919,gold/stt2_page_0282_c03_045.png,stt2,page_0282,3,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.232,121.0,129.0,17e7bde1f24a,ok,train,stt2|page_0282|c3,"[1129, 826, 1239, 945]",0.618921160697937,0.0011548318434506,0.3378479480743408,1.0,0.7460905313491821,0.618921160697937,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7460905313491821,False,False,1.0661157024793388,False,False,False,0.0,class_target,clean,10.333333333333334,114f9b417aa49f08,5,class_target,gold_direct
27996,gold/stt2_page_0330_c02_023.png,stt2,page_0330,2,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.258,114.0,145.0,a60511fd4c1d,ok,train,stt2|page_0330|c2,"[1267, 739, 1383, 865]",0.6825176477432251,0.0012355039361864,0.4205214083194732,1.0,0.8282128572463989,0.6825176477432251,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8282128572463989,False,False,1.2719298245614035,False,False,False,0.0,class_target,clean,10.333333333333334,e4fc74c7ced8f810,6,class_target,gold_direct
4110,gold/stt2_page_0054_c08_147.png,stt2,page_0054,8,重,trọng,重,U+91CD,char,GOLD,s1_inter_s2_direct,,0.257,108.0,137.0,be2e245ecbdc,ok,train,stt2|page_0054|c8,"[357, 1690, 459, 1801]",0.5920560359954834,0.0011414721375331,0.3356962203979492,1.0,0.6377522349357605,0.5920560359954834,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.6377522349357605,False,False,1.2685185185185186,False,False,False,0.0,control_gold,clean,1991.04,31f0363162a646a4,7,control_gold,gold_direct
78753,gold/stt11_page_0262_c02_029.png,stt11,page_0262,2,些,ta,些,U+4E9B,char,GOLD,s1_inter_s2_direct,,0.232,85.0,114.0,0e4383f3cd4b,ok,test,stt11|page_0262|c2,"[1318, 1349, 1423, 1460]",0.6726487874984741,0.00122196378652,0.4731502532958984,1.0,0.9028839468955994,0.6726487874984741,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.9028839468955994,False,False,1.3411764705882352,False,False,False,0.0,control_gold,clean,1991.04,7449f79973c49b34,8,control_gold,gold_direct
47421,gold/stt4_page_0220_c07_142.png,stt4,page_0220,7,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.139,78.0,95.0,e7bee0f1e31e,ok,train,stt4|page_0220|c7,"[400, 1525, 469, 1606]",0.7639575004577637,0.0013397665461525,0.5014762282371521,1.0,0.833526611328125,0.7639575004577637,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.833526611328125,False,False,1.2179487179487178,False,False,False,0.0,class_target,clean,10.333333333333334,9c274d1dfc73a310,9,class_target,gold_direct
66121,gold/stt11_page_0128_c05_094.png,stt11,page_0128,5,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.231,95.0,135.0,0c01b202b94f,ok,train,stt11|page_0128|c5,"[861, 1090, 968, 1203]",0.6660136580467224,0.0011978090042248,0.4507632106542587,1.0,0.8198050260543823,0.6660136580467224,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8198050260543823,False,False,1.4210526315789473,False,False,False,0.0,control_gold,clean,1991.04,d7dfe9a00d8ef487,10,control_gold,gold_direct
9174,gold/stt2_page_0110_c01_005.png,stt2,page_0110,1,如,nhà,如,U+5982,char,GOLD,s1_inter_s2_direct,,0.179,123.0,152.0,51416768efc3,ok,train,stt2|page_0110|c1,"[1438, 968, 1544, 1092]",0.5343266129493713,0.0010798493167385,0.0654119551181793,1.0,0.579127848148346,0.5343266129493713,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.579127848148346,False,False,1.2357723577235773,False,False,False,0.0,control_gold,clean,1991.04,8523496d0fdf05ec,11,control_gold,gold_direct
56910,gold/stt11_page_0024_c04_076.png,stt11,page_0024,4,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.163,113.0,130.0,9a3b2ea2c1ba,ok,train,stt11|page_0024|c4,"[1021, 1212, 1128, 1320]",0.7107234001159668,0.0012589270481839,0.4725517481565475,1.0,0.8761262893676758,0.7107234001159668,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8761262893676758,False,False,1.1504424778761062,False,False,False,0.0,class_target,clean,10.333333333333334,c91bda359d037dc8,12,class_target,gold_direct
642,gold/stt2_page_0018_c05_093.png,stt2,page_0018,5,時,được,時,U+6642,char,GOLD,s1_inter_s2_direct,,0.204,114.0,126.0,6aad491423a4,ok,train,stt2|page_0018|c5,"[819, 954, 922, 1059]",0.7661788463592529,0.001321206218563,0.5491515100002289,1.0,0.9564462900161744,0.7661788463592529,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.9564462900161744,False,False,1.105263157894737,False,False,False,0.0,control_gold,clean,1991.04,2ce29efb72ed3c0e,13,control_gold,gold_direct
