book,page,column,nom_idx,syl_idx,bbox,fold,tier,tier_v3,syllable_v3,syl_in_classes,ok,p_syl_v3,argmax,max_prob,top5,p_left,p_right
stt11,page_0010,1,0,0,"[1458, 700, 1573, 829]",4,REVIEW,REVIEW,tháng,1,1,0.0814462,tháng,0.0814462,"[[""tháng"", 0.08145], [""kia"", 0.0425], [""trái"", 0.03795], [""nho"", 0.03233], [""thẳng"", 0.02809]]",,0.000451414
stt11,page_0010,1,1,1,"[1453, 801, 1577, 942]",4,GOLD,CHAR_A,mươi,1,1,0.588731,mươi,0.588731,"[[""mươi"", 0.58873], [""mười"", 0.31405], [""khiêm"", 0.00684], [""mới"", 0.00456], [""tám"", 0.00417]]",9.24297e-05,9.17104e-05
stt11,page_0010,1,2,2,"[1452, 924, 1575, 1068]",4,SYLLABLE,SYL,một,1,1,0.742956,một,0.742956,"[[""một"", 0.74296], [""mới"", 0.01085], [""mươi"", 0.00889], [""càng"", 0.00769], [""tô"", 0.00706]]",0.00889153,0.000699164
stt11,page_0010,1,3,3,"[1455, 1041, 1574, 1185]",4,GOLD,CHAR_A,có,1,1,0.91866,có,0.91866,"[[""có"", 0.91866], [""tiền"", 0.00323], [""lời"", 0.00217], [""gian"", 0.00164], [""xấu"", 0.00151]]",0.000197208,0.000156005
stt11,page_0010,1,4,4,"[1455, 1167, 1574, 1314]",4,GOLD,CHAR_A,ba,1,1,0.914353,ba,0.914353,"[[""ba"", 0.91435], [""đạo"", 0.00935], [""hai"", 0.00714], [""có"", 0.0048], [""kẻ"", 0.00277]]",0.00479662,0.000164774
stt11,page_0010,1,5,5,"[1458, 1293, 1588, 1437]",4,GOLD,CHAR_A,mươi,1,1,0.587583,mươi,0.587583,"[[""mươi"", 0.58758], [""mười"", 0.03642], [""ngày"", 0.02288], [""tám"", 0.01748], [""hai"", 0.00958]]",5.47628e-05,0.0228834
stt11,page_0010,1,6,6,"[1451, 1405, 1577, 1539]",4,SYLLABLE,SYL,ngày,1,1,0.864478,ngày,0.864478,"[[""ngày"", 0.86448], [""chịu"", 0.00865], [""mọn"", 0.00626], [""rộng"", 0.00531], [""ám"", 0.00485]]",0.000724181,
stt11,page_0010,2,0,0,"[1307, 403, 1425, 519]",4,GOLD,CHAR_A,mong,1,1,0.553332,mong,0.553332,"[[""mong"", 0.55333], [""ta"", 0.09615], [""mông"", 0.04317], [""đi"", 0.03233], [""dân"", 0.03189]]",,0.00204695
stt11,page_0010,2,1,1,"[1306, 492, 1426, 616]",4,GOLD,CHAR_A,một,1,1,0.458728,một,0.458728,"[[""một"", 0.45873], [""càng"", 0.07666], [""ri"", 0.02804], [""hay"", 0.02465], [""si"", 0.01388]]",0.00142343,0.00025322
stt11,page_0010,2,2,2,"[1307, 589, 1422, 710]",4,SYLLABLE,SYL,lê,1,1,0.0277649,lấy,0.094849,"[[""lấy"", 0.09485], [""hoặc"", 0.04111], [""lễ"", 0.03304], [""từ"", 0.03134], [""vậy"", 0.02956]]",0.0158509,8.88887e-05
stt11,page_0010,2,3,3,"[1306, 684, 1422, 805]",4,GOLD,CHAR_A,các,1,1,0.0056518,lễ,0.77048,"[[""lễ"", 0.77048], [""lê"", 0.03977], [""vậy"", 0.03415], [""lấy"", 0.01335], [""đông"", 0.01068]]",0.0397713,0.00012341
stt11,page_0010,2,4,4,"[1300, 789, 1415, 909]",4,GOLD,CHAR_A,thánh,1,1,0.905025,thánh,0.905025,"[[""thánh"", 0.90503], [""các"", 0.03002], [""ông"", 0.00531], [""anh"", 0.00388], [""vi"", 0.0023]]",0.030021,6.43908e-06
stt11,page_0010,2,5,5,"[1309, 887, 1420, 1002]",4,SYLLABLE,SYL,hôm,1,1,0.0750318,trọng,0.0753254,"[[""trọng"", 0.07533], [""hôm"", 0.07503], [""giu"", 0.06355], [""ri"", 0.03097], [""hơn"", 0.02533]]",0.0205125,3.6766e-05
stt11,page_0010,2,6,6,"[1308, 981, 1422, 1098]",4,GOLD,CHAR_A,nay,1,1,0.38497,nay,0.38497,"[[""nay"", 0.38497], [""hôm"", 0.17859], [""nơi"", 0.03284], [""đồng"", 0.02766], [""ca"", 0.01879]]",0.178591,6.65746e-05
stt11,page_0010,2,7,7,"[1306, 1074, 1424, 1194]",4,SYLLABLE,SYL,i,1,1,0.093744,nơi,0.174625,"[[""nơi"", 0.17462], [""này"", 0.12763], [""ấy"", 0.10397], [""i"", 0.09374], [""để"", 0.07772]]",0.00126109,0.0034684
stt11,page_0010,2,8,8,"[1308, 1181, 1423, 1298]",4,SYLLABLE,SYL,ghê,1,1,0.0950345,ghê,0.0950345,"[[""ghê"", 0.09503], [""áo"", 0.09466], [""cũng"", 0.03252], [""i"", 0.02712], [""ấy"", 0.01961]]",0.0271217,0.00535102
stt11,page_0010,2,9,9,"[1307, 1274, 1425, 1395]",4,SYLLABLE,SYL,rê,1,1,0.585578,rê,0.585578,"[[""rê"", 0.58558], [""đi"", 0.20516], [""ghe"", 0.03442], [""ghê"", 0.03067], [""tường"", 0.00797]]",0.0306729,0.000807883
stt11,page_0010,2,10,10,"[1307, 1381, 1424, 1497]",4,REVIEW,REVIEW,gia,1,1,0.779086,gia,0.779086,"[[""gia"", 0.77909], [""ri"", 0.09485], [""rê"", 0.04284], [""lửa"", 0.00635], [""muốn"", 0.00621]]",0.0428354,
stt11,page_0010,2,11,12,"[1308, 1580, 1424, 1700]",4,GOLD,CHAR_A,lễ,1,1,0.972329,lễ,0.972329,"[[""lễ"", 0.97233], [""lê"", 0.01107], [""lấy"", 0.0069], [""khỏi"", 0.00115], [""lạy"", 0.00063]]",,1.08452e-06
stt11,page_0010,2,12,13,"[1308, 1674, 1425, 1796]",4,GOLD,CHAR_A,mừng,1,1,0.739878,mừng,0.739878,"[[""mừng"", 0.73988], [""láng"", 0.04515], [""các"", 0.02771], [""đi"", 0.0224], [""thì"", 0.01366]]",2.1954e-05,0.0277107
stt11,page_0010,2,13,14,"[1307, 1770, 1427, 1891]",4,GOLD,CHAR_A,các,1,1,0.923213,các,0.923213,"[[""các"", 0.92321], [""là"", 0.01274], [""bồn"", 0.00312], [""tớ"", 0.00291], [""mọi"", 0.00233]]",2.11129e-05,0.000985979
stt11,page_0010,2,14,15,"[1308, 1875, 1425, 1995]",4,GOLD,CHAR_A,thánh,1,1,0.896887,thánh,0.896887,"[[""thánh"", 0.89689], [""này"", 0.01727], [""quê"", 0.01259], [""pha"", 0.00611], [""được"", 0.0057]]",0.000114135,0.00569613
stt11,page_0010,2,15,16,"[1308, 1969, 1424, 2091]",4,GOLD,CHAR_A,được,1,1,0.179816,được,0.179816,"[[""được"", 0.17982], [""phúc"", 0.0448], [""này"", 0.04368], [""vậy"", 0.03788], [""đất"", 0.03722]]",0.00119397,0.0448035
