source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_head_cos,s3_head_prob,s3_head_margin,s3_head_isarg,s3_bank_cos,s3_mls,s3_signals_present,s3_head_present,s3_head_disagree,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,head_disagree,bank_cos_val,bank_low,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,stratum,risk_reason,design_weight,item_id,audit_order,audit_batch
26262,gold/stt2_page_0310_c01_000.png,stt2,page_0310,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.152,126.0,118.0,ae67d599bd1a,ok,test,stt2|page_0310|c1,"[1459, 491, 1573, 604]",0.7447178363800049,0.0013087264960631,0.5070672035217285,1.0,0.8435885310173035,0.7447178363800049,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8435885310173035,False,False,0.9365079365079365,False,False,False,0.0,gold_direct,clean,419.05,be6105021557ce8c,0,srs
25498,gold/stt2_page_0300_c05_091.png,stt2,page_0300,5,吏,lại,吏,U+540F,char,GOLD,s1_inter_s2_direct,,0.127,149.0,165.0,6a3d2d8c6105,ok,test,stt2|page_0300|c5,"[830, 2046, 952, 2182]",0.6676186323165894,0.001213344046846,0.3045109510421753,1.0,0.7387034296989441,0.6676186323165894,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7387034296989441,False,False,1.1073825503355705,False,False,False,0.0,gold_direct,clean,419.05,f60fa24098b24cc1,1,srs
60779,gold/stt11_page_0068_c01_004.png,stt11,page_0068,1,茹,nhà,茹,U+8339,char,GOLD,s1_inter_s2_direct,,0.17,113.0,144.0,1d5a35e8d8c5,ok,val,stt11|page_0068|c1,"[1443, 822, 1547, 941]",0.577712893486023,0.0011247091460973,0.3226963579654693,1.0,0.5830731987953186,0.577712893486023,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.5830731987953186,False,False,1.2743362831858407,False,False,False,0.0,gold_direct,clean,419.05,908a5ccd1d74a635,2,srs
25151,gold/stt2_page_0296_c04_070.png,stt2,page_0296,4,断,đoạn,断,U+65AD,char,GOLD,s1_inter_s2_direct,,0.173,121.0,170.0,9dbbec207d3a,ok,train,stt2|page_0296|c4,"[991, 2281, 1106, 2419]",0.6736574172973633,0.0012289641890674,0.3700361549854278,1.0,0.6341049075126648,0.6736574172973633,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.6341049075126648,False,False,1.4049586776859504,False,False,False,0.0,gold_direct,clean,419.05,e29fca69a98c4a44,3,srs
62007,gold/stt11_page_0080_c06_123.png,stt11,page_0080,6,湼,nết,湼,U+6E7C,char,GOLD,s1_inter_s2_direct,,0.181,132.0,132.0,c5e88c9c294f,ok,train,stt11|page_0080|c6,"[718, 2215, 826, 2329]",0.6435175538063049,0.0011782690417021,0.3856861591339111,1.0,0.6561357378959656,0.6435175538063049,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.6561357378959656,False,False,1.0,False,False,False,0.0,gold_direct,clean,419.05,16bb0b6fbac123d8,4,srs
58221,gold/stt11_page_0040_c02_030.png,stt11,page_0040,2,古,cổ,古,U+53E4,char,GOLD,s1_inter_s2_direct,,0.141,95.0,128.0,a6c88231d568,ok,train,stt11|page_0040|c2,"[1328, 1052, 1433, 1156]",0.7472105026245117,0.0013077168259769,0.4823072552680969,1.0,0.7684671878814697,0.7472105026245117,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7684671878814697,False,False,1.3473684210526315,False,False,False,0.0,gold_direct,clean,419.05,7b2706ac2c01f7c9,5,srs
45012,gold/stt4_page_0194_c05_108.png,stt4,page_0194,5,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.176,66.0,88.0,1ae8c7e94e7d,ok,train,stt4|page_0194|c5,"[585, 1444, 653, 1520]",-0.0692750215530395,0.0005786105175502,-0.7818549871444702,0.0,0.1233319044113159,0.7125799655914307,True,True,True,,False,False,False,False,False,False,True,False,False,True,0.1233319044113159,True,False,1.3333333333333333,False,False,False,0.5874999999999999,head_disagree,"head-disagree,bank=0.12(p10)",,ccfcff4d838402ad,6,active_lowmargin
32054,gold/stt4_page_0052_c09_172.png,stt4,page_0052,9,内,nói,内,U+5185,char,GOLD,s1_inter_s2_direct,,0.169,65.0,95.0,0f34237a6ad5,ok,train,stt4|page_0052|c9,"[155, 1120, 229, 1200]",0.701382577419281,0.0012715681223198,0.291407436132431,1.0,0.7137202620506287,0.701382577419281,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.7137202620506287,False,False,1.4615384615384615,False,False,False,0.0,gold_direct,clean,419.05,8d27c9505ef26f51,7,srs
53458,gold/stt4_page_0284_c06_124.png,stt4,page_0284,6,𣸸,thêm,𣸸,U+23E38,char,GOLD,s1_inter_s2_direct,,0.147,68.0,95.0,a1c63d3897b0,ok,val,stt4|page_0284|c6,"[469, 1055, 535, 1132]",0.0344530940055847,0.0006560368929058,-0.7129738926887512,0.0,0.099510446190834,0.7474269866943359,True,True,True,,False,False,False,False,False,False,True,False,False,True,0.099510446190834,True,False,1.3970588235294117,False,False,False,0.5874999999999999,head_disagree,"head-disagree,bank=0.10(p10)",,6ea40ad04a63eba4,8,active_lowmargin
64381,gold/stt11_page_0110_c03_053.png,stt11,page_0110,3,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.201,112.0,140.0,897a2997e51c,ok,train,stt11|page_0110|c3,"[1146, 1690, 1258, 1816]",0.6311022043228149,0.0011594789102673,0.4053874313831329,1.0,0.8567054271697998,0.6311022043228149,True,True,False,,False,False,False,False,False,False,True,False,False,False,0.8567054271697998,False,False,1.25,False,False,False,0.0,gold_direct,clean,419.05,6eb0205f2bd7663e,9,srs
