book,page,column,nom_idx,bbox_cu,syllable,ocr_char,label_hien_tai,ly_do,quyet,nguoi_ky,ngay,xuat_xu
stt2,page_0052,4,4,"[960, 853, 1078, 963]",người,㝵,𠊚,"am_khac:mà (lượt ghép v3)",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt4,page_0230,5,19,"[576, 1505, 642, 1584]",người,晁,𠊚,"am_khac:con (lượt ghép v3)",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0050,7,21,"[577, 2394, 670, 2497]",người,匕,匕,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0106,4,18,"[1047, 2158, 1155, 2270]",người,具,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0114,3,8,"[1170, 1229, 1274, 1349]",người,具,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0130,3,20,"[1170, 2279, 1276, 2386]",người,具,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0190,8,0,"[910, 421, 1016, 527]",người,呉,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0254,7,3,"[565, 688, 669, 799]",người,裔,命,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt11,page_0276,6,10,"[744, 1397, 864, 1516]",người,避,辞,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt2,page_0124,3,1,"[1135, 535, 1241, 644]",người,缶,辞,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt4,page_0034,1,2,"[939, 408, 1018, 494]",người,具,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt4,page_0074,9,10,"[169, 885, 242, 963]",người,息,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt4,page_0090,6,15,"[461, 1182, 520, 1254]",người,昆,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
stt4,page_0184,7,18,"[364, 1287, 433, 1361]",người,具,昆,"GOLD người ngoài QĐ-01, bộ kiểm FALSE",bo,truongmdn,2026-09-17,docs/NGUOI_CHAM_QUYET_DINH.md
