book,page,column,nom_idx,syllable,tier_old,ocr_char_old,predicted_nom,unicode,prob,in_dict,decision
stt11,page_0010,1,0,tháng,REVIEW,伪,倘,U+5018,0.816,True,RESCUE_V3_MED
stt11,page_0010,1,2,một,SYLLABLE,戔,更,U+66F4,0.7113,True,RESCUE_V3_MED
stt11,page_0010,1,6,ngày,SYLLABLE,䏷,時,U+6642,0.8557,True,RESCUE_V3_HIGH
stt11,page_0010,2,2,lê,SYLLABLE,礼,礼,U+793C,0.2052,False,NOT_IN_DICT
stt11,page_0010,2,5,hôm,SYLLABLE,𣣱,支,U+652F,0.18,False,NOT_IN_DICT
stt11,page_0010,2,7,i,SYLLABLE,衣,尼,U+5C3C,0.3963,False,NOT_IN_DICT
stt11,page_0010,2,8,ghê,SYLLABLE,計,計,U+8A08,0.2762,False,NOT_IN_DICT
stt11,page_0010,2,9,rê,SYLLABLE,移,計,U+8A08,0.3233,False,NOT_IN_DICT
stt11,page_0010,2,10,gia,REVIEW,刀,加,U+52A0,0.1665,True,RESCUE_V3_LOW_CONF
stt11,page_0010,2,19,là,SYLLABLE,䍐,罗,U+7F57,0.0969,True,RESCUE_V3_LOW_CONF
stt11,page_0010,3,1,đức,SYLLABLE,行,主,U+4E3B,0.7163,False,NOT_IN_DICT
stt11,page_0010,3,7,đời,REVIEW,丶,强,U+5F3A,0.1466,False,NOT_IN_DICT
stt11,page_0010,3,10,làm,SYLLABLE,而,朱,U+6731,0.7225,False,NOT_IN_DICT
stt11,page_0010,3,12,trọn,REVIEW,鬲,命,U+547D,0.5679,False,NOT_IN_DICT
stt11,page_0010,3,14,trọn,REVIEW,屬,巴,U+5DF4,0.0401,False,NOT_IN_DICT
stt11,page_0010,3,16,đức,SYLLABLE,与,主,U+4E3B,0.3598,False,NOT_IN_DICT
stt11,page_0010,3,18,trời,SYLLABLE,丞,𡗶,U+215F6,0.4715,True,RESCUE_V3_LOW_CONF
stt11,page_0010,3,19,là,SYLLABLE,異,罢,U+7F62,0.3342,False,NOT_IN_DICT
stt11,page_0010,4,8,pha,SYLLABLE,之,之,U+4E4B,0.099,False,NOT_IN_DICT
stt11,page_0010,4,11,pha,SYLLABLE,苑,葩,U+8469,0.9648,True,RESCUE_V3_HIGH
stt11,page_0010,4,12,si,SYLLABLE,槎,楼,U+697C,0.4445,False,NOT_IN_DICT
stt11,page_0010,4,15,bốn,SYLLABLE,眾,罪,U+7F6A,0.1048,False,NOT_IN_DICT
stt11,page_0010,4,17,một,SYLLABLE,夢,更,U+66F4,0.2191,True,RESCUE_V3_LOW_CONF
stt11,page_0010,5,0,rô,SYLLABLE,噌,嗔,U+55D4,0.3488,False,NOT_IN_DICT
stt11,page_0010,5,1,ma,SYLLABLE,瑪,腮,U+816E,0.1231,False,NOT_IN_DICT
stt11,page_0010,5,7,là,SYLLABLE,畏,先,U+5148,0.8988,False,NOT_IN_DICT
stt11,page_0010,5,8,a,SYLLABLE,西,亜,U+4E9C,0.7288,True,RESCUE_V3_MED
stt11,page_0010,5,12,làm,SYLLABLE,白,葩,U+8469,0.9022,False,NOT_IN_DICT
stt11,page_0010,5,13,xưa,SYLLABLE,𭃡,𥘉,U+25609,0.6562,True,RESCUE_V3_LOW_CONF
stt11,page_0010,5,15,thờ,SYLLABLE,蛛,蜍,U+870D,0.6707,True,RESCUE_V3_LOW_CONF
stt11,page_0010,5,19,pha,SYLLABLE,苑,垩,U+57A9,0.7373,False,NOT_IN_DICT
stt11,page_0010,5,20,pha,SYLLABLE,丶,葩,U+8469,0.4842,True,RESCUE_V3_LOW_CONF
stt11,page_0010,6,1,hạ,REVIEW,平,天,U+5929,0.5503,False,NOT_IN_DICT
stt11,page_0010,6,2,đã,SYLLABLE,色,㐌,U+340C,0.6693,True,RESCUE_V3_LOW_CONF
stt11,page_0010,6,3,học,SYLLABLE,李,斈,U+6588,0.2391,True,RESCUE_V3_LOW_CONF
stt11,page_0010,6,12,người,REVIEW,㝵,礼,U+793C,0.8544,False,NOT_IN_DICT
stt11,page_0010,6,13,lấy,SYLLABLE,祀,礼,U+793C,0.5633,True,RESCUE_V3_LOW_CONF
stt11,page_0010,6,15,làm,SYLLABLE,人,衣,U+8863,0.1633,False,NOT_IN_DICT
stt11,page_0010,7,1,là,SYLLABLE,異,罗,U+7F57,0.089,True,RESCUE_V3_LOW_CONF
stt11,page_0010,7,2,rất,SYLLABLE,慓,慄,U+6144,0.4589,True,RESCUE_V3_LOW_CONF
stt11,page_0010,7,4,đức,SYLLABLE,行,主,U+4E3B,0.9525,False,NOT_IN_DICT
stt11,page_0010,7,5,bà,SYLLABLE,妃,把,U+628A,0.8704,True,RESCUE_V3_HIGH
stt11,page_0010,7,6,ma,SYLLABLE,瑪,現,U+73FE,0.1618,False,NOT_IN_DICT
stt11,page_0010,7,7,ri,REVIEW,頥,懶,U+61F6,0.214,False,NOT_IN_DICT
stt11,page_0010,7,8,a,SYLLABLE,匝,亜,U+4E9C,0.8216,True,RESCUE_V3_MED
stt11,page_0010,7,16,trời,SYLLABLE,丞,𡗶,U+215F6,0.7428,True,RESCUE_V3_MED
stt11,page_0010,7,19,don,SYLLABLE,迍,迍,U+8FCD,0.3724,False,NOT_IN_DICT
stt11,page_0010,7,21,ấy,SYLLABLE,人,衣,U+8863,0.9091,True,RESCUE_V3_HIGH
stt11,page_0010,8,4,tượng,SYLLABLE,𰂸,襖,U+8956,0.1681,False,NOT_IN_DICT
stt11,page_0010,8,6,đi,SYLLABLE,趍,棱,U+68F1,0.1533,False,NOT_IN_DICT
stt11,page_0010,8,8,lấy,REVIEW,柩,𢬦,U+22B26,0.4992,True,RESCUE_V3_LOW_CONF
stt11,page_0010,8,9,bốn,SYLLABLE,眾,罪,U+7F6A,0.6982,False,NOT_IN_DICT
stt11,page_0010,8,12,chở,REVIEW,𧵑,賊,U+8CCA,0.2525,False,NOT_IN_DICT
stt11,page_0010,8,20,xưa,SYLLABLE,𭃡,𥘉,U+25609,0.4182,True,RESCUE_V3_LOW_CONF
stt11,page_0010,9,1,đem,SYLLABLE,丸,犯,U+72AF,0.1293,False,NOT_IN_DICT
stt11,page_0010,9,2,về,SYLLABLE,街,𧗱,U+275F1,0.8804,True,RESCUE_V3_HIGH
