image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,bbox,seg_backend,nom_idx,syl_idx,syllable_ocr,syllable_raw,p_register,band_touched,n_ocr,n_qn,n_det,count_source,box_source,label_canonical,tier_v3,dict_support,context_evidence,l1_support,l1_tie,flank_gold,qd01_locked,qd01_excluded,am_da_quyet_ngoai_khoa,tier_goc,rule_goc,dup_bbox,cross_col,md5_dup,dup_defect,dup_group
gold/stt11_page_0034_c01_005.png,stt11,page_0034,1,聀,chức,聀,U+8040,char,GOLD,s1_inter_s2_direct,,0.138,105,138,fdb355be294f,ok,"[1315, 876, 1423, 991]",detector_centernet_v1,7,5,chức,chức,1.0,0,24,22,22,equal_qn,detector,聀,CHAR_A,19,corpus4|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,fdb355be294f
gold/stt11_page_0034_c01_008.png,stt11,page_0034,1,曰,viết,曰,U+66F0,char,GOLD,s1_inter_s2_direct,,0.177,105,133,5c4ff53c1ad6,ok,"[1316, 1170, 1419, 1288]",detector_centernet_v1,10,8,viết,viết,1.0,0,24,22,22,equal_qn,detector,曰,CHAR_A,2,bigram|corpus4|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,5c4ff53c1ad6
syllable/stt11_page_0034_c01_011.png,stt11,page_0034,1,唱,hai,,,syllable,SYLLABLE,syl_ctx:bigram,,0.194,112,129,a8f01337ed89,ok,"[1313, 1448, 1421, 1560]",detector_centernet_v1,13,11,hai,hai,1.0,0,24,22,22,equal_qn,detector,,SYL,18,bigram|corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,a8f01337ed89
syllable/stt11_page_0034_c01_012.png,stt11,page_0034,1,𭁡,trăm,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.283,111,139,f0f7838da1b8,ok,"[1315, 1533, 1420, 1646]",detector_centernet_v1,14,12,trăm,trăm,1.0,0,24,22,22,equal_qn,detector,,SYL,10,corpus4|corpus2,0,0,0,0,0,0,,,False,True,False,True,f0f7838da1b8
syllable/stt11_page_0034_c01_013.png,stt11,page_0034,1,辭,năm,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.228,106,143,6cba120e827c,ok,"[1314, 1625, 1424, 1743]",detector_centernet_v1,15,13,năm,năm,1.0,0,24,22,22,equal_qn,detector,,SYL,19,corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,6cba120e827c
gold/stt11_page_0034_c01_014.png,stt11,page_0034,1,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.214,95,141,c8028ac908d4,ok,"[1314, 1723, 1423, 1838]",detector_centernet_v1,16,14,cho,cho,1.0,0,24,22,22,equal_qn,detector,朱,CHAR_A,12,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,c8028ac908d4
gold/stt11_page_0034_c01_015.png,stt11,page_0034,1,年,nên,年,U+5E74,char,GOLD,s1_inter_s2_direct,,0.215,103,136,a4129cb6abd3,ok,"[1323, 1819, 1430, 1931]",detector_centernet_v1,17,15,nên,nên,1.0,0,24,22,22,equal_qn,detector,年,CHAR_A,21,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,a4129cb6abd3
gold/stt11_page_0034_c01_016.png,stt11,page_0034,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.244,95,140,fbb9c9045ace,ok,"[1324, 1903, 1432, 2017]",detector_centernet_v1,18,16,nó,nó,1.0,0,24,22,22,equal_qn,detector,奴,CHAR_A,6,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,fbb9c9045ace
syllable/stt11_page_0034_c01_018.png,stt11,page_0034,1,打,giết,,,syllable,SYLLABLE,syl_ctx:bigram,,0.26,82,145,eab0cbe7d24a,ok,"[1325, 2091, 1431, 2208]",detector_centernet_v1,20,18,giết,giết,1.0,0,24,22,22,equal_qn,detector,,SYL,21,bigram|corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,eab0cbe7d24a
gold/stt11_page_0034_c02_027.png,stt11,page_0034,2,主,chúa,主,U+4E3B,char,GOLD,s1_inter_s2_direct,,0.138,105,138,fdb355be294f,ok,"[1315, 876, 1423, 991]",detector_centernet_v1,5,7,chúa,Chúa,1.0,0,22,24,21,conflict,detector,主,CHAR_A,2,bigram|corpus4|corpus2|direct,0,0,0,0,0,0,,,False,True,False,True,fdb355be294f
gold/stt11_page_0034_c02_030.png,stt11,page_0034,2,葉,đẹp,葉,U+8449,char,GOLD,s1_inter_s2_direct,,0.177,105,133,5c4ff53c1ad6,ok,"[1316, 1170, 1419, 1288]",detector_centernet_v1,8,10,đẹp,đẹp,1.0,0,22,24,21,conflict,detector,葉,CHAR_A,22,corpus4|corpus2|direct,0,0,0,0,0,0,,,False,True,False,True,5c4ff53c1ad6
gold/stt11_page_0034_c02_033.png,stt11,page_0034,2,些,ta,些,U+4E9B,char,GOLD,s1_inter_s2_direct,,0.194,112,129,a8f01337ed89,ok,"[1313, 1448, 1421, 1560]",detector_centernet_v1,11,13,ta,ta,1.0,0,22,24,21,conflict,detector,些,CHAR_A,55,bigram|corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,a8f01337ed89
gold/stt11_page_0034_c02_034.png,stt11,page_0034,2,時,thì,時,U+6642,char,GOLD,s1_inter_s2_direct,,0.283,111,139,f0f7838da1b8,ok,"[1315, 1533, 1420, 1646]",detector_centernet_v1,12,14,thì,thì,1.0,0,22,24,21,conflict,detector,時,CHAR_A,56,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,f0f7838da1b8
gold/stt11_page_0034_c02_035.png,stt11,page_0034,2,庒,chẳng,庒,U+5E92,char,GOLD,s1_inter_s2_direct,,0.228,106,143,6cba120e827c,ok,"[1314, 1625, 1424, 1743]",detector_centernet_v1,13,15,chẳng,chẳng,1.0,0,22,24,21,conflict,detector,庄,CHAR_A,36,bigram|corpus4|tone|corpus2|direct|sim_unique,0,0,2,0,0,0,,,False,True,False,True,6cba120e827c
gold/stt11_page_0034_c02_036.png,stt11,page_0034,2,曳,dái,曳,U+66F3,char,GOLD,s1_inter_s2_direct,,0.214,95,141,c8028ac908d4,ok,"[1314, 1723, 1423, 1838]",detector_centernet_v1,14,16,dái,dái,1.0,0,22,24,21,conflict,detector,曳,CHAR_A,12,corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,c8028ac908d4
gold/stt11_page_0034_c02_037.png,stt11,page_0034,2,斫,chước,斫,U+65AB,char,GOLD,s1_inter_s2_direct,,0.215,103,136,a4129cb6abd3,ok,"[1323, 1819, 1430, 1931]",detector_centernet_v1,15,17,chước,chước,1.0,0,22,24,21,conflict,detector,斫,CHAR_A,56,corpus4|corpus2|direct|sim_unique,0,0,2,0,0,0,,,False,True,False,True,a4129cb6abd3
gold/stt11_page_0034_c02_038.png,stt11,page_0034,2,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.244,95,140,fbb9c9045ace,ok,"[1324, 1903, 1432, 2017]",detector_centernet_v1,16,18,nó,nó,1.0,0,22,24,21,conflict,detector,奴,CHAR_A,6,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,fbb9c9045ace
syllable/stt11_page_0034_c02_040.png,stt11,page_0034,2,戔,một,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.26,82,145,eab0cbe7d24a,ok,"[1325, 2091, 1431, 2208]",detector_centernet_v1,18,20,một,một,1.0,0,22,24,21,conflict,detector,,SYL,37,corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,eab0cbe7d24a
gold/stt11_page_0046_c06_076.png,stt11,page_0046,6,時,thì,時,U+6642,char,GOLD,s1_inter_s2_direct,,0.175,101,135,cdcd3dc548ad,ok,"[543, 686, 647, 801]",detector_centernet_v1,3,2,thì,thì,0.9994,0,22,21,22,equal_ocr,detector,時,CHAR_A,56,bigram|corpus4|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,cdcd3dc548ad
gold/stt11_page_0046_c07_098.png,stt11,page_0046,7,蚕,tao,蚤,U+86A4,char,GOLD,s1_inter_s2_similar,,0.175,101,135,cdcd3dc548ad,ok,"[543, 686, 647, 801]",detector_centernet_v1,3,3,tao,tao,1.0,0,21,21,21,equal_qn,detector,蚤,CHAR_B,66,corpus4|corpus2|sim_unique,0,0,2,0,0,0,,,False,True,False,True,cdcd3dc548ad
syllable/stt11_page_0096_c03_061.png,stt11,page_0096,3,嘿,ra,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.185,92,147,00cbd1c1a9f0,ok,"[1053, 2296, 1159, 2418]",detector_centernet_v1,19,19,ra,ra,1.0,0,21,21,21,equal_qn,detector,,SYL,37,corpus4|corpus2,0,0,2,0,0,0,,,False,True,False,True,00cbd1c1a9f0
syllable/stt11_page_0096_c04_083.png,stt11,page_0096,4,凜,lăm,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.185,92,147,00cbd1c1a9f0,ok,"[1053, 2296, 1159, 2418]",detector_centernet_v1,20,20,lăm,lăm,1.0,0,22,22,22,equal_qn,detector,,SYL,11,corpus4|tone|corpus2,-1,0,0,0,0,0,,,False,True,False,True,00cbd1c1a9f0
gold/stt11_page_0198_c08_152.png,stt11,page_0198,8,理,lẽ,理,U+7406,char,GOLD,s1_inter_s2_direct,,0.104,93,106,dbaebd9ca808,ok,"[759, 493, 866, 609]",detector_centernet_v1,2,1,lẽ,lẽ,1.0,0,22,21,21,equal_qn,detector,理,CHAR_A,18,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,dbaebd9ca808
syllable/stt11_page_0198_c08_156.png,stt11,page_0198,8,行,đức,,,syllable,SYLLABLE,syl_ctx:bigram,,0.114,91,140,73f70625376c,ok,"[752, 868, 851, 982]",detector_centernet_v1,6,5,đức,Đức,1.0,0,22,21,21,equal_qn,detector,,SYL,21,bigram|corpus4|corpus2,0,0,2,0,0,0,,,False,True,False,True,73f70625376c
gold/stt11_page_0198_c08_158.png,stt11,page_0198,8,夲,trời,𡗶,U+215F6,char,GOLD,s1_inter_s2_similar,,0.147,81,114,0b28afd4866b,ok,"[752, 1058, 847, 1169]",detector_centernet_v1,8,7,trời,Trời,1.0,0,22,21,21,equal_qn,detector,𡗶,CHAR_B,13,bigram|corpus4|corpus2|sim_unique,0,0,2,0,0,0,,,False,True,False,True,0b28afd4866b
gold/stt11_page_0198_c08_159.png,stt11,page_0198,8,庄,chăng,庄,U+5E84,char,GOLD,s1_inter_s2_direct,,0.18,81,121,61f3e1e39875,ok,"[750, 1143, 848, 1254]",detector_centernet_v1,9,8,chăng,chăng,1.0,0,22,21,21,equal_qn,detector,庄,CHAR_A,26,bigram|corpus4|tone|corpus2|direct|sim_unique,0,0,1,0,0,0,,,False,True,False,True,61f3e1e39875
gold/stt11_page_0198_c08_160.png,stt11,page_0198,8,固,có,固,U+56FA,char,GOLD,s1_inter_s2_direct,,0.121,84,138,238ab75da1a1,ok,"[750, 1236, 847, 1349]",detector_centernet_v1,10,9,có,có,1.0,0,22,21,21,equal_qn,detector,固,CHAR_A,15,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,238ab75da1a1
gold/stt11_page_0198_c09_173.png,stt11,page_0198,9,尋,tìm,尋,U+5C0B,char,GOLD,s1_inter_s2_direct,,0.104,93,106,dbaebd9ca808,ok,"[759, 493, 866, 609]",detector_centernet_v1,1,2,tìm,tìm,0.9998,0,22,23,22,equal_ocr,detector,尋,CHAR_A,11,bigram|corpus4|corpus2|direct,0,0,0,0,0,0,,,False,True,False,True,dbaebd9ca808
gold/stt11_page_0198_c09_177.png,stt11,page_0198,9,宜,nghe,宜,U+5B9C,char,GOLD,s1_inter_s2_direct,,0.114,91,140,73f70625376c,ok,"[752, 868, 851, 982]",detector_centernet_v1,5,6,nghe,nghe,1.0,0,22,23,22,equal_ocr,detector,宜,CHAR_A,24,bigram|corpus4|tone|corpus2|direct|sim_unique,0,0,2,0,0,0,,,False,True,False,True,73f70625376c
gold/stt11_page_0198_c09_179.png,stt11,page_0198,9,仍,những,仍,U+4ECD,char,GOLD,s1_inter_s2_direct,,0.147,81,114,0b28afd4866b,ok,"[752, 1058, 847, 1169]",detector_centernet_v1,7,8,những,những,1.0,0,22,23,22,equal_ocr,detector,仍,CHAR_A,8,bigram|corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,0b28afd4866b
gold/stt11_page_0198_c09_180.png,stt11,page_0198,9,理,lẽ,理,U+7406,char,GOLD,s1_inter_s2_direct,,0.18,81,121,61f3e1e39875,ok,"[750, 1143, 848, 1254]",detector_centernet_v1,8,9,lẽ,lẽ,1.0,0,22,23,22,equal_ocr,detector,理,CHAR_A,18,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,61f3e1e39875
gold/stt11_page_0198_c09_181.png,stt11,page_0198,9,沛,phải,沛,U+6C9B,char,GOLD,s1_inter_s2_direct,,0.121,84,138,238ab75da1a1,ok,"[750, 1236, 847, 1349]",detector_centernet_v1,9,10,phải,phải,1.0,0,22,23,22,equal_ocr,detector,沛,CHAR_A,30,corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,238ab75da1a1
gold/stt11_page_0202_c06_115.png,stt11,page_0202,6,欺,khi,欺,U+6B3A,char,GOLD,s1_inter_s2_direct,,0.156,112,138,0097c31179ef,ok,"[579, 2128, 680, 2243]",detector_centernet_v1,23,18,khi,khi,1.0,0,27,22,22,equal_qn,detector,欺,CHAR_A,31,bigram|corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,0097c31179ef
gold/stt11_page_0202_c06_116.png,stt11,page_0202,6,畧,trước,畧,U+7567,char,GOLD,s1_inter_s2_direct,,0.217,89,132,455064648c1f,ok,"[589, 2224, 690, 2338]",detector_centernet_v1,24,19,trước,trước,1.0,0,27,22,22,equal_qn,detector,畧,CHAR_A,29,bigram|corpus4|corpus2|direct|sim_unique,0,0,1,0,0,0,,,False,True,False,True,455064648c1f
gold/stt11_page_0202_c07_137.png,stt11,page_0202,7,重,chồng,重,U+91CD,char,GOLD,s1_inter_s2_direct,,0.156,112,138,0097c31179ef,ok,"[579, 2128, 680, 2243]",detector_centernet_v1,18,23,chồng,chồng,1.0,0,22,27,23,conflict,detector,重,CHAR_A,21,bigram|corpus4|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,0097c31179ef
gold/stt11_page_0202_c07_138.png,stt11,page_0202,7,碎,tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.217,89,132,455064648c1f,ok,"[589, 2224, 690, 2338]",detector_centernet_v1,19,24,tôi,tôi,1.0,0,22,27,23,conflict,detector,碎,CHAR_A,17,bigram|corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,455064648c1f
gold/stt11_page_0256_c01_004.png,stt11,page_0256,1,末,mất,末,U+672B,char,GOLD,s1_inter_s2_direct,,0.189,83,121,13cc5a25483e,ok,"[1355, 793, 1455, 905]",detector_centernet_v1,4,4,mất,mất,1.0,0,24,22,22,equal_qn,detector,末,CHAR_A,48,bigram|corpus4|corpus2|direct|sim_unique,0,0,2,0,0,0,,,False,True,False,True,13cc5a25483e
syllable/stt11_page_0256_c01_009.png,stt11,page_0256,1,捕,bò,,,syllable,SYLLABLE,syl_ctx:tone,,0.152,99,129,e0bc362d56d1,ok,"[1356, 1262, 1456, 1378]",detector_centernet_v1,9,9,bò,bò,1.0,0,24,22,22,equal_qn,detector,,SYL,23,tone|corpus2,0,0,1,0,0,0,,,False,True,False,True,e0bc362d56d1
gold/stt11_page_0256_c01_010.png,stt11,page_0256,1,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.15,82,124,00cf283d1338,ok,"[1357, 1358, 1457, 1474]",detector_centernet_v1,10,10,mà,mà,1.0,0,24,22,22,equal_qn,detector,麻,CHAR_A,21,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,00cf283d1338
gold/stt11_page_0256_c01_012.png,stt11,page_0256,1,寄,cả,奇,U+5947,char,GOLD,s1_inter_s2_similar,,0.172,91,134,78975b443739,ok,"[1357, 1541, 1455, 1655]",detector_centernet_v1,12,12,cả,cả,1.0,0,24,22,22,equal_qn,detector,奇,CHAR_B,11,corpus4|corpus2|sim_unique,0,0,1,0,0,0,,,False,True,False,True,78975b443739
syllable/stt11_page_0256_c01_013.png,stt11,page_0256,1,案,và,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.133,112,145,ffd2048e0e55,ok,"[1355, 1636, 1456, 1753]",detector_centernet_v1,13,13,và,và,1.0,0,24,22,22,equal_qn,detector,,SYL,17,corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,ffd2048e0e55
gold/stt11_page_0256_c01_018.png,stt11,page_0256,1,楼,lâu,楼,U+697C,char,GOLD,s1_inter_s2_direct,,0.247,60,116,f5213bdb79e2,tall,"[1353, 2094, 1458, 2214]",detector_centernet_v1,20,18,lâu,lâu,0.9988,0,24,22,22,equal_qn,detector,楼,CHAR_A,82,corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,f5213bdb79e2
gold/stt11_page_0256_c01_019.png,stt11,page_0256,1,仍,những,仍,U+4ECD,char,GOLD,s1_inter_s2_direct,,0.164,81,136,50913bbe5dcd,ok,"[1356, 2189, 1455, 2308]",detector_centernet_v1,21,19,những,Những,1.0,0,24,22,22,equal_qn,detector,仍,CHAR_A,8,bigram|corpus4|tone|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,50913bbe5dcd
syllable/stt11_page_0256_c02_026.png,stt11,page_0256,2,送,nước,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.189,83,121,13cc5a25483e,ok,"[1355, 793, 1455, 905]",detector_centernet_v1,4,4,nước,nước,1.0,0,22,24,22,equal_ocr,detector,,SYL,13,corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,13cc5a25483e
syllable/stt11_page_0256_c02_031.png,stt11,page_0256,2,妃,bà,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.152,99,129,e0bc362d56d1,ok,"[1356, 1262, 1456, 1378]",detector_centernet_v1,9,9,bà,bà,1.0,0,22,24,22,equal_ocr,detector,,SYL,36,corpus4|corpus2,0,0,0,0,0,0,,,False,True,False,True,e0bc362d56d1
syllable/stt11_page_0256_c02_032.png,stt11,page_0256,2,巜,ấy,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.15,82,124,00cf283d1338,ok,"[1357, 1358, 1457, 1474]",detector_centernet_v1,10,10,ấy,ấy,1.0,0,22,24,22,equal_ocr,detector,,SYL,32,corpus4|corpus2,0,0,0,0,0,0,,,False,True,False,True,00cf283d1338
gold/stt11_page_0256_c02_034.png,stt11,page_0256,2,末,mặt,末,U+672B,char,GOLD,s1_inter_s2_direct,,0.172,91,134,78975b443739,ok,"[1357, 1541, 1455, 1655]",detector_centernet_v1,12,12,mặt,mặt,1.0,0,22,24,22,equal_ocr,detector,末,CHAR_A,20,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,78975b443739
gold/stt11_page_0256_c02_035.png,stt11,page_0256,2,庒,chăng,庒,U+5E92,char,GOLD,s1_inter_s2_direct,,0.133,112,145,ffd2048e0e55,ok,"[1355, 1636, 1456, 1753]",detector_centernet_v1,13,13,chăng,chăng,1.0,0,22,24,22,equal_ocr,detector,庄,CHAR_A,26,bigram|corpus4|tone|corpus2|direct|sim_unique,0,0,1,0,0,0,,,False,True,False,True,ffd2048e0e55
syllable/stt11_page_0256_c02_040.png,stt11,page_0256,2,希,vua,,,syllable,SYLLABLE,syl_ctx:bigram,,0.247,60,116,f5213bdb79e2,tall,"[1353, 2094, 1458, 2214]",detector_centernet_v1,18,20,vua,vua,1.0,0,22,24,22,equal_ocr,detector,,SYL,15,bigram|corpus4|corpus2,0,0,2,0,0,0,,,False,True,False,True,f5213bdb79e2
gold/stt11_page_0256_c02_041.png,stt11,page_0256,2,吏,lai,吏,U+540F,char,GOLD,s1_inter_s2_direct,,0.164,81,136,50913bbe5dcd,ok,"[1356, 2189, 1455, 2308]",detector_centernet_v1,19,21,lai,lai,1.0,0,22,24,22,equal_ocr,detector,吏,CHAR_A,45,corpus4|tone|corpus2|direct,0,0,0,0,0,0,,,False,True,False,True,50913bbe5dcd
gold/stt2_page_0278_c08_146.png,stt2,page_0278,8,南,năm,南,U+5357,char,GOLD,s1_inter_s2_direct,,0.203,104,137,7b5b4556a3f0,ok,"[242, 1214, 342, 1326]",detector_centernet_v1,9,8,năm,năm,1.0,0,23,22,22,equal_qn,detector,南,CHAR_A,19,corpus4|tone|corpus2|direct,0,0,0,0,0,0,,,False,True,False,True,7b5b4556a3f0
syllable/stt2_page_0278_c08_148.png,stt2,page_0278,8,樞,giu,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.182,119,132,17adc4c51d00,ok,"[249, 1402, 353, 1516]",detector_centernet_v1,11,10,giu,Giu,1.0,0,23,22,22,equal_qn,detector,,SYL,0,corpus4|corpus2,0,0,0,0,0,0,,,False,True,False,True,17adc4c51d00
gold/stt2_page_0278_c08_153.png,stt2,page_0278,8,䕃,ấm,䕃,U+4543,char,GOLD,s1_inter_s2_direct,,0.221,77,137,4d66a241c503,ok,"[254, 1861, 351, 1972]",detector_centernet_v1,16,15,ấm,ấm,1.0,0,23,22,22,equal_qn,detector,䕃,CHAR_A,37,direct,0,0,0,0,0,0,,,False,True,False,True,4d66a241c503
syllable/stt2_page_0278_c08_154.png,stt2,page_0278,8,百,làm,,,syllable,SYLLABLE,syl_ctx:corpus4,,0.154,106,140,0575e0e3e588,ok,"[252, 1946, 353, 2060]",detector_centernet_v1,17,16,làm,làm,1.0,0,23,22,22,equal_qn,detector,,SYL,17,corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,0575e0e3e588
syllable/stt2_page_0278_c09_168.png,stt2,page_0278,9,僊,đức,,,syllable,SYLLABLE,syl_ctx:bigram,,0.203,104,137,7b5b4556a3f0,ok,"[242, 1214, 342, 1326]",detector_centernet_v1,8,8,đức,Đức,1.0,0,22,21,22,equal_ocr,detector,,SYL,21,bigram|corpus4|corpus2,0,0,1,0,0,0,,,False,True,False,True,7b5b4556a3f0
gold/stt2_page_0278_c09_170.png,stt2,page_0278,9,枝,giê,枝,U+679D,char,GOLD,s1_inter_s2_direct,,0.182,119,132,17adc4c51d00,ok,"[249, 1402, 353, 1516]",detector_centernet_v1,10,10,giê,Giê,1.0,0,22,21,22,equal_ocr,detector,枝,CHAR_A,9,bigram|corpus4|corpus2|direct,0,0,2,0,0,0,,,False,True,False,True,17adc4c51d00
gold/stt2_page_0278_c09_175.png,stt2,page_0278,9,浪,răng,浪,U+6D6A,char,GOLD,s1_inter_s2_direct,,0.221,77,137,4d66a241c503,ok,"[254, 1861, 351, 1972]",detector_centernet_v1,15,15,răng,răng,1.0,0,22,21,22,equal_ocr,detector,浪,CHAR_A,16,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,4d66a241c503
gold/stt2_page_0278_c09_176.png,stt2,page_0278,9,眉,mày,眉,U+7709,char,GOLD,s1_inter_s2_direct,,0.154,106,140,0575e0e3e588,ok,"[252, 1946, 353, 2060]",detector_centernet_v1,16,16,mày,Mày,1.0,0,22,21,22,equal_ocr,detector,眉,CHAR_A,24,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,0575e0e3e588
gold/stt4_page_0014_c04_090.png,stt4,page_0014,4,南,năm,南,U+5357,char,GOLD,s1_inter_s2_direct,,0.161,69,87,43e2adc64c50,ok,"[607, 1420, 679, 1495]",detector_centernet_v1,21,21,năm,năm,1.0,0,25,25,25,equal_qn,detector,南,CHAR_A,19,bigram|corpus4|tone|corpus2|direct,0,0,1,0,0,0,,,False,True,False,True,43e2adc64c50
