book,page,column,ocr_char,syllable,label,confirmed,rule,s3_cosine,s3_top,bbox
yen2,page_0012,3,樞,Giu,樞,0,s1_inter_s3_out_of_dict,0.797,樞,"[922, 793, 1054, 884]"
yen2,page_0012,5,何,aé,何,0,s1_inter_s3_out_of_dict,0.783,何,"[616, 1981, 725, 2078]"
yen2,page_0016,3,膏,le,𠲥,0,s2_inter_s3_corrected,0.805,𠲥,"[929, 1693, 1039, 1787]"
yen2,page_0016,4,而,làm,𪵯,0,s2_inter_s3_corrected,0.825,𪵯,"[781, 210, 884, 303]"
yen2,page_0016,4,礼,TRẤY,礼,0,s1_inter_s3_out_of_dict,0.901,礼,"[781, 1698, 884, 1791]"
yen2,page_0016,8,共,c,極,0,s2_inter_s3_corrected,0.746,極,"[159, 1357, 257, 1446]"
yen2,page_0018,2,署,rô,𫙔,0,s2_inter_s3_corrected,0.834,𫙔,"[1089, 1665, 1192, 1761]"
yen2,page_0020,8,側,bày,悲,0,s2_inter_s3_corrected,0.802,悲,"[220, 830, 307, 926]"
yen2,page_0022,5,衣,Ay,衣,0,s1_inter_s3_out_of_dict,0.803,衣,"[627, 1686, 736, 1787]"
yen2,page_0022,8,衣,1,衣,0,s1_inter_s3_out_of_dict,0.825,衣,"[194, 519, 285, 611]"
yen2,page_0024,8,茂,một,車,0,s2_inter_s3_corrected,0.803,車,"[175, 1049, 278, 1131]"
yen2,page_0024,8,仪,nh,仪,0,s1_inter_s3_out_of_dict,0.804,仪,"[175, 1376, 278, 1458]"
yen2,page_0024,8,𭔿,Ay,𭔿,0,s1_inter_s3_out_of_dict,0.756,𭔿,"[175, 1458, 278, 1540]"
yen2,page_0024,8,祿,nóing,祿,0,s1_inter_s3_out_of_dict,0.727,祿,"[175, 2031, 278, 2113]"
yen2,page_0026,7,敢,tram,敢,0,s1_inter_s3_out_of_dict,0.817,敢,"[500, 1383, 598, 1477]"
yen4,page_0014,4,皇,thánh,𩫽,0,s2_inter_s3_corrected,0.844,𩫽,"[491, 892, 565, 947]"
yen4,page_0014,4,勿,dau,勿,0,s1_inter_s3_out_of_dict,0.742,勿,"[491, 1334, 565, 1390]"
yen4,page_0014,7,捋,ga,捋,0,s1_inter_s3_out_of_dict,0.842,捋,"[201, 617, 267, 677]"
yen4,page_0016,5,𭸟,Ga,𭸟,0,s1_inter_s3_out_of_dict,0.815,𭸟,"[467, 1163, 533, 1227]"
yen4,page_0016,6,帝,đấv,帝,0,s1_inter_s3_out_of_dict,0.829,帝,"[377, 1347, 439, 1408]"
yen4,page_0016,7,霖,trăm,炧,0,s2_inter_s3_corrected,0.9,炧,"[283, 1216, 348, 1277]"
yen4,page_0018,5,擿,Ga,擿,0,s1_inter_s3_out_of_dict,0.805,擿,"[396, 360, 467, 418]"
yen4,page_0024,5,炤,lửa,火,0,s2_inter_s3_corrected,0.783,火,"[391, 763, 466, 826]"
yen4,page_0026,5,我,nhong,戎,0,s2_inter_s3_corrected,0.748,戎,"[402, 1290, 484, 1348]"
yen4,page_0026,5,叚,Doan,叚,0,s1_inter_s3_out_of_dict,0.871,叚,"[402, 1348, 484, 1407]"
yen11,page_0010,5,苑,Pha,波,0,s2_inter_s3_corrected,0.774,波,"[626, 1879, 728, 1977]"
yen11,page_0012,6,移,r1,移,0,s1_inter_s3_out_of_dict,0.745,移,"[482, 1311, 590, 1403]"
yen11,page_0018,1,屛,nghìn,懯,0,s2_inter_s3_corrected,0.855,懯,"[1207, 610, 1317, 708]"
yen11,page_0018,5,伐,Ay,伐,0,s1_inter_s3_out_of_dict,0.781,伐,"[610, 1599, 725, 1693]"
yen11,page_0020,3,煴,lửa,火,0,s2_inter_s3_corrected,0.821,火,"[906, 1447, 1017, 1532]"
yen11,page_0022,6,𫝄,Ay,𫝄,0,s1_inter_s3_out_of_dict,0.756,𫝄,"[455, 610, 562, 696]"
yen11,page_0022,6,憂,Nếu,𠮩,0,s2_inter_s3_corrected,0.786,𠮩,"[455, 1303, 562, 1389]"
yen11,page_0022,7,人,Ây,人,0,s1_inter_s3_out_of_dict,0.75,人,"[311, 1750, 411, 1837]"
yen11,page_0024,1,炤,lửa,火,0,s2_inter_s3_corrected,0.807,火,"[1210, 1348, 1320, 1437]"
yen11,page_0024,3,𫈦,một,𠬠,0,s2_inter_s3_corrected,0.792,𠬠,"[901, 395, 1015, 488]"
yen11,page_0024,3,留,le,𠲥,0,s2_inter_s3_corrected,0.853,𠲥,"[901, 1793, 1015, 1886]"
