sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,^,"""    ^""",0.646,3,51
M1_0001,人,"""人""",0.311,2,46
M1_0002,一,"""一""",0.338,2,46
M1_0003,主,"""主""",0.298,2,36
M1_0004,ক,"""ক""",0.272,3,46
M1_0005,闲,"""闲""",0.310,2,46
M1_0006,主,"""主""",0.298,2,36
M1_0007,মোট,"""মোট""",0.462,7,40
M1_0008,---,"""---""",0.336,2,46
M1_0009,峪,"""峪""",0.301,3,51
M1_0010,境,"""境""",0.272,2,32
M1_0011,---,"""---""",0.372,2,58
M1_0012,麻,"""麻""",0.359,2,58
M1_0013,例,"""例""",0.329,2,40
M1_0014,---,"""---""",0.270,2,41
M1_0015,）,"""    ）""",0.276,3,41
M1_0016,two,"""two""",0.339,2,51
M1_0017,答案：B,"""答案：B""",0.345,4,36
M1_0018,---,"""---""",0.357,2,58
M1_0019,---,"""---""",0.356,2,51
M1_0020,國,"""國""",0.262,2,41
M1_0021,$\frac{\Delta}{4}$,"""$\\frac{\\Delta}{4}$""",0.481,8,36
M1_0022,---,"""---""",0.324,2,46
M1_0023,谊,"""谊""",0.334,2,51
M1_0024,峨,"""峨""",0.346,3,46
M1_0025,---,"""---""",0.283,2,46
M1_0026,峦,"""峦""",0.314,3,51
M1_0027,庄,"""庄""",0.344,2,52
M1_0028,峦,"""峦""",0.327,3,46
M1_0029,^,"""    ^""",0.349,3,40
M1_0030,||,"""||""",0.311,2,36
M1_0031,徐,"""徐""",0.310,2,51
M1_0032,---,"""---""",0.310,2,46
M1_0033,鎬,"""鎬""",0.384,4,46
M1_0034,---,"""---""",0.308,2,41
M1_0035,峨,"""峨""",0.402,3,51
M1_0036,ম,"""ম""",0.281,3,28
M1_0037,^,"""    ^""",0.303,3,58
M1_0038,7,"""    7""",0.404,4,52
M1_0039,群,"""群""",0.284,2,36
M1_0040,---,"""---""",0.296,2,46
M1_0041,主,"""主""",0.295,2,41
M1_0042,）,"""    ）""",0.334,3,41
M1_0043,一,"""一""",0.227,2,46
M1_0044,𐬭𐬭𐬭,"""𐬭𐬭𐬭""",0.640,12,46
M1_0045,</table>,"""    </table>""",0.424,5,51
M1_0046,答案,"""答案""",0.360,2,58
M1_0047,و,"""و""",0.336,2,58
M1_0048,^,"""    ^""",0.361,3,52
M1_0049,平,"""平""",0.260,2,31
M1_0050,---,"""---""",0.319,2,46
M1_0051,𐬭,"""𐬭""",0.421,5,51
M1_0052,^,"""    ^""",0.336,3,40
M1_0053,𐬭,"""𐬭""",0.353,5,46
M1_0054,---,"""---""",0.327,2,46
M1_0055,∑,"""∑""",0.341,3,41
M1_0056,^,"""    ^""",0.372,3,52
M1_0057,---,"""---""",0.325,2,46
M1_0058,二,"""二""",0.270,2,46
M1_0059,^,"""    ^""",0.358,3,46
M1_0060,κ,"""κ""",0.281,2,36
M1_0061,ক,"""ক""",0.338,3,36
M1_0062,答案：B,"""答案：B""",0.379,4,36
M1_0063,^,"""    ^""",0.377,3,51
M1_0064,峨,"""峨""",0.272,3,46
M1_0065,多,"""多""",0.306,2,41
M1_0066,4,"""4""",0.308,2,46
M1_0067,峨,"""峨""",0.296,3,40
M1_0068,读,"""读""",0.310,2,41
M1_0069,প্রতি,"""প্রতি""",0.489,8,41
M1_0070,$\pi$,"""$\\pi$""",0.322,4,40
M1_0071,---,"""---""",0.288,2,41
M1_0072,Answer:,"""Answer:""",0.375,3,52
M1_0073,衔而,"""衔而""",0.359,3,46
M1_0074,𐬨𐬨,"""    𐬨𐬨""",0.599,11,46
M1_0075,---,"""---""",0.336,2,46
M1_0076,---,"""---""",0.309,2,46
M1_0077,←,"""←""",0.391,3,52
M1_0078,双,"""双""",0.332,2,40
M1_0079,英     泳,"""    英\n    泳""",0.479,8,46
M1_0080,^,"""    ^""",0.331,3,36
M1_0081,四,"""四""",0.358,2,58
M1_0082,王,"""王""",0.347,2,52
M1_0083,点,"""点""",0.359,2,58
M1_0084,峪,"""峪""",0.317,3,40
M1_0085,1.,"""    1.""",0.378,5,46
M1_0086,面,"""面""",0.288,2,40
M1_0087,遐,"""遐""",0.329,3,41
M1_0088,---,"""---""",0.345,2,58
M1_0089,মান,"""মান""",0.377,5,36
M1_0090,峨,"""峨""",0.276,3,46
M1_0091,一,"""一""",0.327,2,46
M1_0092,'Bh,"""'Bh""",0.353,4,46
M1_0093,জ,"""জ""",0.351,3,40
M1_0094,遲,"""遲""",0.348,3,46
M1_0095,峨,"""峨""",0.303,3,46
M1_0096,---,"""---""",0.300,2,41
M1_0097,時,"""時""",0.292,2,46
M1_0098,遠,"""遠""",0.336,3,46
M1_0099,---,"""---""",0.359,2,58
M1_0100,峨,"""峨""",0.360,3,40
M1_0101,五,"""五""",0.270,2,58
M1_0102,答案,"""答案""",0.307,2,46
M1_0103,---,"""---""",0.313,2,46
M1_0104,---,"""---""",0.332,2,46
M1_0105,^,"""    ^""",0.366,3,46
M1_0106,←,"""←""",0.358,3,52
M1_0107,峨,"""峨""",0.313,3,40
M1_0108,---,"""---""",0.337,2,58
M1_0109,1,"""    1""",0.367,4,46
M1_0110,主,"""主""",0.310,2,40
M1_0111,言,"""    言""",0.353,4,46
M1_0112,𐬨,"""𐬨""",0.340,5,46
M1_0113,---,"""---""",0.313,2,46
M1_0114,者,"""者""",0.299,2,46
M1_0115,一,"""一""",0.351,2,52
M1_0116,朱,"""朱""",0.354,2,51
M1_0117,^     ˆ,"""    ^\n    ˆ""",0.457,8,46
M1_0118,←x2,"""←x2""",0.422,5,46
M1_0119,</table>,"""    </table>""",0.424,5,52
M1_0120,^,"""    ^""",0.394,3,52
M1_0121,____,"""____""",0.308,2,46
M1_0122,---,"""---""",0.261,2,40
M1_0123,一,"""一""",0.311,2,41
M1_0124,^,"""    ^""",0.358,3,46
M1_0125,中,"""中""",0.343,2,52
M1_0126,遊,"""遊""",0.351,3,40
M1_0127,因,"""因""",0.296,2,46
M1_0128,^,"""    ^""",0.270,3,41
M1_0129,ম,"""ম""",0.364,3,46
M1_0130,ต,"""ต""",0.331,3,46
M1_0131,.....,""".....""",0.343,2,46
M1_0132,峨,"""峨""",0.315,3,40
M1_0133,）,"""    ）""",0.315,3,46
M1_0134,---,"""---""",0.284,2,46
M1_0135,一,"""一""",0.304,2,41
M1_0136,非,"""非""",0.274,2,36
M1_0137,）,"""    ）""",0.315,3,36
M1_0138,几,"""几""",0.382,2,51
M1_0139,^,"""    ^""",0.303,3,46
M1_0140,মন,"""মন""",0.422,4,52
M1_0141,---,"""---""",0.292,2,46
M1_0142,---,"""---""",0.326,2,52
M1_0143,.....,""".....""",0.341,2,46
M1_0144,心,"""心""",0.301,2,44
M1_0145,---,"""---""",0.239,2,41
M1_0146,ম,"""ম""",0.374,3,51
M1_0147,---,"""---""",0.333,2,52
M1_0148,|,"""    |""",0.344,3,46
M1_0149,---,"""---""",0.373,2,52
M1_0150,答案：B,"""答案：B""",0.337,4,44
M1_0151,朱,"""朱""",0.331,2,52
M1_0152,峨,"""峨""",0.348,3,46
M1_0153,玖,"""玖""",0.322,3,41
