image,book,page,column,nom_idx,syl_idx,syllable,tier,tier_v3,p_visual_syl,visual_fold,visual_argmax,visual_max_p
,stt11,page_0010,1,0,0,tháng,REVIEW,REVIEW,0.0603,4,tháng,0.0603
,stt11,page_0010,1,1,1,mươi,GOLD,CHAR_A,0.7863,4,mươi,0.7863
,stt11,page_0010,1,2,2,một,SYLLABLE,SYL,0.84,4,một,0.84
,stt11,page_0010,1,3,3,có,GOLD,CHAR_A,0.9639,4,có,0.9639
,stt11,page_0010,1,4,4,ba,GOLD,CHAR_A,0.9279,4,ba,0.9279
,stt11,page_0010,1,5,5,mươi,GOLD,CHAR_A,0.4716,4,mươi,0.4716
,stt11,page_0010,1,6,6,ngày,SYLLABLE,SYL,0.8818,4,ngày,0.8818
,stt11,page_0010,2,0,0,mong,GOLD,CHAR_A,0.5516,4,mong,0.5516
,stt11,page_0010,2,1,1,một,GOLD,CHAR_A,0.4722,4,một,0.4722
,stt11,page_0010,2,2,2,lê,SYLLABLE,SYL,0.025,4,truyền,0.0689
,stt11,page_0010,2,3,3,các,GOLD,CHAR_A,0.1673,4,các,0.1673
,stt11,page_0010,2,4,4,thánh,GOLD,CHAR_A,0.9515,4,thánh,0.9515
,stt11,page_0010,2,5,5,hôm,SYLLABLE,SYL,0.8246,4,hôm,0.8246
,stt11,page_0010,2,6,6,nay,GOLD,CHAR_A,0.0158,4,nơi,0.5726
,stt11,page_0010,2,7,7,i,SYLLABLE,SYL,0.9563,4,i,0.9563
,stt11,page_0010,2,8,8,ghê,SYLLABLE,SYL,0.475,4,ghê,0.475
,stt11,page_0010,2,9,9,rê,SYLLABLE,SYL,0.3527,4,rê,0.3527
,stt11,page_0010,2,10,10,gia,REVIEW,REVIEW,0.3047,4,gia,0.3047
,stt11,page_0010,2,11,12,lễ,GOLD,CHAR_A,0.0028,4,lễ,0.8791
,stt11,page_0010,2,12,13,mừng,GOLD,CHAR_A,0.1614,4,lễ,0.1679
,stt11,page_0010,2,13,14,các,GOLD,CHAR_A,0.5965,4,các,0.5965
,stt11,page_0010,2,14,15,thánh,GOLD,CHAR_A,0.9404,4,thánh,0.9404
,stt11,page_0010,2,15,16,được,GOLD,CHAR_A,0.3919,4,được,0.3919
,stt11,page_0010,2,16,17,phúc,GOLD,CHAR_A,0.6807,4,phúc,0.6807
,stt11,page_0010,2,17,18,cực,GOLD,CHAR_A,0.1574,4,cực,0.1574
,stt11,page_0010,2,18,19,trọng,GOLD,CHAR_A,0.1501,4,trọng,0.1501
,stt11,page_0010,2,19,20,là,SYLLABLE,SYL,0.9809,4,là,0.9809
,stt11,page_0010,3,0,0,thấy,GOLD,CHAR_A,0.9452,4,thấy,0.9452
,stt11,page_0010,3,1,1,đức,SYLLABLE,SYL,0.8911,4,đức,0.8911
,stt11,page_0010,3,2,2,chúa,GOLD,CHAR_A,0.948,4,chúa,0.948
,stt11,page_0010,3,3,3,trời,GOLD,CHAR_B,0.7983,4,trời,0.7983
,stt11,page_0010,3,4,4,tỏ,GOLD,CHAR_A,0.0714,4,tỏ,0.0714
