book,page,col,ocr_char,syllable,confirmed,tier,rule
yen2,page_0012,0,二,Nhị,1,GOLD,s1_inter_s2_direct
yen2,page_0012,0,月,nguyệt,1,GOLD,s1_inter_s2_direct
yen2,page_0012,0,六,bát,0,REVIEW,diverged_column
yen2,page_0012,0,曰,nhật,0,REVIEW,diverged_column
yen2,page_0012,1,祓,NHÁT,0,REVIEW,diverged_column
yen2,page_0012,1,日,NHẬT,1,GOLD,s1_inter_s2_direct
yen2,page_0012,1,翁,Ong,1,GOLD,s1_inter_s2_direct
yen2,page_0012,1,依,Thánh,0,REVIEW,diverged_column
yen2,page_0012,1,那,Ina,0,REVIEW,diverged_column
yen2,page_0012,1,樞,xu,1,GOLD,s1_inter_s2_direct
yen2,page_0012,1,曰,viết,1,GOLD,s1_inter_s2_direct
yen2,page_0012,1,無,vồ,0,REVIEW,diverged_column
yen2,page_0012,1,死,tử,1,REVIEW,diverged_column
yen2,page_0012,1,乕,vì,0,REVIEW,diverged_column
yen2,page_0012,1,道,đao,1,REVIEW,diverged_column
yen2,page_0012,1,傳,truyen,0,REVIEW,diverged_column
yen2,page_0012,2,翁,Ông,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,圭,Thánh,0,REVIEW,unconfirmed
yen2,page_0012,2,君,này,0,REVIEW,unconfirmed
yen2,page_0012,2,要,là,0,REVIEW,unconfirmed
yen2,page_0012,2,兹,đầy,0,REVIEW,unconfirmed
yen2,page_0012,2,四,tớ,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,翁,ông,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,垩,Thánh,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,樞,Giu,0,REVIEW,out_of_dict_no_visual
yen2,page_0012,2,幹,ong,0,REVIEW,unconfirmed
yen2,page_0012,2,梁,là,0,REVIEW,unconfirmed
yen2,page_0012,2,兹,đầy,0,REVIEW,unconfirmed
yen2,page_0012,2,四,tớ,1,GOLD,s1_inter_s2_direct
yen2,page_0012,2,奇,cả,1,GOLD,s1_inter_s2_direct
