sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M4_00,初代嘈瑪先罘安兽君奴固露先罘憎,"""初代嘈瑪先罘安兽君奴固露先罘憎""",7.029,21,1418
M4_01,翁堊生罘庇漱出一吱那異名郎重凛导,"""翁堊生罘庇漱出一吱那異名郎重凛导""",7.698,22,1503
M4_02,閉事占吏朱塂几奸女歇寻菇旦熟巴导相哕庄,"""閉事占吏朱塂几奸女歇寻菇旦熟巴导相哕庄""",6.934,23,1418
M4_03,真羱僚連共扛罂麻鴩吆斡堇在計事衣毒喝,"""真羱僚連共扛罂麻鴩吆斡堇在計事衣毒喝""",6.929,26,1402
M4_04,麻该恤共稼者拱矣辫耕麻四谱衍主蚕重禦笨些高动,"""麻该恤共稼者拱矣辫耕麻四谱衍主蚕重禦笨些高动""",7.295,25,1434
M4_05,蓮若除奇罢譙讓庄召虎拣韵並墨舟代挠外午后天下,"""蓮若除奇罢譙讓庄召虎拣韵並墨舟代挠外午后天下""",7.023,26,1402
M4_06,下彘曙酵奉行主尽麻補事对法双齿鬼体,"""下彘曙酵奉行主尽麻補事对法双齿鬼体""",6.810,21,1386
M4_07,把皇意偭几久牵共科命焉德主支秋文時記呈愈共遤,"""把皇意偭几久牵共科命焉德主支秋文時記呈愈共遤""",3.425,25,707
M4_08,萬哥叁仔凄麻打累囫皮客哥真屯犯没罪重奔旦称,"""萬哥叁仔凄麻打累囫皮客哥真屯犯没罪重奔旦称""",3.360,25,696
M4_09,麾意箕埋涛体寻哮柴宜応先哮咙罘的牢欺,"""麾意箕埋涛体寻哮柴宜応先哮咙罘的牢欺""",3.212,23,685
M4_10,弄吧焚時寻宜没吆歇的率正匹寄德主府訓殉走思皂妻生,"""弄吧焚時寻宜没吆歇的率正匹寄德主府訓殉走思皂妻生""",7.569,28,1466
M4_11,沛風波沉寋歜志遷艩將漂叁潺奴涪其時庄恕鎰几,"""沛風波沉寋歜志遷艩將漂叁潺奴涪其時庄恕鎰几""",3.650,32,696
M4_12,书屯新设厄庇班店翁呈批署句契旦共寻佯浪屯泌共,"""书屯新设厄庇班店翁呈批署句契旦共寻佯浪屯泌共""",3.328,24,696
M4_13,峙補庄朱於蕎兵本道音女如舌翁耒庄翰朱捕尾真論,"""峙補庄朱於蕎兵本道音女如舌翁耒庄翰朱捕尾真論""",3.419,27,718
M4_14,補姇事世間、麻燒的莒四寻厲代旦獻梨色趉天堂,"""補姇事世間、麻燒的莒四寻厲代旦獻梨色趉天堂""",6.990,28,1402
M4_15,磊牢折之归麻翁垩安段干庄朱呌麻寻烊於赊匝,"""磊牢折之归麻翁垩安段干庄朱呌麻寻烊於赊匝""",7.082,26,1418
M4_16,誌导筆歷史呢榛真导邈庸卿每泣竜垣滦几停伎,"""誌导筆歷史呢榛真导邈庸卿每泣竜垣滦几停伎""",8.200,29,1537
M4_17,皇太子明各禁凛退烫仨匮除明時落秘烧不固欺杂尼,"""皇太子明各禁凛退烫仨匮除明時落秘烧不固欺杂尼""",7.698,25,1503
M4_18,得峉沛困染麻翁宋碎么仕笥聤閌朱湃浠困連歇仕油,"""得峉沛困染麻翁宋碎么仕笥聤閌朱湃浠困連歇仕油""",7.238,29,1434
M4_19,哆共生時麻寻拮壳婪哭吹燒鍝唐末吧灵谡命割导累,"""哆共生時麻寻拮壳婪哭吹燒鍝唐末吧灵谡命割导累""",7.454,30,1450
