source_row,image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,stratum,risk_reason,design_weight,item_id,audit_order
64078,silver/yen4_page_0124_c05_101.png,yen4,page_0124,5,許,gian,奸,U+5978,char,SILVER,s2_inter_s3_corrected,0.73,0.153,71.0,94.0,34a14ca6f070,ok,train,yen4|page_0124|c5,"[565, 917, 634, 993]",0.73,True,False,False,False,False,False,False,False,False,False,1.323943661971831,False,False,False,0.0,other,clean,80.46808510638297,4d6f66b39712e077,0
65599,silver/yen4_page_0282_c09_192.png,yen4,page_0282,9,數,khi,欺,U+6B3A,char,SILVER,s2_inter_s3_corrected,0.981,0.184,74.0,99.0,a0205f638086,ok,train,yen4|page_0282|c9,"[214, 884, 286, 965]",0.981,True,False,False,False,False,False,False,False,False,False,1.337837837837838,False,False,False,0.0,other,clean,80.46808510638297,c339a4e0bca5fe45,1
18200,gold/yen2_page_0046_c07_129.png,yen2,page_0046,7,悲,Bây,悲,U+60B2,char,GOLD,s1_inter_s2_direct,,0.238,123.0,148.0,49cf7a0c0006,ok,train,yen2|page_0046|c7,"[532, 563, 638, 683]",,False,False,False,False,False,False,True,False,False,True,1.2032520325203253,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,1c475954beff6240,2
67755,silver/yen11_page_0256_c05_108.png,yen11,page_0256,5,道,nghe,宜,U+5B9C,char,SILVER,s2_inter_s3_corrected,0.667,0.136,101.0,140.0,516daf96f87d,ok,train,yen11|page_0256|c5,"[895, 2173, 998, 2287]",0.667,True,False,False,False,False,False,False,False,False,False,1.386138613861386,False,False,False,0.0,other,clean,80.46808510638297,9ee9d15a2b8d7a43,3
25342,gold/yen2_page_0194_c08_139.png,yen2,page_0194,8,与,dữ,与,U+4E0E,char,GOLD,s1_inter_s2_direct,,0.193,124.0,178.0,ced1c931415c,ok,train,yen2|page_0194|c8,"[340, 1913, 450, 2057]",,False,False,False,False,False,False,True,False,False,True,1.435483870967742,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,4a2b6ffd5b94378a,4
33244,gold/yen4_page_0050_c02_041.png,yen4,page_0050,2,傳,truyện,傳,U+50B3,char,GOLD,s1_inter_s2_direct,,0.154,84.0,88.0,97e0b1e46ff6,ok,train,yen4|page_0050|c2,"[855, 1503, 925, 1575]",,False,False,False,False,False,False,True,False,False,True,1.0476190476190477,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,08334dbce478bed9,5
1973,gold/yen11_page_0070_c09_179.png,yen11,page_0070,9,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.213,98.0,137.0,663df4ff7b4f,ok,train,yen11|page_0070|c9,"[273, 1974, 373, 2085]",,False,True,False,True,False,False,True,False,False,True,1.3979591836734695,False,False,False,0.9,dup_defect,dup-bbox(AE-1),80.46808510638297,5e9f14da6ac07600,6
22951,gold/yen2_page_0140_c07_110.png,yen2,page_0140,7,要,yếu,要,U+8981,char,GOLD,s1_inter_s2_direct,,0.24,125.0,138.0,9adc2da15e3a,ok,val,yen2|page_0140|c7,"[504, 831, 605, 943]",,False,False,False,False,False,False,True,False,False,True,1.104,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,5895d4474eea6b41,7
21662,gold/yen2_page_0116_c04_074.png,yen2,page_0116,4,郎,sang,郎,U+90CE,char,GOLD,s1_inter_s2_direct,,0.193,114.0,158.0,032eb53a57c4,ok,test,yen2|page_0116|c4,"[989, 2288, 1102, 2416]",,False,False,False,False,False,False,True,False,False,True,1.3859649122807018,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,127982bf2101de3d,8
19386,gold/yen2_page_0070_c05_076.png,yen2,page_0070,5,每,môi,每,U+6BCF,char,GOLD,s1_inter_s2_direct,,0.281,104.0,152.0,b1b7d93d9b64,ok,train,yen2|page_0070|c5,"[841, 1505, 948, 1629]",,False,False,False,False,False,False,True,False,False,True,1.4615384615384617,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,510412a4fdb28337,9
59918,gold/yen11_page_0296_c04_054.png,yen11,page_0296,4,昆,con,昆,U+6606,char,GOLD,s1_inter_s2_direct,,0.161,94.0,140.0,05c7556df1ab,ok,train,yen11|page_0296|c4,"[1027, 531, 1133, 645]",,False,False,False,False,False,False,True,False,False,True,1.4893617021276595,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,d85341ae5cebc1eb,10
7241,syllable/yen4_page_0294_c04_071.png,yen4,page_0294,4,定,đem,,,syllable,SYLLABLE,nghia_consensus,0.051,0.169,63.0,96.0,115c4b798d31,ok,val,yen4|page_0294|c4,"[655, 741, 721, 819]",0.051,True,False,False,False,False,False,False,True,True,False,1.5238095238095235,False,False,False,0.6,s3_low,s3=0.05<τ,80.46808510638297,51fa3084e6208f6f,11
13460,gold/yen11_page_0066_c08_168.png,yen11,page_0066,8,曵,một,更,U+66F4,char,GOLD,s1_inter_s2_similar,0.821,0.155,83.0,139.0,d65f2a2ead9f,ok,train,yen11|page_0066|c8,"[400, 2099, 500, 2212]",0.821,True,False,False,False,True,False,False,False,False,False,1.6746987951807228,False,False,False,0.3,similar_bridge,similar-bridge,80.46808510638297,84574392502004f2,12
8373,syllable/yen11_page_0214_c05_087.png,yen11,page_0214,5,之,pha,,,syllable,SYLLABLE,nghia_consensus,0.111,0.161,80.0,142.0,a082a904a911,ok,test,yen11|page_0214|c5,"[843, 698, 945, 814]",0.111,True,False,False,False,False,False,False,True,True,False,1.775,False,False,False,0.6,s3_low,s3=0.11<τ,80.46808510638297,b820bb16418a6dd2,13
67861,silver/yen11_page_0272_c02_022.png,yen11,page_0272,2,翹,lên,連,U+9023,char,SILVER,s2_inter_s3_corrected,0.924,0.264,107.0,101.0,b032f2db4b17,ok,train,yen11|page_0272|c2,"[1383, 458, 1489, 562]",0.924,True,False,False,False,False,False,False,False,False,False,0.9439252336448598,False,False,False,0.0,other,clean,80.46808510638297,07296a1e5c5f26db,14
59709,gold/yen11_page_0292_c04_074.png,yen11,page_0292,4,碎,Tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.176,112.0,155.0,c77975379256,ok,train,yen11|page_0292|c4,"[1053, 1662, 1157, 1787]",,False,False,False,False,False,False,True,False,False,True,1.3839285714285714,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,204e9a98a192e5d8,15
58177,gold/yen11_page_0260_c07_151.png,yen11,page_0260,7,𥓓,bia,𥓓,U+254D3,char,GOLD,s1_inter_s2_direct,,0.187,114.0,134.0,69580f666cd8,ok,train,yen11|page_0260|c7,"[545, 2184, 651, 2299]",,False,False,False,False,False,False,True,False,False,True,1.1754385964912282,False,False,False,0.0999999999999999,gold_direct,gold-direct(no-s3),80.46808510638297,32ac1ea5eee6e30a,16
495,gold/yen4_page_0022_c08_175.png,yen4,page_0022,8,徳,Đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.072,80.0,80.0,87fd74184b8c,ok,train,yen4|page_0022|c8,"[283, 1205, 349, 1275]",,False,True,False,True,False,False,True,False,False,True,1.0,False,True,True,0.915,dup_defect,"dup-bbox(AE-1),ink-outlier",80.46808510638297,6513dd010dbe153b,17
