source_row,item_id,image,orig_verdict,orig_batch,orig_group,cls,design_weight,audit_order,stratum,audit_batch,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox,s3_val,s3_present,dup_bbox,cross_col,dup_defect,similar_bridge,head_bank,gold_direct,s3_low,s3_verylow,s3_signals_present,head_disagree,bank_cos_val,bank_low,s3_missing,aspect,aspect_out,ink_out,quality_flag,suspicion,risk_reason
55,be6105021557ce8c,gold/stt2_page_0310_c01_000.png,wrong_label,audit_gold_human,srs,noncorrect,,0,noncorrect|audit_gold_human,retest,stt2,page_0310,1,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.152,126.0,118.0,ae67d599bd1a,ok,test,stt2|page_0310|c1,"[1459, 491, 1573, 604]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,0.9365079365079365,False,False,False,0.09999999999999998,gold-direct(no-s3)
17,820fcf50ecc714b2,gold/stt4_page_0016_c03_048.png,correct,audit_confusion_奴_nó,control_gold,correct,,1,correct|audit_confusion_奴_nó,retest,stt4,page_0016,3,獄,ngục,獄,U+7344,char,GOLD,s1_inter_s2_direct,,0.181,78.0,91.0,469aa8edb124,ok,train,stt4|page_0016|c3,"[815, 470, 891, 545]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1666666666666667,False,False,False,0.09999999999999998,gold-direct(no-s3)
59,16bb0b6fbac123d8,gold/stt11_page_0080_c06_123.png,correct,audit_gold_human,srs,correct,,2,correct|audit_gold_human,retest,stt11,page_0080,6,湼,nết,湼,U+6E7C,char,GOLD,s1_inter_s2_direct,,0.181,132.0,132.0,c5e88c9c294f,ok,train,stt11|page_0080|c6,"[718, 2215, 826, 2329]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0,False,False,False,0.09999999999999998,gold-direct(no-s3)
10,876cfc9ff97f4455,gold/stt2_page_0236_c02_031.png,wrong_image,audit_confusion_奴_nó,control_gold,noncorrect,,3,noncorrect|audit_confusion_奴_nó,retest,stt2,page_0236,2,碎,tôi,碎,U+788E,char,GOLD,s1_inter_s2_direct,,0.196,107.0,162.0,c03d236cd702,ok,train,stt2|page_0236|c2,"[1272, 1926, 1386, 2066]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.514018691588785,False,False,False,0.09999999999999998,gold-direct(no-s3)
64,6eb0205f2bd7663e,gold/stt11_page_0110_c03_053.png,correct,audit_gold_human,srs,correct,,4,correct|audit_gold_human,retest,stt11,page_0110,3,麻,mà,麻,U+9EBB,char,GOLD,s1_inter_s2_direct,,0.201,112.0,140.0,897a2997e51c,ok,train,stt11|page_0110|c3,"[1146, 1690, 1258, 1816]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.25,False,False,False,0.09999999999999998,gold-direct(no-s3)
18,120ba1d6e9cb51d5,gold/stt11_page_0298_c02_039.png,correct,audit_confusion_奴_nó,class_target,correct,,5,correct|audit_confusion_奴_nó,retest,stt11,page_0298,2,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.201,104.0,135.0,512747b95cb4,ok,train,stt11|page_0298|c2,"[1305, 2125, 1411, 2234]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.2980769230769231,False,False,False,0.09999999999999998,gold-direct(no-s3)
83,cb49d2e5fe15f56f,gold/stt11_page_0128_c02_024.png,wrong_label,audit_gold_human,srs,noncorrect,,6,noncorrect|audit_gold_human,retest,stt11,page_0128,2,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.178,98.0,140.0,49354d880600,ok,train,stt11|page_0128|c2,"[1322, 662, 1426, 777]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.4285714285714286,False,False,False,0.09999999999999998,gold-direct(no-s3)
11,114f9b417aa49f08,gold/stt2_page_0282_c03_045.png,wrong_image,audit_confusion_奴_nó,class_target,noncorrect,,7,noncorrect|audit_confusion_奴_nó,retest,stt2,page_0282,3,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.232,121.0,129.0,17e7bde1f24a,ok,train,stt2|page_0282|c3,"[1129, 826, 1239, 945]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.0661157024793388,False,False,False,0.09999999999999998,gold-direct(no-s3)
102,b8d70d17066d12d9,gold/stt11_page_0070_c03_044.png,wrong_image,audit_gold_human,srs,noncorrect,,8,noncorrect|audit_gold_human,retest,stt11,page_0070,3,魄,hồn,魄,U+9B44,char,GOLD,s1_inter_s2_direct,,0.173,98.0,139.0,dab4e79c6130,ok,train,stt11|page_0070|c3,"[1189, 549, 1296, 666]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.4183673469387754,False,False,False,0.09999999999999998,gold-direct(no-s3)
12,7449f79973c49b34,gold/stt11_page_0262_c02_029.png,wrong_image,audit_confusion_奴_nó,control_gold,noncorrect,,9,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0262,2,些,ta,些,U+4E9B,char,GOLD,s1_inter_s2_direct,,0.232,85.0,114.0,0e4383f3cd4b,ok,test,stt11|page_0262|c2,"[1318, 1349, 1423, 1460]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.3411764705882352,False,False,False,0.09999999999999998,gold-direct(no-s3)
22,9c274d1dfc73a310,gold/stt4_page_0220_c07_142.png,correct,audit_confusion_奴_nó,class_target,correct,,10,correct|audit_confusion_奴_nó,retest,stt4,page_0220,7,奴,nó,奴,U+5974,char,GOLD,s1_inter_s2_direct,,0.139,78.0,95.0,e7bee0f1e31e,ok,train,stt4|page_0220|c7,"[400, 1525, 469, 1606]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.2179487179487178,False,False,False,0.09999999999999998,gold-direct(no-s3)
0,d7dfe9a00d8ef487,gold/stt11_page_0128_c05_094.png,wrong_label,audit_confusion_奴_nó,control_gold,noncorrect,,11,noncorrect|audit_confusion_奴_nó,retest,stt11,page_0128,5,朱,cho,朱,U+6731,char,GOLD,s1_inter_s2_direct,,0.231,95.0,135.0,0c01b202b94f,ok,train,stt11|page_0128|c5,"[861, 1090, 968, 1203]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.4210526315789473,False,False,False,0.09999999999999998,gold-direct(no-s3)
110,e0043de7b982f9e2,gold/stt4_page_0250_c06_113.png,correct,audit_gold_human,active_lowmargin,correct,,12,correct|audit_gold_human,retest,stt4,page_0250,6,各,các,各,U+5404,char,GOLD,s1_inter_s2_direct,,0.113,80.0,88.0,14eff543a5d5,ok,train,stt4|page_0250|c6,"[469, 1171, 535, 1243]",,False,False,False,False,False,False,True,False,False,False,False,,False,True,1.1,False,False,False,0.09999999999999998,gold-direct(no-s3)
