sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M3_0000,等,等,等,等,埋臻股查妓巳中麻打古是欺色殿等連辰法麻,19,20,0.2265,㝵,ok
M3_0001,尋,尋,尋,尋,奉挾几驕傲色庄特旦欺尋近黍言四尋幼連以爾時父樂,23,23,0.1354,㝵,ok
M3_0002,等,等,等,等,蘇德主枝秋於異有等主大等即重刃書改商司共將帶,22,22,0.1329,㝵,ok
M3_0003,冊,冊,冊,冊,務化罪務冬這處庄固果之惡除尋真尾古衣朱冊樂敗,22,22,0.1947,㝵,ok
M3_0004,來,等,來,來,翁聖求施阿固嗟分常而朱是些明常來等些占分,20,20,0.2049,㝵,ok
M3_0005,尋,尋,尋,尋,欽求願建廣鬼体得陰存涅而左壽奴而祈朱尋猶尼,21,20,0.1751,㝵,ok
M3_0006,景,景,景,景,西福朱几修吏因舞景娑眉號羯末麻双加腮債巽算,21,21,0.1409,㝵,ok
M3_0007,景,景,丕,景,常害講坤頃其晉役公年丕景聚諸固醉拜傷畢,19,20,0.183,㝵,ok
M3_0008,康,等,等,康等,康等展矣加捲末旱殿旦魏氏連色即壽是流百福,20,20,0.1617,㝵,ok
M3_0009,尋,尋,尋,尋,支秋庄平德主此吏辰尋空庄席主廚不尋戰死相,20,20,0.134,㝵,ok
M3_0010,命,尋,命,命,曷在都闭徐軍化常真付來命尋連道麻遠而顛团,20,20,0.1477,㝵,ok
M3_0011,尋,尋,尋,尋,形新等依要其丕善先尋罪蕃長正等安年陰阮朱,20,20,0.2114,㝵,ok
M3_0012,等,等,等,等戈,者息而之等戈囚仍凡於帝呌祿與命取祖衆碎共俸祝,22,23,0.2553,㝵,ok
M3_0013,本,尋,本,本,魔鬼本尋群祗因饒功丕等故欽訪朱特尋運白,19,21,0.1207,㝵,ok
M3_0014,尋,尋,尋,尋,帝之時尋筮固受音意戶行尋富處凜生時麻庄,19,19,0.1693,㝵,ok
M3_0015,尋,尋,尋,尋,永未尋時金此多尋經每尼年尋生特默意尋色起遠林歲,23,23,0.1696,㝵,ok
M3_0016,尋,尋,尋,尋,禍積打尋廩尋丑事仇平弄眉履於兀而困灵魂等些,21,21,0.1951,㝵,ok
M3_0017,為,尋,為,為,友燒麻戶得多雲車討左周數從吃為尋禮橋在打眾法還,23,23,0.1485,㝵,ok
M3_0018,,死,,,以饒法退計生制于之葬翁皇死人,14,20,0.1026,㝵,ok
M3_0019,中,中,中,中折,數豈各官豐折中四,8,19,0.0897,㝵,ok
M3_0020,,畢,畢,,搶朱奴要翠双宵昭昆捨化忍対在姜麻歌補畢盛,20,21,0.1914,㝵,ok
M3_0021,等,等,等,等,書吒等罪婉等幸柩御得固能功業朱年特曰,18,18,0.1695,㝵,ok
M3_0022,尋,考,尋,尋,开會尋羅焉殊移義畏進士高理考尋饒冉意為聲,20,21,0.1349,㝵,ok
M3_0023,等,等,等,等,尺醫學戶行等者矜侍周旦在科旦時數爾處陵麗,20,21,0.1606,㝵,ok
M3_0024,尋,尋,尋,尋,尋連琴辰要牢玄特化何君碎潛要去行澤壬闭除固隨,22,22,0.1618,㝵,ok
M3_0025,等,等,等,等,死察事等丞詩庫是些恆林推函特事嫌,16,17,0.3708,㝵,ok
M3_0026,尋,尋,尋,尋,故俸祝捉体教疑罢四尋麻要拖布咳短棱意麻故求多開除,24,24,0.172,㝵,ok
M3_0027,等,等,等,等,梅運而磨法選朱話化仍麻法一罪理等勸等些行道歇,22,22,0.1139,㝵,ok
M3_0028,是,是,是,是,如守征俗時職重奇韋城旦永宜爭邁昏真共蘇嚴於是,22,21,0.1661,㝵,ok
M3_0029,尋,尋,尋,尋,須學朱年柔庄朱侍嚴除連朱包尋於帝志而君,19,19,0.0959,㝵,ok
M3_0030,,等,,,如几安眉旦共得真伯贖命朱鬼碎等連朱奴泊斷也,21,22,0.1446,㝵,ok
M3_0031,等,等,等,等,等要各君後嘗瑪先異廟發宵焉廉餘奉方主丞,19,20,0.1693,㝵,ok
M3_0032,尋,尋,尋,尋,女群祀旦咽庫止尋麻浪魯矣分朱碎思碑守碎之低把,22,23,0.1171,㝵,ok
M3_0033,尋,尋,尋,尋,司至活氏禮而諸曉因覆各司辨夕麗朝天黃尋連那麻向,23,23,0.1546,㝵,ok
M3_0034,膝,尋,膝,膝,壁之鍊膝尋濃樞清翁堵信故為故器思庄佈尋此亮,21,20,0.1236,㝵,ok
M3_0035,皇,批,皇,皇,意於帝而波長蜂公翁皇批晉欺辟歌天下韋樞姚去坦衣,23,21,0.1318,㝵,ok
M3_0036,等,等,等,等,付朱翁其先罷瑪槎模共要得重中云官歌群拖折等時翁,23,23,0.1726,㝵,ok
M3_0037,得,得,得,得,父固爵春取得洋願思禮形昆醫旦如得呌終脫失,20,20,0.1222,㝵,ok
M3_0038,尋,尋,尋,尋,主爾去向法饒選為尋宏傷几庫因几改朱尋及厥捕浪凶,23,23,0.1712,㝵,ok
M3_0039,尼,旱,尼,尼,連拘摔麻贖罪淨旦尼旱搶衣興庶朱仍几扒命斷已,21,21,0.1506,㝵,ok
M3_0040,畢,畢,畢,畢,豈過辭時牢召庫王畢足事人治得於連拘換茲仍商,21,22,0.1771,㝵,ok
M3_0041,是,是,是,是,者婆氏信道是色戈代庄拜南哭庄欺仃運邊尼挂,20,21,0.1387,㝵,ok
M3_0042,得,得,得,得,共官郎重体後景而过飭各景世間壽品累得麻與所,21,21,0.1749,㝵,ok
M3_0043,是,是,是,是,同燒是眾署木菩凜尊莊欣每四麻庄人形像李如希,21,21,0.1454,㝵,ok
M3_0044,尋,尋,尋,尋,馬道王尋召曉事庫鏈歌吏屈如麻灵魂斷哲遲吞,20,20,0.1195,㝵,ok
M3_0045,正,得,正,正,其忌折女應餘言代而困得葬傳麻得正補事信壽特福,22,22,0.1531,㝵,ok
M3_0046,尋,尋,尋,尋,今安賊丕尋時尋麻代等忌醉反押平為尋年閱事許重,22,22,0.1649,㝵,ok
M3_0047,尋,尋,尋,尋,生渚多尋女保開饒調麻更嘗尋意連街麻看致格無,21,21,0.1061,㝵,ok
M3_0048,尋,尋,尋,尋,特徵廟麻矣群彝章碑有死罡尋要討左府事庫,19,19,0.1448,㝵,ok
M3_0049,握,景,握,握,薩庫麻握景玉認色妻中城衣孤仍几餘奉天主至壽,21,21,0.1511,㝵,ok
M3_0050,等,等,等,等,初君而朱魄蘧与兵烟而丕等斗双醫民詩信麻忌,20,19,0.1411,㝵,ok
M3_0051,得,得,得,得,尾麻吟事分主至旦文店歡舞願体曉得至丑主各至罡,22,22,0.159,㝵,ok
M3_0052,尋,尋,尋,尋,何在稔尋色帝及離体已得然襖皓臺尼夜意非秀尋連誰,23,23,0.1728,㝵,ok
M3_0053,尋,尋,尋,尋,堯事福德恪者衡主奉把功連奉及爾尋南初是些福,21,22,0.1714,㝵,ok
M3_0054,尋,尋,尋,尋,徵因几結在欺真事之用呼庄朱如文善意尋因用放拙鴈,23,23,0.1359,㝵,ok
M3_0055,等,等,等,等,連陣德付昇朱官依罰官神麻夫等應政雷異從,19,20,0.1326,㝵,ok
M3_0056,晉,晉,晉,晉,逐晉遠幾群侍事之文麻景辰禪辟于聽補象而之鬼,21,21,0.151,㝵,ok
M3_0057,尋,尋,尋,尋,可如要養以尋奔省架其然命欺弄可禮眉那体架,20,20,0.1357,㝵,ok
M3_0058,等,等,等,等,等庫中安茹命欺奴妥壽等連故盤姿斷毒尋沿真,20,20,0.1634,㝵,ok
M3_0059,尋,尋,尋,尋,實凜改尋內共翁皇意辰呈榮尋些辰苦公消命過理,21,21,0.1809,㝵,ok
M3_0060,尋,尋,尋,尋,嫁遇生沛尋些固智伸唐几傳道在壽葉庄朱是,19,19,0.124,㝵,ok
