image,tier,book,page,assigned,syllable,head_alt,p_assigned,p_alt
gold/yen2_page_0014_c09_182.png,GOLD,yen2,page_0014,邛,cùng,共,0.0,1.0
gold/yen2_page_0014_c09_183.png,GOLD,yen2,page_0014,真,xin,嗔,0.0,1.0
silver/yen2_page_0016_c01_003.png,SILVER,yen2,page_0016,段,Đoạn,改,0.025,0.955
gold/yen2_page_0016_c01_004.png,GOLD,yen2,page_0016,者,giã,几,0.014,0.718
silver/yen2_page_0016_c01_008.png,SILVER,yen2,page_0016,㐌,đã,塊,0.0,0.981
gold/yen2_page_0016_c01_010.png,GOLD,yen2,page_0016,朔,sóc,罢,0.0,0.998
gold/yen2_page_0018_c04_072.png,GOLD,yen2,page_0018,銀,ngăn,垠,0.003,0.865
gold/yen2_page_0018_c04_074.png,GOLD,yen2,page_0018,㔻,Vậy,丕,0.0,0.999
gold/yen2_page_0018_c07_148.png,GOLD,yen2,page_0018,秋,su,支,0.004,0.517
gold/yen2_page_0018_c07_149.png,GOLD,yen2,page_0018,自,Từ,秋,0.023,0.973
gold/yen2_page_0020_c05_090.png,GOLD,yen2,page_0020,呐,nói,内,0.0,1.0
silver/yen2_page_0020_c05_091.png,SILVER,yen2,page_0020,丕,vậy,娄,0.048,0.665
gold/yen2_page_0026_c02_032.png,GOLD,yen2,page_0026,先,tên,体,0.0,1.0
gold/yen2_page_0026_c02_035.png,GOLD,yen2,page_0026,支,Giê,主,0.0,1.0
gold/yen2_page_0026_c02_038.png,GOLD,yen2,page_0026,黄,vàng,共,0.001,0.834
gold/yen2_page_0026_c02_039.png,GOLD,yen2,page_0026,如,như,黄,0.001,0.636
gold/yen2_page_0026_c02_040.png,GOLD,yen2,page_0026,印,in,如,0.0,0.505
gold/yen2_page_0030_c07_153.png,GOLD,yen2,page_0030,徐,giờ,除,0.0,1.0
silver/yen2_page_0030_c07_154.png,SILVER,yen2,page_0030,翁,ông,垩,0.134,0.818
silver/yen2_page_0032_c08_152.png,SILVER,yen2,page_0032,伂,phải,沛,0.029,0.96
silver/yen2_page_0032_c08_153.png,SILVER,yen2,page_0032,嬈,nhiều,僥,0.019,0.977
gold/yen2_page_0032_c08_157.png,GOLD,yen2,page_0032,昆,con,㝵,0.001,0.962
gold/yen2_page_0032_c08_158.png,GOLD,yen2,page_0032,官,quan,昆,0.0,1.0
gold/yen2_page_0032_c08_159.png,GOLD,yen2,page_0032,衣,ấy,官,0.0,1.0
gold/yen2_page_0032_c08_167.png,GOLD,yen2,page_0032,拉,lấp,位,0.006,0.639
gold/yen2_page_0034_c07_127.png,GOLD,yen2,page_0034,如,nhà,茹,0.011,0.988
gold/yen2_page_0034_c07_132.png,GOLD,yen2,page_0034,徐,giờ,除,0.001,0.999
gold/yen2_page_0034_c07_139.png,GOLD,yen2,page_0034,率,thoát,之,0.004,0.827
gold/yen2_page_0036_c04_072.png,GOLD,yen2,page_0036,翁,ông,尼,0.0,0.963
gold/yen2_page_0036_c07_112.png,GOLD,yen2,page_0036,涅,nết,𣵀,0.04,0.96
gold/yen2_page_0036_c07_113.png,GOLD,yen2,page_0036,其,cùng,共,0.0,1.0
gold/yen2_page_0036_c07_115.png,GOLD,yen2,page_0036,蜍,thờ,除,0.0,1.0
silver/yen2_page_0036_c07_118.png,SILVER,yen2,page_0036,𡗶,Trời,主,0.0,1.0
gold/yen2_page_0036_c07_121.png,GOLD,yen2,page_0036,坦,đất,寺,0.0,0.998
gold/yen2_page_0038_c02_035.png,GOLD,yen2,page_0038,筭,toan,弄,0.056,0.889
gold/yen2_page_0042_c01_000.png,GOLD,yen2,page_0042,咀,thở,嗔,0.02,0.688
gold/yen2_page_0042_c05_095.png,GOLD,yen2,page_0042,㤙,ơn,恩,0.05,0.942
gold/yen2_page_0044_c04_067.png,GOLD,yen2,page_0044,徐,giờ,除,0.0,1.0
gold/yen2_page_0046_c04_077.png,GOLD,yen2,page_0046,昆,con,悶,0.0,0.997
