syllable,label,unicode,population,audit_n,audit_wrong,audit_rate,exp_wrong,ocr_chars,dict_ok,tiers
người,㝵,U+3775,1967,23,8,0.348,684.2,㝵/䒭/与/丹/冐,True,GOLD/SILVER
liên,連,U+9023,147,3,2,0.667,98.0,平/庫/建/肆/逢,True,GOLD/SILVER
phúc,福,U+798F,157,2,1,0.5,78.5,傷/儒/婦/梅/福,True,GOLD/SILVER
con,晜,U+665C,73,1,1,1.0,73.0,冕/宛/寇/寬/崑,True,GOLD/SILVER
mà,麻,U+9EBB,1833,30,1,0.033,61.1,來/冉/再/准/勝,True,GOLD/SILVER
ô,烏,U+70CF,117,2,1,0.5,58.5,与/多/得/烏/焉,True,GOLD/SILVER
cùng,共,U+5171,754,15,1,0.067,50.3,丑/共/去/壬/委,True,GOLD/SILVER
viết,曰,U+66F0,149,3,1,0.333,49.7,口/四/心/曰/舀,True,GOLD/SILVER
linh,灵,U+7075,159,4,1,0.25,39.8,㕛/吴/夷/昊/浸,True,GOLD/SILVER
thứ,次,U+6B21,38,1,1,1.0,38.0,久/乆/吹/咨/文,True,GOLD/SILVER
học,斈,U+6588,33,1,1,1.0,33.0,斈/李,True,GOLD/SILVER
tử,死,U+6B7B,63,2,1,0.5,31.5,死,True,GOLD
mày,眉,U+7709,132,5,1,0.2,26.4,爾/省/眉/蜀/負,True,GOLD/SILVER
vàng,黄,U+9EC4,34,3,1,0.333,11.3,蕭/輩/黄,True,GOLD/SILVER
xác,殼,U+6BBC,6,1,1,1.0,6.0,殼,True,GOLD
lao,牢,U+7262,2,1,1,1.0,2.0,牢,True,GOLD
đời,代,U+4EE3,195,0,0,,,䍐/之/代/伏/伐,True,GOLD/SILVER
mới,買,U+8CB7,183,0,0,,,㝵/㸔/媚/百/眉,True,GOLD/SILVER
còn,群,U+7FA4,173,0,0,,,再/卑/咩/岸/拜,True,GOLD/SILVER
nơi,尼,U+5C3C,166,0,0,,,位/兌/危/只/召,True,GOLD/SILVER
và,喡,U+55A1,154,0,0,,,偉/哮/嗜/嘑/嘗,True,GOLD/SILVER
năm,南,U+5357,148,0,0,,,南/嶺/廟/有/爾,True,GOLD/SILVER
thờ,蜍,U+870D,147,0,0,,,姝/榦/臻/舞/蛛,True,GOLD/SILVER
bà,把,U+628A,133,0,0,,,地/妃/把/旭/舥,True,GOLD/SILVER
nước,渃,U+6E03,125,0,0,,,㴱/侯/医/厉/厨,True,GOLD/SILVER
là,罗,U+7F57,112,0,0,,,䍐/兴/冊/寽/景,True,GOLD/SILVER
hồn,魂,U+9B42,110,0,0,,,媿/思/恕/惣/慇,True,GOLD/SILVER
giữ,佇,U+4F47,104,0,0,,,仔/仲/件/佇/俘,True,GOLD/SILVER
làm,乄,U+4E44,104,0,0,,,不/与/丘/为/以,True,GOLD/SILVER
ai,埃,U+57C3,103,0,0,,,侯/坂/垝/埂/埃,True,GOLD/SILVER
mừng,明,U+660E,102,0,0,,,咱/因/困/明/朗,True,GOLD/SILVER
nhiều,嬈,U+5B08,102,0,0,,,僥/冼/凴/慧/撓,True,GOLD/SILVER
lần,吝,U+541D,99,0,0,,,冬/卷/合/吝/吞,True,GOLD/SILVER
một,蔑,U+8511,92,0,0,,,䘮/兾/厚/夢/戔,True,GOLD/SILVER
sau,娄,U+5A04,90,0,0,,,妻/委/姜/娄/斈,True,GOLD/SILVER
tao,蚤,U+86A4,89,0,0,,,兹/奎/耋/蚕/蚤,True,GOLD/SILVER
bốn,本,U+672C,88,0,0,,,举/器/寨/本/果,True,GOLD/SILVER
sáng,創,U+5275,83,0,0,,,剣/創/劍,True,GOLD/SILVER
cũng,拱,U+62F1,82,0,0,,,我/批/找/拱/按,True,GOLD/SILVER
khốn,困,U+56F0,81,0,0,,,因/困/用,True,GOLD/SILVER
sao,牢,U+7262,81,0,0,,,串/夲/宇/庫/斥,True,GOLD/SILVER
a,阿,U+963F,80,0,0,,,何/傾/冈/囚/愆,True,GOLD/SILVER
thật,實,U+5BE6,80,0,0,,,厭/嗜/宵/實/腐,True,GOLD/SILVER
nào,市,U+5E02,79,0,0,,,事/吊/屰/帀/市,True,GOLD/SILVER
tìm,尋,U+5C0B,79,0,0,,,乎/号/喜/尋/斗,True,GOLD/SILVER
lễ,礼,U+793C,78,0,0,,,礼/祧/花/𭂫,True,GOLD/SILVER
phải,伂,U+4F02,77,0,0,,,乕/伂/布/师/師,True,GOLD/SILVER
kính,敬,U+656C,76,0,0,,,攷/放/政/故/效,True,GOLD/SILVER
tiếng,省,U+7701,76,0,0,,,㸔/哨/嗜/嘴/宿,True,GOLD/SILVER
cũng,共,U+5171,72,0,0,,,丑/共/兵/其/壬,True,GOLD/SILVER
bấy,閉,U+9589,71,0,0,,,朝/閉/開/閒/閱,True,GOLD/SILVER
tha,赦,U+8D66,71,0,0,,,故/敎/救/敖/教,True,GOLD/SILVER
cả,奇,U+5947,68,0,0,,,可/奇/寄/恐/百,True,GOLD/SILVER
dữ,与,U+4E0E,68,0,0,,,与/尚/烏,True,GOLD/SILVER
khiến,遣,U+9063,66,0,0,,,僂/廣/玄/糞/農,True,GOLD/SILVER
bảo,保,U+4FDD,65,0,0,,,保/條,True,GOLD/SILVER
chẳng,庒,U+5E92,65,0,0,,,主/君/庒/生,True,GOLD/SILVER
yêu,腰,U+8170,65,0,0,,,媵/睡/胳/腰/賜,True,GOLD/SILVER
cầm,扲,U+6272,64,0,0,,,半/扑/扮/扲/扵,True,GOLD/SILVER
sức,飭,U+98ED,63,0,0,,,飭/餂,True,GOLD/SILVER
đêm,店,U+5E97,63,0,0,,,告/唐/左/庅/底,True,GOLD/SILVER
dái,曳,U+66F3,62,0,0,,,喫/我/或/曳/毀,True,GOLD/SILVER
đoạn,段,U+6BB5,62,0,0,,,匠/受/叚/張/悶,True,GOLD/SILVER
bấy,闭,U+95ED,61,0,0,,,内/冏/同/周/商,True,GOLD/SILVER
cô,姑,U+59D1,60,0,0,,,兹/古/城/妨/姑,True,GOLD/SILVER
phần,分,U+5206,60,0,0,,,㕣/分/劣/防,True,GOLD/SILVER
một,更,U+66F4,59,0,0,,,兾/受/弟/彧/戔,True,GOLD/SILVER
trăm,林,U+6797,59,0,0,,,㘴/举/吞/喜/奡,True,GOLD/SILVER
chữa,𦔳,U+26533,58,0,0,,,勁/勔/即/取/朝,True,GOLD/SILVER
giảng,講,U+8B1B,58,0,0,,,協/描/攝/朅/滋,True,GOLD/SILVER
li,离,U+79BB,58,0,0,,,内/商/啻/嚼/壽,True,GOLD/SILVER
nhưng,仍,U+4ECD,58,0,0,,,仍/傾,True,GOLD/SILVER
vui,盃,U+76C3,58,0,0,,,到/劉/圖/孟/弱,True,GOLD/SILVER
kêu,呌,U+544C,57,0,0,,,呌/呼/紏,True,GOLD/SILVER
ngoài,外,U+5916,57,0,0,,,外/蚓,True,GOLD/SILVER
ghét,結,U+7D50,56,0,0,,,䏻/兹/弦/法/然,True,GOLD/SILVER
