sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M3_0000,,"""""",1.077,1,388
M3_0001,"Wait, the character in question is ""侄"". It's","""Wait, the character in question is \""侄\"". It's""",0.789,12,188
M3_0002,,"""""",0.691,1,276
M3_0003,,"""""",1.238,1,404
M3_0004,,"""""",1.146,1,386
M3_0005,,"""""",0.830,1,298
M3_0006,,"""""",1.129,1,386
M3_0007,,"""""",0.860,1,320
M3_0008,,"""""",1.004,1,368
M3_0009,,"""""",1.179,1,388
M3_0010,,"""""",1.115,1,386
M3_0011,,"""""",1.299,1,420
M3_0012,,"""""",0.871,1,324
M3_0013,"Wait, the character in question is ""侄"". The","""Wait, the character in question is \""侄\"".\nThe""",0.924,12,224
M3_0014,,"""""",0.651,1,246
M3_0015,"Wait, the character in question is ""侄"". It's","""Wait, the character in question is \""侄\"". It's""",0.773,12,188
M3_0016,,"""""",1.055,1,371
M3_0017,,"""""",0.614,1,236
M3_0018,"Wait, the character in question is ""侄"". It's","""Wait, the character in question is \""侄\"". It's""",0.849,12,204
M3_0019,,"""""",0.785,1,306
M3_0020,,"""""",1.220,1,404
M3_0021,,"""""",0.964,1,371
M3_0022,,"""""",0.618,1,237
M3_0023,,"""""",1.061,1,368
M3_0024,,"""""",1.027,1,356
M3_0025,,"""""",1.382,1,456
M3_0026,,"""""",0.607,1,215
M3_0027,,"""""",0.958,1,337
M3_0028,,"""""",0.955,1,340
M3_0029,,"""""",0.851,1,312
M3_0030,,"""""",1.058,1,371
M3_0031,,"""""",1.144,1,388
M3_0032,,"""""",0.580,1,226
M3_0033,,"""""",1.007,1,337
M3_0034,"Wait, the character in question is ""侄"". It's","""Wait, the character in question is \""侄\"". It's""",0.870,12,226
M3_0035,,"""""",0.525,1,206
M3_0036,,"""""",0.603,1,226
M3_0037,,"""""",1.232,1,439
M3_0038,,"""""",0.606,1,236
M3_0039,,"""""",0.973,1,332
M3_0040,,"""""",1.030,1,354
M3_0041,,"""""",1.040,1,368
M3_0042,,"""""",1.008,1,337
M3_0043,,"""""",0.959,1,356
M3_0044,,"""""",1.199,1,404
M3_0045,,"""""",1.015,1,372
M3_0046,,"""""",0.973,1,340
M3_0047,,"""""",0.496,1,212
M3_0048,,"""""",0.681,1,259
M3_0049,,"""""",1.212,1,404
M3_0050,,"""""",0.998,1,350
M3_0051,,"""""",1.092,1,388
M3_0052,,"""""",0.549,1,204
M3_0053,,"""""",1.004,1,354
M3_0054,,"""""",0.553,1,236
M3_0055,,"""""",1.308,1,422
M3_0056,,"""""",1.063,1,388
M3_0057,,"""""",1.124,1,372
M3_0058,,"""""",0.932,1,356
M3_0059,"Wait, the character in question is ""侄"". It's","""Wait, the character in question is \""侄\"". It's""",0.859,12,212
M3_0060,,"""""",1.300,1,436
M3_0061,,"""""",1.292,1,420
M3_0062,,"""""",1.071,1,388
M3_0063,,"""""",1.449,1,458
M3_0064,,"""""",1.349,1,431
M3_0065,,"""""",1.103,1,386
M3_0066,,"""""",1.243,1,436
M3_0067,,"""""",0.504,1,196
M3_0068,,"""""",1.272,1,420
M3_0069,,"""""",0.925,1,356
M3_0070,"Wait, the character in the image is ""仄"".","""Wait, the character in the image is \""仄\"".\n""",0.988,12,248
M3_0071,,"""""",0.905,1,340
M3_0072,,"""""",1.214,1,404
M3_0073,,"""""",0.945,1,356
M3_0074,,"""""",0.999,1,340
M3_0075,,"""""",1.019,1,371
M3_0076,,"""""",1.391,1,458
M3_0077,,"""""",1.085,1,368
M3_0078,,"""""",1.163,1,404
M3_0079,,"""""",1.250,1,420
M3_0080,,"""""",0.676,1,266
M3_0081,,"""""",1.055,1,371
M3_0082,,"""""",1.108,1,404
M3_0083,,"""""",1.282,1,420
M3_0084,,"""""",0.951,1,337
M3_0085,,"""""",1.200,1,401
M3_0086,,"""""",1.137,1,404
M3_0087,,"""""",1.274,1,405
M3_0088,,"""""",0.995,1,372
M3_0089,,"""""",1.047,1,354
M3_0090,,"""""",1.187,1,420
M3_0091,,"""""",1.056,1,386
M3_0092,,"""""",1.275,1,436
M3_0093,,"""""",0.930,1,337
M3_0094,,"""""",0.676,1,248
M3_0095,,"""""",1.030,1,368
M3_0096,答：儑,"""答：儑""",0.729,5,237
M3_0097,,"""""",0.994,1,340
M3_0098,,"""""",0.896,1,337
M3_0099,,"""""",1.036,1,356
M3_0100,,"""""",1.060,1,386
M3_0101,,"""""",1.294,1,436
M3_0102,,"""""",1.560,1,496
M3_0103,,"""""",1.053,1,386
M3_0104,,"""""",1.238,1,405
M3_0105,,"""""",1.114,1,388
M3_0106,,"""""",1.233,1,404
M3_0107,,"""""",1.096,1,388
M3_0108,,"""""",1.348,1,446
