image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox
gold/stt2_page_0012_c01_000.png,stt2,page_0012,1,二,nhị,二,U+4E8C,char,GOLD,s1_inter_s2_direct,,0.08,126.0,125.0,826ba38fbe29,ok,train,stt2|page_0012|c1,"[1430, 578, 1532, 685]"
gold/stt2_page_0012_c01_001.png,stt2,page_0012,1,月,nguyệt,月,U+6708,char,GOLD,s1_inter_s2_direct,,0.209,65.0,192.0,0778c46c22ce,tall,train,stt2|page_0012|c1,"[1455, 698, 1508, 859]"
,stt2,page_0012,1,六,bát,,,,REVIEW,below_visual_threshold,0.074,,,,,,train,stt2|page_0012|c1,"[1430, 910, 1530, 1013]"
,stt2,page_0012,1,曰,nhật,,,,REVIEW,diverged_column,,,,,,,train,stt2|page_0012|c1,"[1430, 996, 1529, 1094]"
silver/stt2_page_0012_c02_004.png,stt2,page_0012,2,祓,nhát,拮,U+62EE,char,SILVER,s3_head_bank_consensus,0.026,0.265,128.0,129.0,17de57bb2174,ok,train,stt2|page_0012|c2,"[1287, 469, 1391, 576]"
gold/stt2_page_0012_c02_005.png,stt2,page_0012,2,日,nhật,日,U+65E5,char,GOLD,s1_inter_s2_direct,,0.174,128.0,140.0,34dcdc73f8ec,ok,train,stt2|page_0012|c2,"[1287, 556, 1391, 673]"
gold/stt2_page_0012_c02_006.png,stt2,page_0012,2,翁,ong,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.167,128.0,140.0,c2d1c1377893,ok,train,stt2|page_0012|c2,"[1287, 750, 1391, 867]"
,stt2,page_0012,2,依,thánh,,,,REVIEW,below_visual_threshold,0.049,,,,,,train,stt2|page_0012|c2,"[1287, 944, 1391, 1061]"
silver/stt2_page_0012_c02_008.png,stt2,page_0012,2,那,ina,那,U+90A3,char,SILVER,s1_inter_s3_out_of_dict,0.251,0.198,127.0,140.0,251a9c1026fe,ok,train,stt2|page_0012|c2,"[1287, 1042, 1391, 1158]"
gold/stt2_page_0012_c02_009.png,stt2,page_0012,2,樞,xu,樞,U+6A1E,char,GOLD,s1_inter_s2_direct,,0.208,117.0,145.0,4a7d5ba1e120,ok,train,stt2|page_0012|c2,"[1287, 1139, 1391, 1256]"
gold/stt2_page_0012_c02_010.png,stt2,page_0012,2,曰,viết,曰,U+66F0,char,GOLD,s1_inter_s2_direct,,0.155,128.0,140.0,e80c4398d375,ok,train,stt2|page_0012|c2,"[1287, 1236, 1391, 1353]"
syllable/stt2_page_0012_c02_011.png,stt2,page_0012,2,無,vồ,,,syllable,SYLLABLE,nghia_consensus,0.026,0.201,128.0,145.0,80cd9e6e0dca,ok,train,stt2|page_0012|c2,"[1287, 1333, 1391, 1450]"
gold/stt2_page_0012_c02_012.png,stt2,page_0012,2,死,tử,死,U+6B7B,char,GOLD,s1_inter_s2_direct,,0.164,127.0,144.0,938cf31bf804,ok,train,stt2|page_0012|c2,"[1287, 1430, 1391, 1547]"
