sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR,A1_fired,A1_prop,A2_fired,A2_prop,A3_fired,A3_prop,A4_fired,A4_prop,A5_fired,A5_prop,A1v_fired,A1v_prop,A2v_fired,A2v_prop,A4v_fired,A4v_prop,B1_fired,B1_prop,B2_fired,B2_prop,B3_fired,B3_prop,B4_fired,B4_prop,B5_fired,B5_prop,B6_fired,B6_prop,C1_fired,C1_prop,C2_fired,C2_prop,C3_fired,C3_prop,C4_fired,C4_prop,C5_fired,C5_prop,C6_fired,C6_prop,D1_fired,D1_prop,D2_fired,D2_prop,D3_fired,D3_prop
M2_0000,stt2,page_0310,9,SILVER,s2_inter_s3_corrected,妄,một,没,37,晟,晟,晟,爱,sub,幕,舞,嘉,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0001,stt2,page_0018,5,SILVER,s2_inter_s3_corrected,隘,muốn,悶,14,,,,閱,sub,商,商,閻,峨,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,True,,False,,False,,False,,False,,False,
M2_0002,stt2,page_0292,4,SYLLABLE,nghia_consensus,犯,đã,,16,架,架,架,也,sub,余,朵,余,峨,False,False,,False,,False,,False,,False,,False,,False,,False,,True,也,True,也,False,,True,也,False,,True,也,True,,True,,True,,True,,False,,True,,True,也,True,也,False,
M2_0003,stt2,page_0234,5,SILVER,s2_inter_s3_corrected,杢,lai,吏,45,吏,吏,吏助,吏,sub,查,张,幼,,False,True,吏,True,吏,True,吏,False,,False,,True,吏,True,吏,False,,True,吏,True,吏,True,吏,True,吏,True,吏,True,吏,True,,True,,True,,True,,True,,True,,True,吏,True,吏,True,吏
M2_0004,stt2,page_0294,2,SILVER,s2_inter_s3_corrected,事,âu,謳,55,輩,輩,輩,諈,sub,施,通,誼,匝,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0005,stt2,page_0254,2,SYLLABLE,nghia_consensus,可,làm,,17,百,臻,臻,百,sub,,除,辉,,False,True,百,False,,True,百,False,,False,,True,百,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,True,,False,,False,,False,,False,
M2_0006,stt2,page_0116,8,SYLLABLE,nghia_consensus,而,làm,,17,而,而,而,而,eq,,,命,兵,False,True,而,False,,True,而,True,而,True,而,True,而,False,,True,而,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
M2_0007,stt2,page_0298,7,SYLLABLE,nghia_consensus_tu_silver,守,cả,,11,晉,晉,晉,哥,sub,,,,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
M2_0008,stt2,page_0188,6,SILVER,s2_inter_s3_corrected,壽,toan,筭,23,等,等,等,,del,籌,等,等,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,False,,False,,True,,False,,False,,False,,False,,False,
M2_0009,stt2,page_0288,9,SILVER,s2_inter_s3_corrected,仰,dạy,代,14,連,連,連,作,sub,逆,花,是,,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,,True,,True,,True,,False,,False,,False,,False,,False,
