image,book,page,column,ocr_char,syllable,label,unicode,label_level,tier,rule,s3_cosine,ink_pct,crop_w,crop_h,image_md5,seg_flag,split,split_group,bbox
gold/yen2_page_0012_c01_000.png,yen2,page_0012,1,二,nhị,二,U+4E8C,char,GOLD,s1_inter_s2_direct,,0.084,126,131,6fb2ee42264c,ok,train,yen2|page_0012|c1,"[1430, 578, 1532, 685]"
gold/yen2_page_0012_c01_001.png,yen2,page_0012,1,月,nguyệt,月,U+6708,char,GOLD,s1_inter_s2_direct,,0.127,124,129,bb804411ecb7,ok,train,yen2|page_0012|c1,"[1431, 739, 1531, 844]"
,yen2,page_0012,1,六,bát,,,,REVIEW,below_visual_threshold,0.076,,,,,,train,yen2|page_0012|c1,"[1430, 910, 1530, 1013]"
,yen2,page_0012,1,曰,nhật,,,,REVIEW,diverged_column,,,,,,,train,yen2|page_0012|c1,"[1430, 996, 1529, 1094]"
silver/yen2_page_0012_c02_004.png,yen2,page_0012,2,祓,nhát,拮,U+62EE,char,SILVER,s3_head_bank_consensus,0.026,0.28,128,131,1dccfd59af26,ok,train,yen2|page_0012|c2,"[1287, 469, 1391, 576]"
gold/yen2_page_0012_c02_005.png,yen2,page_0012,2,日,nhật,日,U+65E5,char,GOLD,s1_inter_s2_direct,,0.186,128,145,2319d2d0eb7d,ok,train,yen2|page_0012|c2,"[1287, 556, 1391, 673]"
gold/yen2_page_0012_c02_006.png,yen2,page_0012,2,翁,ong,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.18,128,145,bc647f98ec76,ok,train,yen2|page_0012|c2,"[1287, 750, 1391, 867]"
,yen2,page_0012,2,依,thánh,,,,REVIEW,below_visual_threshold,0.09,,,,,,train,yen2|page_0012|c2,"[1287, 944, 1391, 1061]"
,yen2,page_0012,2,那,ina,,,,REVIEW,below_visual_threshold,0.251,,,,,,train,yen2|page_0012|c2,"[1287, 1042, 1391, 1158]"
gold/yen2_page_0012_c02_009.png,yen2,page_0012,2,樞,xu,樞,U+6A1E,char,GOLD,s1_inter_s2_direct,,0.212,117,145,b2d273afc651,ok,train,yen2|page_0012|c2,"[1287, 1139, 1391, 1256]"
gold/yen2_page_0012_c02_010.png,yen2,page_0012,2,曰,viết,曰,U+66F0,char,GOLD,s1_inter_s2_direct,,0.175,128,145,38c57e536dff,ok,train,yen2|page_0012|c2,"[1287, 1236, 1391, 1353]"
syllable/yen2_page_0012_c02_011.png,yen2,page_0012,2,無,vồ,,,syllable,SYLLABLE,nghia_consensus,0.026,0.211,128,145,c18db7676cac,ok,train,yen2|page_0012|c2,"[1287, 1333, 1391, 1450]"
gold/yen2_page_0012_c02_012.png,yen2,page_0012,2,死,tử,死,U+6B7B,char,GOLD,s1_inter_s2_direct,,0.19,128,145,d97236e785fd,ok,train,yen2|page_0012|c2,"[1287, 1430, 1391, 1547]"
,yen2,page_0012,2,乕,vì,,,,REVIEW,below_visual_threshold,0.171,,,,,,train,yen2|page_0012|c2,"[1287, 1527, 1391, 1644]"
gold/yen2_page_0012_c02_014.png,yen2,page_0012,2,道,đao,道,U+9053,char,GOLD,s1_inter_s2_direct,,0.189,128,145,73068f82c417,ok,train,yen2|page_0012|c2,"[1287, 1624, 1391, 1741]"
silver/yen2_page_0012_c02_015.png,yen2,page_0012,2,傳,truyen,傳,U+50B3,char,SILVER,s1_inter_s3_out_of_dict,0.935,0.19,128,130,5077df8990d3,ok,train,yen2|page_0012|c2,"[1287, 1722, 1391, 1828]"
gold/yen2_page_0012_c03_016.png,yen2,page_0012,3,翁,ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.245,121,119,3970c4c4f1e0,ok,test,yen2|page_0012|c3,"[1122, 463, 1221, 560]"
,yen2,page_0012,3,圭,thánh,,,,REVIEW,below_visual_threshold,0.266,,,,,,test,yen2|page_0012|c3,"[1111, 551, 1243, 661]"
,yen2,page_0012,3,君,này,,,,REVIEW,below_visual_threshold,0.056,,,,,,test,yen2|page_0012|c3,"[1111, 643, 1243, 753]"
syllable/yen2_page_0012_c03_019.png,yen2,page_0012,3,要,là,,,syllable,SYLLABLE,nghia_consensus,0.087,0.198,162,136,d95955bfcb1e,ok,test,yen2|page_0012|c3,"[1111, 735, 1243, 845]"
,yen2,page_0012,3,兹,đầy,,,,REVIEW,below_visual_threshold,0.159,,,,,,test,yen2|page_0012|c3,"[1111, 827, 1243, 936]"
gold/yen2_page_0012_c03_021.png,yen2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.132,162,136,6eea2b263c4a,ok,test,yen2|page_0012|c3,"[1111, 918, 1243, 1028]"
gold/yen2_page_0012_c03_022.png,yen2,page_0012,3,翁,ông,翁,U+7FC1,char,GOLD,s1_inter_s2_direct,,0.18,162,136,1c636bfef1fe,ok,test,yen2|page_0012|c3,"[1111, 1010, 1243, 1120]"
gold/yen2_page_0012_c03_023.png,yen2,page_0012,3,垩,thánh,垩,U+57A9,char,GOLD,s1_inter_s2_direct,,0.177,162,136,09a92f3a36a6,ok,test,yen2|page_0012|c3,"[1111, 1102, 1243, 1212]"
,yen2,page_0012,3,樞,giu,,,,REVIEW,below_visual_threshold,0.211,,,,,,test,yen2|page_0012|c3,"[1125, 1234, 1239, 1345]"
,yen2,page_0012,3,幹,ong,,,,REVIEW,below_visual_threshold,0.06,,,,,,test,yen2|page_0012|c3,"[1123, 1329, 1239, 1438]"
syllable/yen2_page_0012_c03_026.png,yen2,page_0012,3,梁,là,,,syllable,SYLLABLE,nghia_consensus,0.067,0.166,131,135,00a65934177e,ok,test,yen2|page_0012|c3,"[1125, 1405, 1239, 1514]"
silver/yen2_page_0012_c03_027.png,yen2,page_0012,3,兹,đầy,苔,U+82D4,char,SILVER,s2_inter_s3_corrected,0.553,0.166,132,131,42e8bf4e18f9,ok,test,yen2|page_0012|c3,"[1115, 1488, 1232, 1598]"
gold/yen2_page_0012_c03_028.png,yen2,page_0012,3,四,tớ,四,U+56DB,char,GOLD,s1_inter_s2_direct,,0.151,134,138,c7efeb832798,ok,test,yen2|page_0012|c3,"[1117, 1563, 1230, 1675]"
gold/yen2_page_0012_c03_029.png,yen2,page_0012,3,奇,cả,奇,U+5947,char,GOLD,s1_inter_s2_direct,,0.17,125,139,ab7eb11d08ae,ok,test,yen2|page_0012|c3,"[1125, 1657, 1239, 1770]"
gold/yen2_page_0012_c03_030.png,yen2,page_0012,3,徳,đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.224,127,137,fe3e75fc3896,ok,test,yen2|page_0012|c3,"[1127, 1754, 1238, 1865]"
gold/yen2_page_0012_c03_031.png,yen2,page_0012,3,主,chúa,主,U+4E3B,char,GOLD,s1_inter_s2_direct,,0.225,120,138,abc5b9cc4a04,ok,test,yen2|page_0012|c3,"[1126, 1848, 1237, 1960]"
gold/yen2_page_0012_c03_032.png,yen2,page_0012,3,支,giê,支,U+652F,char,GOLD,s1_inter_s2_direct,,0.165,130,136,c80bc92264e5,ok,test,yen2|page_0012|c3,"[1118, 1935, 1229, 2045]"
gold/yen2_page_0012_c03_033.png,yen2,page_0012,3,秋,su,秋,U+79CB,char,GOLD,s1_inter_s2_direct,,0.218,124,135,cebbda4dd6cc,ok,test,yen2|page_0012|c3,"[1117, 2029, 1229, 2138]"
silver/yen2_page_0012_c03_034.png,yen2,page_0012,3,去,cùng,共,U+5171,char,SILVER,s2_inter_s3_corrected,0.701,0.201,124,138,17f32219fac1,ok,test,yen2|page_0012|c3,"[1117, 2114, 1231, 2226]"
gold/yen2_page_0012_c03_035.png,yen2,page_0012,3,体,thấy,体,U+4F53,char,GOLD,s1_inter_s2_direct,,0.17,120,140,7487e0f14af3,ok,test,yen2|page_0012|c3,"[1126, 2200, 1239, 2314]"
silver/yen2_page_0012_c03_036.png,yen2,page_0012,3,慓,rất,慄,U+6144,char,SILVER,s2_inter_s3_corrected,0.74,0.173,133,138,550f0f46110c,ok,test,yen2|page_0012|c3,"[1128, 2294, 1238, 2406]"
,yen2,page_0012,3,圭,thánh,,,,REVIEW,below_visual_threshold,0.273,,,,,,test,yen2|page_0012|c3,"[1129, 2383, 1237, 2483]"
gold/yen2_page_0012_c04_038.png,yen2,page_0012,4,徳,đức,徳,U+5FB3,char,GOLD,s1_inter_s2_direct,,0.238,142,146,401f8de1e9e1,ok,train,yen2|page_0012|c4,"[967, 464, 1083, 582]"
gold/yen2_page_0012_c04_039.png,yen2,page_0012,4,婆,bà,婆,U+5A46,char,GOLD,s1_inter_s2_direct,,0.225,146,148,f145a448a611,ok,train,yen2|page_0012|c4,"[956, 562, 1074, 682]"
syllable/yen2_page_0012_c04_040.png,yen2,page_0012,4,瑪,ma,,,syllable,SYLLABLE,nghia_consensus,0.371,0.212,145,149,f9b99e85d1dd,ok,train,yen2|page_0012|c4,"[955, 655, 1073, 776]"
,yen2,page_0012,4,傾,ri,,,,REVIEW,below_visual_threshold,0.367,,,,,,train,yen2|page_0012|c4,"[963, 761, 1080, 883]"
gold/yen2_page_0012_c04_042.png,yen2,page_0012,4,亜,a,亜,U+4E9C,char,GOLD,s1_inter_s2_direct,,0.179,141,148,7cc64cc1b51f,ok,train,yen2|page_0012|c4,"[958, 858, 1073, 978]"
gold/yen2_page_0012_c04_043.png,yen2,page_0012,4,羣,còn,羣,U+7FA3,char,GOLD,s1_inter_s2_direct,,0.222,140,147,9a82752f449b,ok,train,yen2|page_0012|c4,"[966, 954, 1080, 1073]"
gold/yen2_page_0012_c04_044.png,yen2,page_0012,4,於,ở,於,U+65BC,char,GOLD,s1_inter_s2_direct,,0.223,145,150,a17fb0b49cf8,ok,train,yen2|page_0012|c4,"[965, 1048, 1082, 1170]"
