sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,"Actually, the image shows two characters. The first one","""Actually, the image shows two characters. The first one""",1.730,12,369
M1_0001,𠔶,"""𠔶""",1.188,5,417
M1_0002,答案：桗,"""答案：桗""",1.210,5,333
M1_0003,正确答案：炷,"""正确答案：炷""",1.023,6,246
M1_0004,𠷆,"""𠷆""",1.236,5,398
M1_0005,阂,"""阂""",1.239,3,328
M1_0006,正确答案：炷,"""正确答案：炷""",1.027,6,259
M1_0007,𧨣,"""𧨣""",1.114,5,312
M1_0008,𱍸,"""𱍸""",1.254,5,436
M1_0009,𱥘,"""𱥘""",1.451,5,458
M1_0010,"Actually, the image shows 14 characters. I'll","""Actually, the image shows 14 characters. I'll""",1.124,12,320
M1_0011,𠕍,"""𠕍""",1.731,5,721
M1_0012,𦲬,"""𦲬""",1.609,5,475
M1_0013,𠔁,"""𠔁""",1.174,5,385
M1_0014,𠃷,"""𠃷""",1.199,5,412
M1_0015,𫴮,"""𫴮""",1.224,5,372
M1_0016,𱢑,"""𱢑""",1.449,5,557
M1_0017,𠏎,"""𠏎""",1.063,5,346
M1_0018,𥌀,"""𥌀""",1.522,4,430
M1_0019,𢻰,"""𢻰""",1.510,5,419
M1_0020,𱐩,"""𱐩""",1.185,5,375
M1_0021,𫴮,"""𫴮""",0.933,5,311
M1_0022,他,"""他""",1.292,2,473
M1_0023,𤎔,"""𤎔""",1.237,5,369
M1_0024,答案：栐,"""答案：栐""",1.237,5,333
M1_0025,𠊚,"""𠊚""",1.265,5,382
M1_0026,𣉺,"""𣉺""",1.404,5,388
M1_0027,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",1.641,12,434
M1_0028,𠇮,"""𠇮""",1.490,5,397
M1_0029,"Actually, the image shows ""限心"" which is","""Actually, the image shows \""限心\"" which is""",1.311,12,346
M1_0030,𫴮,"""𫴮""",1.005,5,298
M1_0031,正确答案：俺,"""正确答案：俺""",1.534,6,445
M1_0032,𢆫,"""𢆫""",1.293,5,416
M1_0033,"Actually, the image shows ""喬嘺","""Actually, the image shows \""喬嘺""",1.456,12,360
M1_0034,𫴮,"""𫴮""",1.139,5,356
M1_0035,𩬻,"""𩬻""",1.415,5,427
M1_0036,ex,"""ex""",0.615,2,178
M1_0037,𢲬,"""𢲬""",1.743,5,496
M1_0038,𦲬,"""𦲬""",1.415,5,407
M1_0039,𫲳,"""𫲳""",0.962,5,280
M1_0040,答案：樞,"""答案：樞""",1.263,5,344
M1_0041,答案：炷,"""答案：炷""",1.135,5,291
M1_0042,---,"""---""",0.941,2,342
M1_0043,𩮜,"""𩮜""",1.427,5,494
M1_0044,𠙫,"""𠙫""",1.221,5,402
M1_0045,正确答案：埠,"""正确答案：埠""",1.609,6,532
M1_0046,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.905,12,459
M1_0047,𫴮,"""𫴮""",1.572,5,456
M1_0048,𪥘,"""𪥘""",1.498,5,409
M1_0049,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.151,12,301
M1_0050,答案：樞,"""答案：樞""",1.407,5,382
M1_0051,𠜷,"""𠜷""",1.363,5,467
M1_0052,𱍽,"""𱍽""",1.255,5,371
M1_0053,𩌉,"""𩌉""",1.289,5,455
M1_0054,𧁷,"""𧁷""",1.289,5,365
M1_0055,"Actually, the image shows a row of characters. The","""Actually, the image shows a row of characters. The""",1.383,12,328
M1_0056,𬃻,"""𬃻""",1.731,5,585
M1_0057,𱢑,"""𱢑""",1.499,5,551
M1_0058,𩤳,"""𩤳""",1.339,5,360
M1_0059,𣅢,"""𣅢""",1.256,5,427
M1_0060,𥅶,"""𥅶""",1.036,5,361
M1_0061,𱍸,"""𱍸""",0.976,5,346
M1_0062,𠀠,"""𠀠""",0.998,5,332
M1_0063,解析：根据越南喃字古籍中的笔画结构,"""解析：根据越南喃字古籍中的笔画结构""",1.625,12,417
M1_0064,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.638,12,406
M1_0065,𫺲,"""𫺲""",1.180,5,322
M1_0066,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",1.539,12,411
M1_0067,𫅑,"""𫅑""",1.126,5,351
M1_0068,"Actually, the image shows ""总读"" with a","""Actually, the image shows \""总读\"" with a""",1.352,12,312
M1_0069,驽,"""驽""",1.064,3,327
M1_0070,𠖠,"""𠖠""",1.153,5,333
M1_0071,"explanation: The character in the image is ""","""explanation: The character in the image is \""""",1.475,12,331
M1_0072,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.618,12,394
M1_0073,"Actually, the image shows ""必"" and ""师","""Actually, the image shows \""必\"" and \""师""",1.607,12,468
M1_0074,𢲬,"""𢲬""",1.476,5,438
M1_0075,𠜝,"""𠜝""",1.286,5,440
M1_0076,𫴮,"""𫴮""",1.209,5,371
M1_0077,𢫨,"""𢫨""",1.316,5,390
M1_0078,𬠱,"""𬠱""",1.129,5,314
M1_0079,𢄘,"""𢄘""",1.333,5,381
M1_0080,---,"""---""",0.963,2,357
M1_0081,囚,"""囚""",1.522,2,454
M1_0082,正确答案：炷,"""正确答案：炷""",1.437,6,357
M1_0083,𤬖,"""𤬖""",1.636,5,513
M1_0084,𱐩 𱝮 徳,"""𱐩 𱝮 徳""",1.421,12,369
M1_0085,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",1.554,12,432
M1_0086,𧁷,"""𧁷""",1.079,5,320
M1_0087,𬬊,"""𬬊""",1.237,5,432
M1_0088,𣑃,"""𣑃""",1.703,5,620
M1_0089,𥅶,"""𥅶""",1.106,5,361
M1_0090,𠎩,"""𠎩""",1.253,5,418
M1_0091,𬲙,"""𬲙""",1.393,5,595
M1_0092,𢱏,"""𢱏""",1.422,5,385
M1_0093,𱍽,"""𱍽""",1.229,5,497
M1_0094,Answer: 儀,"""Answer: 儀""",1.279,6,348
M1_0095,正确答案：𢫨,"""正确答案：𢫨""",1.227,8,322
M1_0096,𠂨,"""𠂨""",1.289,5,490
M1_0097,𠛛,"""𠛛""",1.326,5,399
M1_0098,𠔹,"""𠔹""",1.387,5,503
M1_0099,𠊚,"""𠊚""",1.685,5,485
M1_0100,𱥺,"""𱥺""",1.187,5,335
M1_0101,别曰,"""别曰""",1.422,3,390
M1_0102,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",1.509,12,403
M1_0103,𡃍,"""𡃍""",1.245,5,357
M1_0104,𤾆,"""𤾆""",1.437,5,462
M1_0105,𢰌,"""𢰌""",1.416,5,416
M1_0106,𬉵,"""𬉵""",1.520,5,475
M1_0107,𠃜,"""𠃜""",1.100,5,372
M1_0108,𣊅,"""𣊅""",1.731,5,477
M1_0109,𬃻,"""𬃻""",1.444,5,528
M1_0110,正确答案：炷,"""正确答案：炷""",1.223,6,285
M1_0111,𠨱,"""𠨱""",1.531,5,548
M1_0112,忻,"""忻""",1.102,3,448
M1_0113,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",1.561,12,426
M1_0114,𱍸,"""𱍸""",1.231,5,402
M1_0115,宬,"""宬""",1.541,3,579
M1_0116,答案：栐,"""答案：栐""",1.319,5,358
M1_0117,𱥺,"""𱥺""",1.437,5,417
M1_0118,𣹤,"""𣹤""",1.240,5,348
M1_0119,𠔓,"""𠔓""",1.420,5,411
M1_0120,𠉭,"""𠉭""",1.261,5,474
M1_0121,𪆩,"""𪆩""",1.376,5,400
M1_0122,𤕝,"""𤕝""",1.026,5,318
M1_0123,𱍽,"""𱍽""",1.110,5,329
M1_0124,"Actually, the image shows ""唹"" and ""","""Actually, the image shows \""唹\"" and \""""",1.587,12,409
M1_0125,𠁦,"""𠁦""",1.416,5,548
M1_0126,𠀁,"""𠀁""",1.368,5,437
M1_0127,𠔽,"""𠔽""",1.371,5,505
M1_0128,偺,"""偺""",1.151,3,421
M1_0129,𠇮,"""𠇮""",1.326,5,379
M1_0130,𠽚,"""𠽚""",1.275,5,409
M1_0131,"Actually, the image shows ""侬"" (h","""Actually, the image shows \""侬\"" (h""",1.508,12,341
M1_0132,𠤵,"""𠤵""",1.167,5,347
M1_0133,答案：塊,"""答案：塊""",1.289,5,341
M1_0134,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.529,12,368
M1_0135,𱢑,"""𱢑""",1.164,5,487
M1_0136,𠔏,"""𠔏""",1.078,5,402
M1_0137,Answer: 愳,"""Answer: 愳""",1.079,6,262
M1_0138,𠖠,"""𠖠""",1.389,5,412
M1_0139,𠊚,"""𠊚""",1.348,5,394
M1_0140,𠇮,"""𠇮""",1.423,5,397
M1_0141,---,"""---""",1.199,2,359
M1_0142,---,"""---""",1.388,2,415
M1_0143,𠀠,"""𠀠""",1.269,5,419
M1_0144,𠺑,"""𠺑""",1.273,5,490
M1_0145,Answer: 連,"""Answer: 連""",1.018,5,314
M1_0146,正确答案：𢇗,"""正确答案：𢇗""",1.542,8,473
M1_0147,𠔓,"""𠔓""",1.722,5,464
M1_0148,𢺶,"""𢺶""",1.363,5,382
M1_0149,𢠇,"""𢠇""",1.289,5,368
M1_0150,𩽴,"""𩽴""",1.335,5,450
M1_0151,咮,"""咮""",1.413,3,401
M1_0152,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.404,12,329
M1_0153,𠀁,"""𠀁""",1.232,5,425
M1_0154,答案：桅,"""答案：桅""",0.995,5,273
M1_0155,𫴮,"""𫴮""",1.256,5,368
M1_0156,𠯆,"""𠯆""",1.285,5,352
M1_0157,𠾕,"""𠾕""",1.196,5,364
M1_0158,答案：栐,"""答案：栐""",1.033,5,316
M1_0159,𠔏,"""𠔏""",1.442,5,498
M1_0160,𧭷,"""𧭷""",1.264,5,360
M1_0161,刨,"""刨""",1.232,3,654
M1_0162,𠊚,"""𠊚""",1.188,5,366
M1_0163,𬏝,"""𬏝""",1.224,5,356
M1_0164,𱍽,"""𱍽""",1.284,5,377
M1_0165,𤎔,"""𤎔""",1.277,5,378
M1_0166,𦲬,"""𦲬""",1.489,5,442
M1_0167,𠔁,"""𠔁""",1.121,5,372
M1_0168,𫢫,"""𫢫""",1.089,5,311
M1_0169,𠀤,"""𠀤""",1.386,5,525
M1_0170,参考答案：𐒃,"""参考答案：𐒃""",1.277,8,322
M1_0171,𤲼,"""𤲼""",1.525,5,449
M1_0172,答案：侄,"""答案：侄""",1.346,5,349
M1_0173,𬃻,"""𬃻""",1.165,5,462
M1_0174,𠻇,"""𠻇""",1.232,5,464
M1_0175,𤕝,"""𤕝""",1.008,5,318
M1_0176,"Actually, the image shows a few characters. The first","""Actually, the image shows a few characters. The first""",1.480,12,351
M1_0177,𤔲,"""𤔲""",1.197,5,442
M1_0178,𠀃,"""𠀃""",1.396,5,412
M1_0179,𫔳,"""𫔳""",1.124,5,312
M1_0180,𫴮,"""𫴮""",1.319,5,404
M1_0181,𠦩,"""𠦩""",1.100,5,327
M1_0182,𠌇,"""𠌇""",1.440,5,468
M1_0183,𠊚,"""𠊚""",1.204,5,388
M1_0184,𱐩,"""𱐩""",1.072,5,333
