sample_id,image,book,page,column,ocr_char,syllable,label,tier,rule,bbox,crop_w,crop_h,R_candidates,R_size,ocr_in_R,pred,sec,pred_cjk,n_cjk,one_cjk,first,first_in_R,any_in_R,eq_kinh,first_in_vocab,kinh_in_R,is_empty,latin,multi,no_cjk
M1_0000,gold/stt2_page_0252_c04_067.png,stt2,page_0252,4,欣,hơn,欣,GOLD,s1_inter_s2_direct,"[1012, 1641, 1127, 1776]",102,166,俽|忻|惞|欣|訢|軒|餘|䜣|𪡗,9,True,,1.294,,0,False,,False,False,False,False,True,True,False,False,True
M1_0001,gold/stt2_page_0308_c04_052.png,stt2,page_0308,4,欺,khi,欺,GOLD,s1_inter_s2_direct,"[1002, 2311, 1109, 2428]",118,145,倛|僛|吱|唭|娸|崎|徛|攲|敧|期|机|桤|榿|欹|欺|浪|猗|觭|諆|踦|陭|魌|㿲|𠔶|𡾵|𣣱|𤿯|𥀴|𨜅|緝|缉,31,True,,1.123,,0,False,,False,False,False,False,True,True,False,False,True
M1_0002,gold/stt2_page_0132_c03_046.png,stt2,page_0132,3,朱,cho,朱,GOLD,s1_inter_s2_direct,"[1110, 924, 1215, 1038]",117,140,|咮|埃|木|朱|株|沫|渚|濐|硃|陼|㵭,12,True,,0.962,,0,False,,False,False,False,False,True,True,False,False,True
M1_0003,gold/stt2_page_0072_c09_168.png,stt2,page_0072,9,主,chúa,主,GOLD,s1_inter_s2_direct,"[204, 1482, 297, 1593]",106,122,主|炷,2,True,,0.837,,0,False,,False,False,False,False,True,True,False,False,True
M1_0004,gold/stt2_page_0140_c08_133.png,stt2,page_0140,8,吒,cha,吒,GOLD,s1_inter_s2_direct,"[356, 952, 457, 1072]",119,148,乍|作|偺|吒|咋|咤|咱|喒|喥|嗻|囃|托|爹|爺|皻|皽|詐|醡|𠆦|𠷆|𠷿|𤕔|𧧻|𨕚|𬏨,25,True,,1.024,,0,False,,False,False,False,False,True,True,False,False,True
M1_0005,gold/stt2_page_0066_c09_187.png,stt2,page_0066,9,困,khốn,困,GOLD,s1_inter_s2_direct,"[218, 2299, 325, 2423]",105,152,困|囷|梱|睏|阃|捆,6,True,闲,1.162,闲,1,True,闲,False,False,False,True,True,False,False,False,False
M1_0006,gold/stt2_page_0036_c07_117.png,stt2,page_0036,7,主,chúa,主,GOLD,s1_inter_s2_direct,"[506, 1011, 603, 1120]",101,133,主|炷,2,True,,0.884,,0,False,,False,False,False,False,True,True,False,False,True
M1_0007,gold/stt2_page_0078_c03_051.png,stt2,page_0078,3,呐,nói,呐,GOLD,s1_inter_s2_direct,"[1178, 1324, 1270, 1434]",102,134,內|内|叻|吶|呐|唁|尼|曰|訥|㐻|㕯|𠺶|𡗠|𧨣,14,True,,0.941,,0,False,,False,False,False,False,True,True,False,False,True
M1_0008,gold/stt2_page_0114_c01_017.png,stt2,page_0114,1,衣,ấy,衣,GOLD,s1_inter_s2_direct,"[1447, 2104, 1560, 2211]",139,131,𱍸|乙|倚|噫|娎|帝|悥|意|憶|椅|衣|衤|𠂎|𠋣|𠶷|𢡃|𧘇|𪬫|𫢚|󰀎|󱦝|󱰁|啩|怪|掛|撌|癸|紙|𠶔|𢫞|𢯗|𥿗,32,True,,1.118,,0,False,,False,False,False,False,True,True,False,False,True
M1_0009,gold/stt2_page_0170_c03_052.png,stt2,page_0170,3,折,giết,折,GOLD,s1_inter_s2_direct,"[1138, 2092, 1249, 2227]",125,163,𱥘|折|摺|歽|滅|翼|㪿|𢷄|𣂚|𣂟|𣂫|𣂲|𣂹|𣩁|𣩂|𤄌|𨦬|𪲽|󰊾|󱚕|󱣽,21,True,,1.319,,0,False,,False,False,False,False,True,True,False,False,True
