book,page,column,ocr_char,syllable,label,confirmed,rule,s3_cosine,s3_top,bbox
yen2,page_0012,1,二,Nhị,二,1,s1_inter_s2_direct,,,"[1264, 203, 1319, 297]"
yen2,page_0012,1,月,nguyệt,月,1,s1_inter_s2_direct,,,"[1264, 297, 1319, 391]"
yen2,page_0012,2,日,NHẬT,日,1,s1_inter_s2_direct,,,"[1098, 156, 1202, 253]"
yen2,page_0012,2,翁,Ong,翁,1,s1_inter_s2_direct,,,"[1098, 350, 1202, 447]"
yen2,page_0012,2,樞,xu,樞,1,s1_inter_s2_direct,,,"[1098, 739, 1202, 836]"
yen2,page_0012,2,曰,viết,曰,1,s1_inter_s2_direct,,,"[1098, 836, 1202, 933]"
yen2,page_0012,3,翁,Ông,翁,1,s1_inter_s2_direct,,,"[922, 59, 1054, 150]"
yen2,page_0012,3,四,tớ,四,1,s1_inter_s2_direct,,,"[922, 517, 1054, 609]"
yen2,page_0012,3,翁,ông,翁,1,s1_inter_s2_direct,,,"[922, 609, 1054, 701]"
yen2,page_0012,3,垩,Thánh,垩,1,s1_inter_s2_direct,,,"[922, 701, 1054, 793]"
yen2,page_0012,3,四,tớ,四,1,s1_inter_s2_direct,,,"[922, 1160, 1054, 1252]"
yen2,page_0012,3,奇,cả,奇,1,s1_inter_s2_direct,,,"[922, 1252, 1054, 1343]"
yen2,page_0012,3,徳,Đức,徳,1,s1_inter_s2_direct,,,"[922, 1343, 1054, 1435]"
yen2,page_0012,3,主,Chúa,主,1,s1_inter_s2_direct,,,"[922, 1435, 1054, 1527]"
yen2,page_0012,3,支,Giê,支,1,s1_inter_s2_direct,,,"[922, 1527, 1054, 1619]"
yen2,page_0012,3,秋,su,秋,1,s1_inter_s2_direct,,,"[922, 1619, 1054, 1710]"
yen2,page_0012,3,体,thấy,体,1,s1_inter_s2_direct,,,"[922, 1802, 1054, 1894]"
yen2,page_0012,4,徳,Đức,徳,1,s1_inter_s2_direct,,,"[771, 57, 895, 153]"
yen2,page_0012,4,婆,Bà,婆,1,s1_inter_s2_direct,,,"[771, 153, 895, 249]"
yen2,page_0012,4,亜,a,亜,1,s1_inter_s2_direct,,,"[771, 442, 895, 539]"
yen2,page_0012,4,羣,còn,羣,1,s1_inter_s2_direct,,,"[771, 539, 895, 635]"
yen2,page_0012,4,於,ở,於,1,s1_inter_s2_direct,,,"[771, 635, 895, 732]"
yen2,page_0012,4,世,thế,世,1,s1_inter_s2_direct,,,"[771, 732, 895, 828]"
yen2,page_0012,4,間,gian,間,1,s1_inter_s2_direct,,,"[771, 828, 895, 924]"
yen2,page_0012,4,朱,cho,朱,1,s1_inter_s2_direct,,,"[771, 924, 895, 1021]"
yen2,page_0012,4,年,nên,年,1,s1_inter_s2_direct,,,"[771, 1021, 895, 1117]"
yen2,page_0012,4,㝵,người,㝵,1,s1_inter_s2_direct,,,"[771, 1117, 895, 1214]"
yen2,page_0012,4,垩,Thánh,垩,1,s1_inter_s2_direct,,,"[771, 1310, 895, 1407]"
yen2,page_0012,4,奇,cả,奇,1,s1_inter_s2_direct,,,"[771, 1407, 895, 1503]"
yen2,page_0012,4,韋,và,韋,1,s1_inter_s2_similar,0.911,𪽡,"[771, 1503, 895, 1599]"
yen2,page_0012,4,曰,viết,曰,1,s1_inter_s2_direct,,,"[771, 1599, 895, 1696]"
yen2,page_0012,4,無,vô,無,1,s1_inter_s2_direct,,,"[771, 1696, 895, 1792]"
yen2,page_0012,4,城,thành,城,1,s1_inter_s2_direct,,,"[771, 1792, 895, 1889]"
yen2,page_0012,5,怎,ô,怎,1,s1_inter_s2_similar,,,"[616, 59, 725, 155]"
