sample_id,image,book,page,column,ocr_char,syllable,label,tier,rule,bbox,crop_w,crop_h,R_candidates,R_size,ocr_in_R,pred,sec,pred_cjk,n_cjk,one_cjk,first,first_in_R,any_in_R,eq_kinh,first_in_vocab,kinh_in_R,is_empty,latin,multi,no_cjk
M2_0000,silver/stt2_page_0310_c09_140.png,stt2,page_0310,9,妄,một,没,SILVER,s2_inter_s3_corrected,"[260, 1409, 377, 1535]",130,152,||||||||𱥺|刎|圽|堆|墓|更|歾|歿|殁|殳|沒|没|痗|蔑|車|默|𠬛|𠬠|𠬸|𣇶|𣧒|𣨏|𣳚|𣴬|𦐲|𩑦|󰓳|󰜋|󱘴,37,False,,2.112,,0,False,,False,False,False,False,False,True,False,False,True
M2_0001,silver/stt2_page_0018_c05_107.png,stt2,page_0018,5,隘,muốn,悶,SILVER,s2_inter_s3_corrected,"[814, 2208, 923, 2320]",96,133,悶|满|閍|闷|㥃|㦖|𢛀|𢛩|𨴽|𫹰|𫺓|𬅳|󱯝|󱼖,14,False,```,0.960,,0,False,,False,False,False,False,False,False,False,False,True
M2_0002,syllable/stt2_page_0292_c04_067.png,stt2,page_0292,4,犯,đã,,SYLLABLE,nghia_consensus,"[987, 1536, 1098, 1673]",124,165,乑|也|卒|吏|吔|它|拖|易|胣|諸|陀|㐌|𠰹|𢒕|𣦁|𧭷,16,False,,0.961,,0,False,,False,False,False,False,False,True,False,False,True
M2_0003,silver/stt2_page_0234_c05_094.png,stt2,page_0234,5,杢,lai,吏,SILVER,s2_inter_s3_corrected,"[824, 1882, 929, 1993]",95,133,佳|來|俫|倈|勑|吏|唻|崃|崍|庲|徕|徠|斄|来|梾|棶|涞|淶|濑|猍|睐|睞|耒|莱|萊|逨|郲|釐|錸|铼|騋|鯠|鶆|䅘|䒹|𢯦|𤲓|𤳆|𥅦|𥟂|𦻣|𧼛|𫯓|𫼲|瀨,45,False,,0.645,,0,False,,False,False,False,False,False,True,False,False,True
M2_0004,silver/stt2_page_0294_c02_036.png,stt2,page_0294,2,事,âu,謳,SILVER,s2_inter_s3_corrected,"[1275, 2028, 1391, 2148]",129,143,区|區|呕|嘔|坵|塸|幼|怄|怮|慪|憂|懮|敺|欧|歐|毆|沤|渥|漚|熰|瓯|甌|糿|蓲|藲|袎|謳|讴|醧|鏂|鴎|鷗|鸥|㓜|㤑|䳼|𠣎|𠪍|𠮕|𢆲|𢆵|𢈗|𢙥|𢚧|𢝊|𢞘|𢟜|𤭋|𤮥|𧦅|𨗫|𩀫|𩕂|󱦙|箑,55,False,,0.904,,0,False,,False,False,False,False,False,True,False,False,True
M2_0005,syllable/stt2_page_0254_c02_026.png,stt2,page_0254,2,可,làm,,SYLLABLE,nghia_consensus,"[1255, 1451, 1393, 1582]",102,155,|乄|滥|漤|濫|灠|爪|爫|藍|㕚|𣩂|𣽦|𪵯|𫜵|𬈋|󰥎|󱛝,17,False,,0.838,,0,False,,False,False,False,False,False,True,False,False,True
M2_0006,syllable/stt2_page_0116_c08_146.png,stt2,page_0116,8,而,làm,,SYLLABLE,nghia_consensus,"[368, 1171, 470, 1281]",90,136,|乄|滥|漤|濫|灠|爪|爫|藍|㕚|𣩂|𣽦|𪵯|𫜵|𬈋|󰥎|󱛝,17,False,```markdown  ```,0.995,,0,False,,False,False,False,False,False,False,True,False,True
M2_0007,syllable/stt2_page_0298_c07_124.png,stt2,page_0298,7,守,cả,,SYLLABLE,nghia_consensus_tu_silver,"[508, 1505, 622, 1637]",132,162,仍|哿|垰|奇|架|竒|𠵲|𪥘|󱝝|󱝮|󱼓,11,False,,1.066,,0,False,,False,False,False,False,False,True,False,False,True
M2_0008,silver/stt2_page_0188_c06_097.png,stt2,page_0188,6,壽,toan,筭,SILVER,s2_inter_s3_corrected,"[635, 572, 749, 709]",131,160,|撰|散|櫲|狻|痠|祘|笇|筭|算|酸|鑽|䝜|𡀜|𢌺|𤷥|𥫫|𥮅|𨢽|𨣪|𪊴|󰛿|󰝺,23,False,```markdown  ```,2.627,,0,False,,False,False,False,False,False,False,True,False,True
M2_0009,silver/stt2_page_0288_c09_165.png,stt2,page_0288,9,仰,dạy,代,SILVER,s2_inter_s3_corrected,"[238, 1099, 374, 1230]",137,161,|代|抴|拽|敎|教|曳|曵|㖂|𠰺|𠸕|𤕝|𦥙|󱙦,14,False,,1.071,,0,False,,False,False,False,False,False,True,False,False,True
M2_0010,silver/stt2_page_0230_c04_079.png,stt2,page_0230,4,良,dân,民,SILVER,s2_inter_s3_corrected,"[1003, 1811, 1104, 1933]",108,140,岷|民|泯|珉|𠘽|𡻾|𤼸,7,False,,0.744,,0,False,,False,False,False,False,False,True,False,False,True
M2_0011,syllable/stt2_page_0226_c04_071.png,stt2,page_0226,4,淚,nước,,SYLLABLE,nghia_consensus_tu_silver,"[1010, 1888, 1116, 2012]",99,147,|匿|國|娘|搩|於|渃|珠|箸|著|𣋐|𣥧|𫭔,13,False,```,0.781,,0,False,,False,False,False,False,False,False,False,False,True
M2_0012,syllable/stt2_page_0110_c06_114.png,stt2,page_0110,6,弇,ông,,SYLLABLE,nghia_consensus,"[678, 1855, 784, 1977]",120,150,|嗡|東|王|翁|蓊|螉|鶲|䈵|𣸜|𩔚|𪂔|𪪳|󰎰|塕|滃|鹟,17,False,,0.910,,0,False,,False,False,False,False,False,True,False,False,True
