ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
而,làm,467,274,3,"REVIEW,SYLLABLE",True,hay nhe nhi nhỉ năn năng nưng nấng nằng,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,7,,,syllable/stt2_page_0012_c04_050.png syllable/stt2_page_0014_c06_122.png syllable/stt2_page_0016_c03_057.png syllable/stt2_page_0016_c04_068.png syllable/stt2_page_0018_c04_078.png
昇,người,249,155,3,"REVIEW,SYLLABLE",True,thăng thưng,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,silver/stt2_page_0130_c05_108.png silver/stt4_page_0012_c07_123.png syllable/stt4_page_0022_c03_065.png silver/stt4_page_0034_c04_080.png silver/stt4_page_0034_c08_168.png
早,người,225,107,1,REVIEW,True,chảo tảo,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,㝵,0,,,gold/stt11_page_0014_c07_137.png gold/stt11_page_0024_c09_185.png gold/stt11_page_0024_c09_189.png gold/stt11_page_0028_c03_048.png gold/stt11_page_0030_c09_147.png
皇,thánh,190,96,1,"REVIEW,SYLLABLE",True,hoàng huỳnh hàng,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,21,,,syllable/stt4_page_0012_c02_012.png syllable/stt4_page_0012_c06_105.png syllable/stt4_page_0014_c03_055.png syllable/stt4_page_0014_c04_085.png syllable/stt4_page_0016_c01_008.png
身,người,164,84,2,"REVIEW,SYLLABLE",True,nhân quyên tam than thàn thâm thân thây,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,2,,,silver/stt4_page_0012_c02_025.png syllable/stt4_page_0014_c07_159.png syllable/stt4_page_0016_c08_176.png silver/stt4_page_0018_c08_125.png syllable/stt4_page_0018_c08_132.png
人,ấy,143,83,2,"REVIEW,SYLLABLE",True,ngã nhi nhân nhơn,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,2,,,syllable/stt2_page_0328_c09_161.png syllable/stt11_page_0012_c02_030.png syllable/stt11_page_0012_c03_060.png syllable/stt11_page_0012_c06_110.png syllable/stt11_page_0012_c09_188.png
行,đức,142,97,2,SYLLABLE,True,hàng hành hãng hăng hạng hạnh làng lời ngành đợi,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,53,,,syllable/stt2_page_0098_c02_023.png syllable/stt2_page_0108_c09_161.png syllable/stt2_page_0142_c04_060.png syllable/stt2_page_0168_c01_014.png syllable/stt2_page_0168_c06_102.png
移,ri,124,91,3,"REVIEW,SYLLABLE",True,chòm day di dày dây dè dê dầy dị dời giay lả,12,咦 夷 洟 荑 蛦 鴺 鵜 𠶋 𠺹 𦯔 𪅨 󱸗,,13,,,syllable/stt2_page_0030_c08_170.png syllable/stt2_page_0046_c05_090.png syllable/stt2_page_0046_c09_182.png syllable/stt2_page_0080_c07_125.png syllable/stt2_page_0084_c07_132.png
希,vua,124,58,1,"REVIEW,SYLLABLE",True,he hi hoe hy hây hê hì hơi hề si sè sé,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,4,,,syllable/stt11_page_0014_c02_026.png syllable/stt11_page_0016_c09_189.png syllable/stt11_page_0060_c05_087.png syllable/stt11_page_0060_c05_094.png syllable/stt11_page_0060_c07_122.png
白,làm,116,88,3,"REVIEW,SYLLABLE",True,bá bác bạc bạch nhật trắng,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,2,,,syllable/stt2_page_0020_c01_005.png syllable/stt2_page_0036_c03_055.png syllable/stt2_page_0040_c06_124.png syllable/stt4_page_0014_c07_141.png syllable/stt4_page_0020_c02_031.png
𭃡,xưa,109,93,3,"REVIEW,SYLLABLE",False,,20,初 如 汖 㧅 䃼 䥚 𠁉 𠜆 𠫎 𠸗 𡔈 𢀯 𢀰 𣦂 𥘉 𥘋 𥘨 𫋶 󱊨 󱓽,,0,,,syllable/stt2_page_0020_c04_072.png syllable/stt2_page_0028_c01_000.png syllable/stt2_page_0030_c04_073.png syllable/stt2_page_0030_c08_178.png syllable/stt2_page_0044_c06_109.png
𭔿,người,105,72,1,REVIEW,False,,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,silver/stt4_page_0014_c05_104.png silver/stt4_page_0014_c06_125.png silver/stt4_page_0018_c09_162.png silver/stt4_page_0022_c04_070.png silver/stt4_page_0024_c06_112.png
常,và,103,88,2,"REVIEW,SYLLABLE",True,hằng sàn thì thường trường,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,8,,,syllable/stt2_page_0016_c05_103.png syllable/stt2_page_0024_c02_041.png syllable/stt2_page_0030_c06_123.png syllable/stt2_page_0032_c08_155.png syllable/stt2_page_0034_c07_126.png
異,là,101,69,3,"REVIEW,SYLLABLE",True,di dị lạ,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,1,,,syllable/stt2_page_0116_c02_039.png syllable/stt2_page_0210_c09_157.png syllable/stt2_page_0228_c03_039.png syllable/stt2_page_0228_c03_044.png syllable/stt2_page_0228_c04_052.png
妃,bà,97,73,3,"REVIEW,SYLLABLE",True,phi phối,36,𱙘 嘙 堏 壩 妑 婆 把 掱 搫 朳 杷 欛 波 潖 爬 琶 番 皤 磻 粑,,0,,,syllable/stt2_page_0040_c05_101.png syllable/stt2_page_0056_c08_168.png syllable/stt2_page_0058_c03_062.png syllable/stt2_page_0058_c05_090.png syllable/stt2_page_0058_c07_152.png
爾,trời,96,70,2,SYLLABLE,True,ne nhãi nhé nhĩ nhẫy nhẽ nhễ nẻ nể nễ,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt2_page_0264_c02_034.png syllable/stt2_page_0270_c05_110.png syllable/stt2_page_0272_c09_167.png syllable/stt2_page_0288_c05_098.png syllable/stt2_page_0292_c03_055.png
趍,đi,96,59,1,"REVIEW,SYLLABLE",True,di so tri xu xô xúc,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,1,,,syllable/stt11_page_0010_c08_136.png syllable/stt11_page_0026_c01_003.png syllable/stt11_page_0026_c04_065.png syllable/stt11_page_0028_c02_034.png syllable/stt11_page_0032_c01_001.png
𭔿,ông,96,63,2,"REVIEW,SYLLABLE",False,,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0024_c03_048.png syllable/stt2_page_0024_c04_069.png syllable/stt2_page_0024_c09_184.png syllable/stt2_page_0026_c04_077.png syllable/stt2_page_0026_c07_135.png
瑪,ma,84,70,3,"REVIEW,SYLLABLE",True,mã mẽ,59,么 吗 嗎 嘛 嚒 嚜 妈 媽 嫫 嬤 嬷 孖 尛 庅 摩 擵 攠 痲 痳 磨,嗎,0,,,syllable/stt2_page_0012_c04_040.png syllable/stt2_page_0012_c05_065.png syllable/stt2_page_0014_c06_135.png syllable/stt2_page_0018_c02_025.png syllable/stt2_page_0018_c02_040.png
𡖋,làm,82,66,3,"REVIEW,SYLLABLE",True,diệc,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,syllable/stt2_page_0014_c04_068.png syllable/stt2_page_0014_c04_083.png syllable/stt2_page_0028_c05_101.png syllable/stt2_page_0036_c09_169.png syllable/stt2_page_0046_c05_102.png
知,đức,77,54,2,SYLLABLE,True,si tre tri trê trí trơ,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,4,,,syllable/stt2_page_0026_c02_033.png syllable/stt2_page_0026_c07_127.png syllable/stt2_page_0030_c01_002.png syllable/stt2_page_0030_c04_088.png syllable/stt2_page_0030_c09_196.png
凜,lăm,73,64,3,"REVIEW,SYLLABLE",True,bòm bõm lẫm lắm lịm,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,80,,,syllable/stt2_page_0122_c03_059.png syllable/stt2_page_0150_c04_078.png syllable/stt2_page_0184_c08_143.png syllable/stt2_page_0190_c08_140.png syllable/stt2_page_0192_c01_014.png
万,đức,73,60,2,SYLLABLE,True,muôn mặc vàn vạn,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt2_page_0026_c08_147.png syllable/stt2_page_0030_c05_096.png syllable/stt2_page_0056_c07_134.png syllable/stt2_page_0058_c03_054.png syllable/stt2_page_0086_c06_113.png
無,vồ,70,53,3,"REVIEW,SYLLABLE",True,mô vu vô,13,拊 捬 摹 撫 模 橅 釪 𢸮 𢺌 𢻬 𢻲 𨅮 𨑑,,40,,,syllable/stt2_page_0012_c02_011.png syllable/stt2_page_0036_c03_057.png syllable/stt2_page_0036_c05_086.png syllable/stt2_page_0036_c07_128.png syllable/stt2_page_0048_c02_024.png
要,là,63,56,3,"REVIEW,SYLLABLE",True,eo oeo ro yêu yếu éo,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,19,,,syllable/stt2_page_0012_c03_019.png syllable/stt2_page_0028_c08_171.png syllable/stt2_page_0052_c05_096.png syllable/stt2_page_0054_c07_122.png syllable/stt2_page_0072_c09_177.png
得,ngày,62,55,3,"REVIEW,SYLLABLE",True,đác được đắc đắt,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,𣈜,0,,,syllable/stt2_page_0024_c02_030.png syllable/stt2_page_0090_c08_163.png syllable/stt2_page_0092_c09_196.png syllable/stt2_page_0182_c09_160.png syllable/stt2_page_0232_c05_084.png
署,rô,62,42,3,"REVIEW,SYLLABLE",True,dánh dính dĩnh giảnh nhảnh thùy thợ thử thự,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,9,,,syllable/stt2_page_0014_c06_134.png syllable/stt2_page_0018_c02_039.png syllable/stt2_page_0022_c09_169.png syllable/stt2_page_0028_c07_144.png syllable/stt2_page_0028_c08_166.png
